name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Duc-Tien Dang-Nguyen,University of Bergen,https://dnductien.github.io,,,,
Dag Haugland,University of Bergen,http://www.ii.uib.no/~dag,,,,
Igor A. Semaev,University of Bergen,https://www.uib.no/en/persons/Igor.A..Semaev,,,,
Matthew G. Parker,University of Bergen,http://www.ii.uib.no/~matthew,U3Er8bsAAAAJ,1921.0,22.0,1980.0
Michael R. Fellows,University of Bergen,https://www.mrfellows.net,rLCC8mQAAAAJ,19061.0,64.0,1984.0
Petter Bjørstad,University of Bergen,http://www.ii.uib.no/~petter,y5aoMlYAAAAJ,2249.0,22.0,1979.0
Lilya Budaghyan,University of Bergen,https://people.uib.no/lbu061,E4UDXnMAAAAJ,1605.0,20.0,2003.0
Frances Rosamond,University of Bergen,https://www.uib.no/en/persons/Frances.Rosamond,k5StrAoAAAAJ,3612.0,33.0,2001.0
Ketil Malde,University of Bergen,https://www.uib.no/en/persons/Ketil.Malde,NhtWxjsAAAAJ,1873.0,18.0,1991.0
Andrey Bogdanov,University of Bergen,https://www.compute.dtu.dk/english,hWVZlZYAAAAJ,8891.0,40.0,2005.0
Inge Jonassen,University of Bergen,http://www.ii.uib.no/~inge,RqvFRN4AAAAJ,12659.0,50.0,1991.0
Fredrik Manne,University of Bergen,http://www.ii.uib.no/~fredrikm,K-N0vTcAAAAJ,2640.0,31.0,1991.0
Stefan Bruckner,University of Bergen,https://vis.uib.no/team/bruckner,23uJZDoAAAAJ,3686.0,31.0,2002.0
Michael Dondrup,University of Bergen,https://www.uib.no/en/persons/Michael.Dondrup,2kVcaAYAAAAJ,1682.0,18.0,2003.0
Sjur Didrik Flåm,University of Bergen,https://www.uib.no/en/persons/Sjur.Didrik.Fl%C3%A5m,GwHg0VAAAAAJ,1798.0,17.0,1981.0
Helwig Hauser,University of Bergen,https://vis.uib.no/team/hauser,x4jXO7AAAAAJ,12813.0,62.0,1994.0
Marc Bezem,University of Bergen,http://www.ii.uib.no/~bezem,,,,
Pekka Parviainen,University of Bergen,http://www.ii.uib.no/~pekkap,,,,
Marco Calderini,University of Bergen,https://www.uib.no/en/persons/Marco.Calderini,y2A12kkAAAAJ,324.0,11.0,2011.0
Håkon Robbestad Gylterud,University of Bergen,https://hakon.gylterud.net,,,,
David Grellscheid,University of Bergen,https://www.uib.no/en/persons/David.Grellscheid,,,,
Petr A. Golovach,University of Bergen,https://folk.uib.no/pgo041,aN2vJYUAAAAJ,3586.0,31.0,1986.0
Jan-J. Rückmann,University of Bergen,https://www.uib.no/en/persons/Jan-Joachim.R%C3%BCckmann,U2MWZn4AAAAJ,1626.0,20.0,1986.0
Anya Helene Bagge,University of Bergen,https://www.ii.uib.no/~anya,lwEnPTUAAAAJ,345.0,9.0,2005.0
Torleiv Kløve,University of Bergen,http://www.ii.uib.no/~torleiv/engelsk.html,,,,
Tor Helleseth,University of Bergen,http://www.ii.uib.no/~torh,,,,
Jan Arne Telle,University of Bergen,http://www.ii.uib.no/~telle,,,,
Sverre Storøy,University of Bergen,https://www.uib.no/en/persons/Sverre.Stor%C3%B8y,,,,
Pinar Heggernes,University of Bergen,http://www.ii.uib.no/~pinar,,,,
Ahmad Hemmati,University of Bergen,https://www.uib.no/en/persons/Ahmad.Hemmati,,,,
Andreas L. Opdahl,University of Bergen,https://www.uib.no/en/persons/Andreas.Lothe.Opdahl,,,,
Fedor V. Fomin,University of Bergen,https://www.ii.uib.no/~fomin,96ZXvOsAAAAJ,13900.0,59.0,1970.0
ChunLei Li,University of Bergen,https://www.uib.no/en/persons/Chunlei.Li,,,,
Magne Haveraaen,University of Bergen,https://www.ii.uib.no/~magne,,,,
Jaakko Järvi,University of Bergen,https://www.ii.uib.no/~jjarvi,J0rDv4oAAAAJ,1555.0,18.0,
Trond Steihaug,University of Bergen,http://www.ii.uib.no/~trond,tMJ5VJAAAAAJ,5010.0,21.0,1977.0
