name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Gabriel Zachmann,University of Bremen,http://www.informatik.uni-bremen.de/~zach,rB_y-IkAAAAJ,4044.0,30.0,1994.0
Johannes Schöning,University of Bremen,https://johannesschoening.de,kLVhCO0AAAAJ,5940.0,42.0,2006.0
Nicole Megow,University of Bremen,https://cslog.uni-bremen.de/nmegow,wLEuDHIAAAAJ,1472.0,21.0,2002.0
Martin Gogolla,University of Bremen,http://www.db.informatik.uni-bremen.de/~gogolla,2Ou84CMAAAAJ,8423.0,47.0,1982.0
Frank Kirchner,University of Bremen,https://robotik.dfki-bremen.de/de/ueber-uns/mitarbeiter/frki01.html,cdsWBrEAAAAJ,6129.0,42.0,1990.0
Rolf Drechsler,University of Bremen,http://www.informatik.uni-bremen.de/agra/eng/team.php,9v_MAAIAAAAJ,18466.0,63.0,1992.0
Kerstin Schill,University of Bremen,http://www.cognitive-neuroinformatics.com/de/team/kerstin-schill,,,,
Ute Bormann,University of Bremen,https://www.szi.uni-bremen.de/wp-content/uploads/2012/09/p-rn.pdf,,,,
Thomas Schneider,University of Bremen,http://www.informatik.uni-bremen.de/~schneidt,A_iFXiQAAAAJ,1301.0,20.0,2002.0
Michael Beetz,University of Bremen,https://ai.uni-bremen.de/team/michael_beetz,mINzfREAAAAJ,20432.0,65.0,1987.0
Tanja Schultz,University of Bremen,https://www.uni-bremen.de/csl/team/mitarbeiter/prof-dr-ing-tanja-schultz,CupDmmcAAAAJ,14259.0,63.0,1992.0
Sebastian Siebertz,University of Bremen,https://www.mimuw.edu.pl/~siebertz,B2g3quQAAAAJ,1000.0,17.0,2011.0
Sebastian Maneth,University of Bremen,http://user.informatik.uni-bremen.de/smaneth,GyklaXkAAAAJ,3161.0,28.0,1949.0
Rainer Malaka,University of Bremen,https://www.uni-bremen.de/dmlab-1/team/rainer-malaka,BBtN8OYAAAAJ,4204.0,31.0,1990.0
Andreas Breiter,University of Bremen,https://agim.uni-bremen.de/team/breiter,,,,
Udo Frese,University of Bremen,http://www.informatik.uni-bremen.de/agebv/en/UdoFrese,mPHFB7oAAAAJ,3596.0,31.0,2000.0
Jan Peleska,University of Bremen,http://www.informatik.uni-bremen.de/agbs/jp,,,,
Carsten Lutz,University of Bremen,http://www.informatik.uni-bremen.de/~clu,xcsp66oAAAAJ,13052.0,60.0,1996.0
Rainer Koschke,University of Bremen,http://www.informatik.uni-bremen.de/~koschke,F02JdKUAAAAJ,9611.0,43.0,1996.0
Ron Kikinis,University of Bremen,http://www.mic.uni-bremen.de/cmt-management-team/ron-kikinis,n01L0mEAAAAJ,80312.0,143.0,1986.0
