name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Dan Schien,University of Bristol,http://www.bristol.ac.uk/engineering/departments/computerscience/people/daniel-schien,4C7fitQAAAAJ,473.0,12.0,2011.0
Walterio W. Mayol,University of Bristol,http://www.cs.bris.ac.uk/~wmayol,wzdFhjUAAAAJ,3260.0,29.0,1994.0
Rui Ponte Costa,University of Bristol,http://www.bristol.ac.uk/engineering/departments/computerscience/people/rui-a-ponte-costa,otGgQKQAAAAJ,1448.0,18.0,2007.0
Majid Mirmehdi,University of Bristol,http://www.cs.bris.ac.uk/~majid,NsW3yAwAAAAJ,7092.0,43.0,1991.0
Simon McIntosh-Smith,University of Bristol,http://www.cs.bris.ac.uk/~simonm,x_NzPLoAAAAJ,1872.0,24.0,1994.0
Dan Page,University of Bristol,http://www.cs.bris.ac.uk/~page,z55uDZcAAAAJ,3282.0,29.0,1998.0
Raphaël Clifford,University of Bristol,http://www.cs.bris.ac.uk/~clifford,9hXaff4AAAAJ,1363.0,21.0,1994.0
Tim Kovacs,University of Bristol,http://www.cs.bris.ac.uk/~kovacs,pil1zQsAAAAJ,2438.0,24.0,1972.0
Ruzanna Chitchyan,University of Bristol,http://www.bristol.ac.uk/engineering/departments/computerscience/people/ruzanna-chitchyan,puu5arMAAAAJ,3236.0,28.0,1999.0
Awais Rashid,University of Bristol,http://www.bristol.ac.uk/engineering/departments/computerscience/people/awais-a-rashid,pI5g2hIAAAAJ,9758.0,49.0,1965.0
Andrew Calway,University of Bristol,http://www.bris.ac.uk/engineering/people/andrew-d-calway/index.html,zMXplXcAAAAJ,5257.0,27.0,1994.0
G. A. Kavvos,University of Bristol,https://www.lambdabetaeta.eu,yWerYFkAAAAJ,144.0,7.0,2016.0
Theo Tryfonas,University of Bristol,http://www.bris.ac.uk/engineering/people/theo-tryfonas/index.html,,,,
Christian Konrad,University of Bristol,http://www.bristol.ac.uk/engineering/departments/computerscience/people/christian-konrad,pUijx84AAAAJ,651.0,14.0,2008.0
Cian O'Donnell,University of Bristol,http://www.bris.ac.uk/engineering/people/cian-odonnell/index.html,KGKHB2QAAAAJ,745.0,14.0,2005.0
Aisling Ann O'Kane,University of Bristol,http://www.bristol.ac.uk/engineering/departments/computerscience/people/aisling-a-okane,iclMxTUAAAAJ,567.0,11.0,2007.0
Kerstin Eder,University of Bristol,http://www.bris.ac.uk/engineering/people/kerstin-i-eder/index.html,,,,
Bogdan Warinschi,University of Bristol,http://www.bris.ac.uk/engineering/people/person/bogdan-warinschi/index.html,kS0oatgAAAAJ,5515.0,38.0,1997.0
Steve Gregory,University of Bristol,http://www.bris.ac.uk/engineering/people/steve-gregory/index.html,u8B4TW0AAAAJ,4608.0,25.0,1980.0
Chloe Martindale,University of Bristol,https://www.martindale.info,AKpOGBkAAAAJ,460.0,7.0,2013.0
