name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Julia Mosin,University of British Columbia,https://www.ece.ubc.ca/faculty/julia-rubin,IQNUPWgRnRsC,3157.0,27.0,2002.0
Mijung Park,University of British Columbia,https://www.cs.ubc.ca/people/mijung-park,fqKsAJcAAAAJ,599.0,16.0,2011.0
Alla Sheffer,University of British Columbia,http://www.cs.ubc.ca/~sheffa,IgkGxLsAAAAJ,10843.0,55.0,1996.0
Sathish Gopalakrishnan,University of British Columbia,https://www.ece.ubc.ca/faculty/sathish-gopalakrishnan,,,,
Mark Schmidt,University of British Columbia,http://www.cs.ubc.ca/~schmidtm,5BtEUJcAAAAJ,10713.0,43.0,2005.0
Kwang Moo Yi,University of British Columbia,https://cs.ubc.ca/~kmyi,pr6rIJEAAAAJ,5201.0,24.0,2007.0
Bill Aiello,University of British Columbia,https://www.cs.ubc.ca/people/bill-aiello,7gbCeoEAAAAJ,6898.0,37.0,1989.0
Joel Friedman,University of British Columbia,https://www.math.ubc.ca/~jf,,,,
Mohammad Shahrad,University of British Columbia,https://ece.ubc.ca/mohammad-shahrad,iXgmttoAAAAJ,652.0,9.0,2015.0
Alan Wagner,University of British Columbia,https://www.cs.ubc.ca/people/alan-wagner,YqBZgfgAAAAJ,1034.0,17.0,1983.0
Rachel Pottinger,University of British Columbia,http://www.cs.ubc.ca/~rap,B_GQDXMAAAAJ,2680.0,19.0,1999.0
Reid Holmes,University of British Columbia,https://www.cs.ubc.ca/~rtholmes,i2jSMA8AAAAJ,4673.0,31.0,2000.0
Mathias Lécuyer,University of British Columbia,https://mathias.lecuyer.me,WeIvMTUAAAAJ,918.0,9.0,2013.0
Thomas F. J.-M. Pasquier,University of British Columbia,https://tfjmp.org,TplQGj4AAAAJ,1452.0,20.0,2013.0
Alexandra (Sasha) Fedorova,University of British Columbia,https://www.ece.ubc.ca/faculty/alexandra-sasha-fedorova,orMwSjoAAAAJ,7036.0,41.0,1999.0
Alexander J. Summers,University of British Columbia,http://people.inf.ethz.ch/summersa,q1bbqYEAAAAJ,1182.0,19.0,2005.0
Robert Xiao,University of British Columbia,https://www.robertxiao.ca,uphhX0QAAAAJ,2315.0,28.0,2009.0
William J. Bowman,University of British Columbia,https://www.williamjbowman.com,Vbnpt_EAAAAJ,204.0,6.0,2011.0
Helge Rhodin,University of British Columbia,http://helge.rhodin.de,2maWWboAAAAJ,3024.0,23.0,2010.0
Ivan Beschastnikh,University of British Columbia,http://www.cs.ubc.ca/~bestchai,iKnYSo8AAAAJ,3395.0,30.0,2006.0
Alan J. Hu,University of British Columbia,http://www.cs.ubc.ca/~ajh,6-JE5-cAAAAJ,4543.0,34.0,1986.0
Matei Ripeanu,University of British Columbia,http://www.ece.ubc.ca/~matei,eeMpO3wAAAAJ,10726.0,43.0,2000.0
Nicholas J. A. Harvey,University of British Columbia,http://www.cs.ubc.ca/~nickhar,xdTtK9IAAAAJ,4583.0,32.0,1993.0
Ronald Garcia,University of British Columbia,http://www.cs.ubc.ca/~rxg,QqnkA2IAAAAJ,2540.0,31.0,2002.0
Michiel van de Panne,University of British Columbia,https://www.cs.ubc.ca/~van,lJwPbcUAAAAJ,9574.0,50.0,1984.0
Prashant J. Nair,University of British Columbia,https://prashantnair.bitbucket.io,IweLDwwAAAAJ,1568.0,19.0,2013.0
Vered Shwartz,University of British Columbia,https://www.cs.ubc.ca/~vshwartz,bbe4ResAAAAJ,1392.0,18.0,2015.0
Aastha Mehta,University of British Columbia,https://aasthakm.github.io,l1jObzoAAAAJ,603.0,5.0,2014.0
Mark R. Greenstreet,University of British Columbia,https://www.cs.ubc.ca/people/mark-greenstreet,,,,
Tor M. Aamodt,University of British Columbia,https://www.ece.ubc.ca/~aamodt,zCsB5XsAAAAJ,7972.0,34.0,1999.0
F. Bruce Shepherd,University of British Columbia,https://bshepherd.ca,x2Mfyz8AAAAJ,4555.0,33.0,1985.0
Karthik Pattabiraman,University of British Columbia,http://blogs.ubc.ca/karthik,p_V9YWgAAAAJ,4876.0,40.0,2004.0
Jeff Clune,University of British Columbia,https://www.cs.ubc.ca/people/jeff-clune,5TZ7f5wAAAAJ,22531.0,46.0,2004.0
Danica J. Sutherland,University of British Columbia,https://www.cs.ubc.ca/~dsuth,uO_NqicAAAAJ,1806.0,18.0,2008.0
Michael J. Feeley,University of British Columbia,https://www.cs.ubc.ca/people/mike-feeley,g93mhb4AAAAJ,4534.0,22.0,1991.0
Andrew Roth,University of British Columbia,https://aroth85.github.io,5hPCABoAAAAJ,6801.0,20.0,2009.0
Karon E. MacLean,University of British Columbia,https://www.cs.ubc.ca/~maclean,qANkJFwAAAAJ,7209.0,46.0,1987.0
Kevin Leyton-Brown,University of British Columbia,http://www.cs.ubc.ca/~kevinlb,_4dnp0IAAAAJ,21152.0,56.0,1998.0
Ali Mesbah,University of British Columbia,https://www.ece.ubc.ca/~amesbah,6CdatVEAAAAJ,5606.0,42.0,2002.0
Leonid Sigal,University of British Columbia,https://www.cs.ubc.ca/~lsigal,,,,
James J. Little,University of British Columbia,http://www.cs.ubc.ca/~little,a0za4V8AAAAJ,16596.0,55.0,1974.0
Dinesh K. Pai,University of British Columbia,https://www.cs.ubc.ca/~pai,ZiON80cAAAAJ,9902.0,51.0,1986.0
Michael P. Friedlander,University of British Columbia,http://www.cs.ubc.ca/~mpf,mOgIIH4AAAAJ,9954.0,28.0,
Tamara Munzner,University of British Columbia,https://www.cs.ubc.ca/~tmm,c2Att08AAAAJ,12131.0,49.0,1986.0
Ian M. Mitchell,University of British Columbia,https://www.cs.ubc.ca/~mitchell,bTG82acAAAAJ,7359.0,34.0,1996.0
Gail C. Murphy,University of British Columbia,http://www.cs.ubc.ca/~murphy,EGA1deoAAAAJ,19315.0,67.0,1992.0
Raymond T. Ng,University of British Columbia,https://www.cs.ubc.ca/~rng,reYJaYMAAAAJ,32824.0,67.0,1990.0
Joanna McGrenere,University of British Columbia,http://www.cs.ubc.ca/~joanna,ZRWlokAAAAAJ,5287.0,36.0,1995.0
Alan K. Mackworth,University of British Columbia,http://www.cs.ubc.ca/~mack,6Jf5GeYAAAAJ,15882.0,38.0,1973.0
David L. Poole,University of British Columbia,https://www.cs.ubc.ca/~poole,CeWswygAAAAJ,15731.0,49.0,1984.0
Gregor Kiczales,University of British Columbia,https://www.cs.ubc.ca/~gregor,Odh4GSYAAAAJ,26889.0,41.0,
Laks V. S. Lakshmanan,University of British Columbia,https://www.cs.ubc.ca/~laks,_RCsaOsAAAAJ,20035.0,73.0,1991.0
Holger H. Hoos,University of British Columbia,http://www.cs.ubc.ca/~hoos,l6c85tMAAAAJ,33465.0,76.0,1994.0
Chen Greif,University of British Columbia,https://www.cs.ubc.ca/~greif,,,,
Margo I. Seltzer,University of British Columbia,https://www.eecs.harvard.edu/margo,XeyiyUYAAAAJ,16458.0,68.0,1989.0
Ronald A. Rensink,University of British Columbia,https://www.cs.ubc.ca/~rensink,s_5xXxQXpU0C,16312.0,42.0,1982.0
Dongwook Yoon,University of British Columbia,http://dwyoon.com,OQS7nQcAAAAJ,462.0,13.0,2009.0
Anne Condon,University of British Columbia,http://www.cs.ubc.ca/~condon,SO_j4zwAAAAJ,9470.0,47.0,1986.0
Giuseppe Carenini,University of British Columbia,https://www.cs.ubc.ca/~carenini,HNNL22kAAAAJ,6389.0,46.0,1990.0
Uri M. Ascher,University of British Columbia,https://www.cs.ubc.ca/~ascher,eX08ztMAAAAJ,17203.0,52.0,1977.0
Cristina Conati,University of British Columbia,http://www.cs.ubc.ca/~conati,Ytp9oFQAAAAJ,8997.0,49.0,1993.0
William S. Evans,University of British Columbia,https://www.cs.ubc.ca/people/william-evans,JU1Z-DcAAAAJ,3583.0,25.0,1989.0
Siamak (Moshen) Ravanbakhsh,University of British Columbia,https://www.cs.ubc.ca/people/siamak-ravanbakhsh,,,,
Norman C. Hutchinson,University of British Columbia,https://www.cs.ubc.ca/people/norm-hutchinson,dbN2vS4AAAAJ,8612.0,33.0,1982.0
Frank D. Wood,University of British Columbia,https://www.cs.ubc.ca/~fwood,d4yNzXIAAAAJ,4975.0,37.0,
