name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Marcelo Risk,University of Buenos Aires,https://www.dc.uba.ar/rrhh/profesores/risk,Y6QTnx4AAAAJ,1342.0,20.0,1994.0
Diego Garbervetsky,University of Buenos Aires,http://lafhis.dc.uba.ar/en/~diegog,dXb-veoAAAAJ,720.0,15.0,2001.0
Isabel Méndez-Díaz,University of Buenos Aires,https://www.dc.uba.ar/rrhh/profesores/mendezdiaz,,,,
Ricardo Rodriguez,University of Buenos Aires,http://www-2.dc.uba.ar/profesores/ricardo,I14fhF4AAAAJ,3830.0,30.0,2002.0
Santiago Figueira,University of Buenos Aires,http://www.glyc.dc.uba.ar/santiago,WzLmB-4AAAAJ,940.0,17.0,2002.0
Diego Fernández Slezak,University of Buenos Aires,https://neuro.org.ar/profile/70,nvVcDr4AAAAJ,2139.0,20.0,2003.0
Flavia Bonomo,University of Buenos Aires,http://mate.dm.uba.ar/~fbonomo,6VEZpsYAAAAJ,1202.0,19.0,2004.0
Juan P. Galeotti,University of Buenos Aires,http://lafhis.dc.uba.ar/en/~jgaleotti,xeL-QIoAAAAJ,946.0,17.0,2005.0
Hernán C. Melgratti,University of Buenos Aires,http://lafhis.dc.uba.ar/en/~melgratti,bLFVsAQAAAAJ,1101.0,14.0,2003.0
Sebastián Uchitel,University of Buenos Aires,http://lafhis.dc.uba.ar/en/~suchitel,v-rnR5UAAAAJ,6077.0,40.0,1999.0
Rodrigo Castro,University of Buenos Aires,http://www.dc.uba.ar/People/rcastro,RyiXX3YAAAAJ,4805.0,34.0,
Sergio Yovine,University of Buenos Aires,http://lafhis.dc.uba.ar/en/~syovine,IFVbNzUAAAAJ,11894.0,39.0,1991.0
Víctor A. Braberman,University of Buenos Aires,http://lafhis.dc.uba.ar/en/~vbraber,,,,
Hernán Wilkinson,University of Buenos Aires,https://www.dc.uba.ar/rrhh/profesores/wilkinson,,,,
Carlos Gustavo López Pombo,University of Buenos Aires,https://www.dc.uba.ar/~clpombo,DGmfF8QAAAAJ,565.0,10.0,2002.0
Pablo de Cristóforis,University of Buenos Aires,https://www.dc.uba.ar/rrhh/profesores/decristoforis,v0TPxugAAAAJ,585.0,10.0,2007.0
Agustín Gravano,University of Buenos Aires,http://habla.dc.uba.ar/gravano,GrKOwHIAAAAJ,2154.0,23.0,2001.0
Pablo G. Turjanski,University of Buenos Aires,https://www.dc.uba.ar/inv/lsc/PTurjanski,,,,
Francisco J. Soulignac,University of Buenos Aires,http://www-2.dc.uba.ar/profesores/lin/docs/cv/cv_oscar.htm,,,,
Verónica Becher,University of Buenos Aires,http://www-2.dc.uba.ar/profesores/becher,_7APZ6sAAAAJ,1053.0,16.0,1993.0
Enrique Carlos Segura,University of Buenos Aires,http://www-2.dc.uba.ar/profesores/segura/homepage.html,,,,
Marta Mejail,University of Buenos Aires,https://www.dc.uba.ar/rrhh/profesores/mejail,WMy2FhwAAAAJ,1295.0,19.0,1990.0
Javier L. Marenco,University of Buenos Aires,https://www.dc.uba.ar/rrhh/profesores/marenco,,,,
Paula Zabala,University of Buenos Aires,https://www.dc.uba.ar/materias/aed3/2013/2c/docentes/zabala,Zxmyb4MAAAAJ,920.0,13.0,1999.0
Esteban E. Mocskos,University of Buenos Aires,https://www.dc.uba.ar/inv/lsc/EMosckos,Epv1jNoAAAAJ,463.0,10.0,2002.0
Esteban Feuerstein,University of Buenos Aires,http://www-2.dc.uba.ar/profesores/feuerstein,tPLDixQAAAAJ,996.0,14.0,1992.0
Santiago Ceria,University of Buenos Aires,https://twitter.com/santiagoceria?lang=en,,,,
Claudio E. Righetti,University of Buenos Aires,https://twitter.com/c_e_righetti?lang=en,,,,
Min Chih Lin,University of Buenos Aires,http://www.ic.fcen.uba.ar/~mlin/homepage.html,,,,
Nicolás D'Ippolito,University of Buenos Aires,http://lafhis.dc.uba.ar/en/~dippolito,zVAhnsUAAAAJ,1005.0,17.0,2007.0
Irene Loiseau,University of Buenos Aires,https://www.dc.uba.ar/People/loiseau,,,,
Alejandro Martínez-Ríos,University of Buenos Aires,https://www.facebook.com/public/Alj-Rios,,,,
Fernando Schapachnik,University of Buenos Aires,http://lafhis.dc.uba.ar/en/~fpscha,,,,
