name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Majid Ghaderi,University of Calgary,http://www.ucalgary.ca/~mghaderi,ZjsBzlAAAAAJ,1810.0,22.0,1992.0
Ehud Sharlin,University of Calgary,http://utouch.cpsc.ucalgary.ca,eAFxlZIAAAAJ,3421.0,26.0,2000.0
Renate Scheidler,University of Calgary,http://people.ucalgary.ca/~rscheidl,EkWmcu4AAAAJ,797.0,15.0,1990.0
Lora Oehlberg,University of Calgary,http://cpsc.ucalgary.ca/~lora.oehlberg,8GzaBdwAAAAJ,1409.0,19.0,2004.0
Reda Alhajj,University of Calgary,http://alhajj.cpsc.ucalgary.ca,,,,
Guenther Ruhe,University of Calgary,http://ruhe.cpsc.ucalgary.ca,5nL_z0oAAAAJ,8076.0,47.0,1981.0
Sonny Chan,University of Calgary,http://contacts.ucalgary.ca/info/cpsc/profiles/1-5063313,,,,
Ben Stephenson,University of Calgary,http://www.ucalgary.ca/~bdstephe,oIsadHAAAAAJ,324.0,7.0,2011.0
Przemyslaw Prusinkiewicz,University of Calgary,http://algorithmicbotany.org,pjH7e8IAAAAJ,22097.0,69.0,1983.0
Rob Kremer,University of Calgary,http://kremer.cpsc.ucalgary.ca,KTHrGlQAAAAJ,9796.0,54.0,1975.0
Michael J. Jacobson Jr.,University of Calgary,http://cpsc.ucalgary.ca/~jacobs,,,,
Ken Barker,University of Calgary,http://www.ucalgary.ca/kbarker,jX6Svt4AAAAJ,17887.0,58.0,1968.0
Anthony Hoi Tin Tang,University of Calgary,http://hcitang.org,RG1EQowAAAAJ,4662.0,41.0,2003.0
Pavol Federl,University of Calgary,http://contacts.ucalgary.ca/info/cpsc/profiles/102-12711,euyKfgUAAAAJ,4444.0,25.0,1977.0
Nelson Wong,University of Calgary,http://contacts.ucalgary.ca/info/cpsc/profiles/102-2540,v71Oi_EAAAAJ,1265.0,11.0,2003.0
Nathaly Verwaal,University of Calgary,http://contacts.ucalgary.ca/info/cpsc/profiles/102-3419,,,,
Leonard Manzara,University of Calgary,http://contacts.ucalgary.ca/info/cpsc/profiles/102-3503,,,,
Wesley J. Willett,University of Calgary,http://www.wjwillett.net,Q17-rckAAAAJ,2280.0,22.0,2005.0
Jörg Denzinger,University of Calgary,http://cpsc.ucalgary.ca/~denzinge,Mb2LCH8AAAAJ,2559.0,28.0,1988.0
Zongpeng Li,University of Calgary,http://www.cpsc.ucalgary.ca/~zongpeng,UnsBY_AAAAAJ,8134.0,43.0,1990.0
Frank Maurer,University of Calgary,http://www.ucalgary.ca/research/home/office-vice-president-research/about-vpr-team/frank-maurer-associate-vice-president-research,KA76kpYAAAAJ,8760.0,46.0,1989.0
Mea Wang,University of Calgary,http://networks.cpsc.ucalgary.ca/mea,CgdJUiMAAAAJ,1776.0,18.0,2004.0
Saul Greenberg,University of Calgary,http://saul.cpsc.ucalgary.ca,TthhUuoAAAAJ,31043.0,95.0,
Philipp Woelfel,University of Calgary,http://www.cpsc.ucalgary.ca/~woelfel,J68eFroAAAAJ,1343.0,22.0,1999.0
Christian Jacob,University of Calgary,http://www.cpsc.ucalgary.ca/~jacob,DUxb0k0AAAAJ,11629.0,52.0,1949.0
J. Robin B. Cockett,University of Calgary,http://www.cpsc.ucalgary.ca/~robin,eWreFm4AAAAJ,1759.0,23.0,1984.0
Philip W. L. Fong,University of Calgary,http://www.cpsc.ucalgary.ca/~pwlfong,qBhH0KQAAAAJ,1823.0,19.0,1992.0
Mario Costa Sousa,University of Calgary,http://www.cpsc.ucalgary.ca/~mario,xRhWiGAAAAAJ,4310.0,31.0,1994.0
Marina Gavrilova,University of Calgary,http://www.cpsc.ucalgary.ca/~marina,q3vR88gAAAAJ,5038.0,38.0,1994.0
Michael E. Locasto,University of Calgary,http://www.cpsc.ucalgary.ca/~locasto,061wKngAAAAJ,1120.0,16.0,1985.0
Peter Høyer,University of Calgary,http://www.cpsc.ucalgary.ca/~hoyer,pW8196oAAAAJ,12820.0,57.0,1981.0
Wayne Eberly,University of Calgary,http://www.cpsc.ucalgary.ca/~eberly,,,,
John Aycock,University of Calgary,http://www.cpsc.ucalgary.ca/~aycock,,,,
Robert J. Walker,University of Calgary,http://lsmr.org/walker,lvXu4XcAAAAJ,4383.0,20.0,1972.0
Jalal Kawash,University of Calgary,http://www.cpsc.ucalgary.ca/~kawash,,,,
Faramarz F. Samavati,University of Calgary,http://www.cpsc.ucalgary.ca/~samavati,,,,
Jeffrey E. Boyd,University of Calgary,http://pages.cpsc.ucalgary.ca/~boyd,C285XCoAAAAJ,2013.0,27.0,2001.0
Joel Reardon,University of Calgary,http://pages.cpsc.ucalgary.ca/~joel.reardon,,,,
Reihaneh Safavi-Naini,University of Calgary,http://pages.cpsc.ucalgary.ca/~rei,SjZEzOYAAAAJ,9574.0,44.0,1978.0
Jon G. Rokne,University of Calgary,http://pages.cpsc.ucalgary.ca/~rokne,M3-3rtoAAAAJ,5970.0,34.0,1966.0
James Tam,University of Calgary,http://pages.cpsc.ucalgary.ca/~tamj,,,,
Usman R. Alim,University of Calgary,http://pages.cpsc.ucalgary.ca/~ualim,bTkaKOcAAAAJ,247.0,9.0,2007.0
Carey L. Williamson,University of Calgary,http://www.cpsc.ucalgary.ca/~carey,W4YwlF4AAAAJ,10464.0,44.0,1984.0
Ryo Suzuki,University of Calgary,https://ryosuzuki.org,klWjaQIAAAAJ,802.0,16.0,2015.0
Ryan Henry,University of Calgary,http://homes.soic.indiana.edu/henry,kj6ctNwAAAAJ,557.0,12.0,2010.0
