name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Ross Anderson,University of Cambridge,https://www.cl.cam.ac.uk/~rja14,WgyDcoUAAAAJ,41196.0,81.0,
Glynn Winskel,University of Cambridge,https://www.cl.cam.ac.uk/~gw104,4G6EhwMAAAAJ,12148.0,43.0,1979.0
Robert Harle,University of Cambridge,https://www.cl.cam.ac.uk/~rkh23,MUWnoZIAAAAJ,4531.0,24.0,1988.0
Frank Stajano,University of Cambridge,https://www.cl.cam.ac.uk/~fms27,gpmtO_gAAAAJ,9774.0,34.0,1994.0
Eva Kalyvianaki,University of Cambridge,https://www.cl.cam.ac.uk/~ek264,8nhT3JAAAAAJ,1358.0,13.0,2001.0
Alan Blackwell,University of Cambridge,http://www.cl.cam.ac.uk/~afb21,0kWwkEUAAAAJ,10805.0,51.0,1987.0
Andrew W. Moore,University of Cambridge,https://www.cl.cam.ac.uk/~awm22,lSWWr04AAAAJ,9872.0,38.0,1989.0
Lawrence C. Paulson,University of Cambridge,https://www.cl.cam.ac.uk/~lp15,Sv1hcjEAAAAJ,19285.0,56.0,1981.0
Carl Henrik Ek,University of Cambridge,http://carlhenrik.com,9yQ1tQoAAAAJ,1833.0,20.0,2005.0
Robert D. Mullins,University of Cambridge,https://www.cl.cam.ac.uk/~rdm34,zjXO2HMAAAAJ,2756.0,21.0,1995.0
Richard M. Mortier,University of Cambridge,http://mort.io,9LJgRFAAAAAJ,9330.0,41.0,1999.0
Srinivasan Keshav,University of Cambridge,http://blizzard.cs.uwaterloo.ca/keshav,-EMkK7QAAAAJ,19384.0,61.0,1987.0
Peter Sewell,University of Cambridge,https://www.cl.cam.ac.uk/~pes20,EkIgIUcAAAAJ,7425.0,46.0,1987.0
Peter Robinson,University of Cambridge,https://www.cl.cam.ac.uk/~pr10,91NxdC4AAAAJ,10586.0,48.0,
Anil Madhavapeddy,University of Cambridge,https://anil.recoil.org,u2nZ7F8AAAAJ,3413.0,27.0,2003.0
Mateja Jamnik,University of Cambridge,https://www.cl.cam.ac.uk/~mj201,,,,
Jon Crowcroft,University of Cambridge,https://www.cl.cam.ac.uk/~jac22,qnMs-XYAAAAJ,52508.0,96.0,
Ian M. Leslie,University of Cambridge,https://www.cl.cam.ac.uk/~iml1,,,,
Markus G. Kuhn,University of Cambridge,https://www.cl.cam.ac.uk/~mgk25,4FSAZOsAAAAJ,14118.0,34.0,1995.0
Andreas Vlachos,University of Cambridge,https://www.cl.cam.ac.uk/~av308,XjWnyM4AAAAJ,4686.0,35.0,1999.0
Marcelo Fiore,University of Cambridge,https://www.cl.cam.ac.uk/~mpf23,0uLCV2EAAAAJ,2907.0,31.0,1994.0
Neel Krishnaswami,University of Cambridge,https://www.cl.cam.ac.uk/~nk480,qCE8eVcAAAAJ,1169.0,21.0,1969.0
Paula Buttery,University of Cambridge,https://www.cl.cam.ac.uk/~pjb48,,,,
Hatice Gunes,University of Cambridge,https://www.cl.cam.ac.uk/~hg410,2WkE1wYAAAAJ,6641.0,35.0,2002.0
Edward John Briscoe,University of Cambridge,https://www.cl.cam.ac.uk/~ejb1,qNP6lAwAAAAJ,10332.0,52.0,1984.0
Pietro Liò,University of Cambridge,https://www.cl.cam.ac.uk/~pl219,3YrWf7EAAAAJ,29346.0,59.0,1994.0
Jeremy Yallop,University of Cambridge,http://www.cl.cam.ac.uk/~jdy22,NIk5CuwAAAAJ,996.0,13.0,2005.0
Jamie Vicary,University of Cambridge,https://www.cl.cam.ac.uk/~jv258,9LG1IeMAAAAJ,983.0,15.0,2005.0
David Greaves,University of Cambridge,https://www.cl.cam.ac.uk/~djg11,WStMFkYAAAAJ,1112.0,15.0,1984.0
Sean B. Holden,University of Cambridge,https://www.cl.cam.ac.uk/~sbh11,,,,
Simone Teufel,University of Cambridge,https://www.cl.cam.ac.uk/~sht25,GnKIYCcAAAAJ,7331.0,42.0,1994.0
Simon W. Moore,University of Cambridge,https://www.cl.cam.ac.uk/~swm11,hPhDxHwAAAAJ,5095.0,33.0,1987.0
Alan Mycroft,University of Cambridge,https://www.cl.cam.ac.uk/~am21,0ycSEz8AAAAJ,4592.0,31.0,1980.0
Andrew M. Pitts,University of Cambridge,https://www.cl.cam.ac.uk/~amp12,J1wRn3oAAAAJ,7265.0,39.0,1980.0
Timothy M. Jones,University of Cambridge,https://www.cl.cam.ac.uk/~tmj32,qnn3-gMAAAAJ,1611.0,23.0,1981.0
Thomas Sauerwald,University of Cambridge,https://www.cl.cam.ac.uk/~tms41,lidwLWIAAAAJ,2000.0,28.0,2004.0
Anna Korhonen,University of Cambridge,https://www.cl.cam.ac.uk/~alk23,SCoVoOYAAAAJ,9558.0,47.0,1997.0
Alastair R. Beresford,University of Cambridge,https://www.cl.cam.ac.uk/~arb33,KJmh8GAAAAAJ,5968.0,29.0,2001.0
Timothy G. Griffin,University of Cambridge,https://www.cl.cam.ac.uk/~tgg22,bNZfDVgAAAAJ,10588.0,41.0,1975.0
Robert N. M. Watson,University of Cambridge,https://www.cl.cam.ac.uk/~rnw24,wAO9FfoAAAAJ,4641.0,30.0,1999.0
Cecilia Mascolo,University of Cambridge,https://www.cl.cam.ac.uk/~cm542,Ej4BNaQAAAAJ,21816.0,71.0,1996.0
Ian J. Wassell,University of Cambridge,https://www.cl.cam.ac.uk/research/dtg/www/people/ijw24,jHRJWk8AAAAJ,4574.0,34.0,1986.0
Amanda Prorok,University of Cambridge,https://www.proroklab.org,o7xMDgEAAAAJ,1287.0,20.0,2008.0
Rafal K. Mantiuk,University of Cambridge,https://www.cl.cam.ac.uk/~rkm38,pJEb8x4AAAAJ,7767.0,42.0,1983.0
Damon Wischik,University of Cambridge,https://www.cl.cam.ac.uk/~djw1005,,,,
Alice Hutchings,University of Cambridge,https://www.cl.cam.ac.uk/~ah793,kITQ0T8AAAAJ,1383.0,20.0,2007.0
Andrew Hopper,University of Cambridge,https://www.cl.cam.ac.uk/~ah12,WBr_GXUAAAAJ,19873.0,40.0,1971.0
José Miguel Hernández-Lobato,University of Cambridge,http://jmhl.org,BEBccCQAAAAJ,9008.0,38.0,2006.0
John Daugman,University of Cambridge,https://www.cl.cam.ac.uk/~jgd1000,D0Q3owUAAAAJ,32963.0,39.0,1980.0
Neil D. Lawrence,University of Cambridge,http://inverseprobability.com,r3SJcvoAAAAJ,19874.0,66.0,1997.0
Andrew C. Rice,University of Cambridge,https://www.cl.cam.ac.uk/~acr31,bxvOPw8AAAAJ,3159.0,23.0,2002.0
Ferenc Huszar,University of Cambridge,https://www.inference.vc/about,koQCVT4AAAAJ,15308.0,23.0,2007.0
Anuj Dawar,University of Cambridge,https://www.cl.cam.ac.uk/~ad260,xdOimF8AAAAJ,2726.0,30.0,1988.0
Ann A. Copestake,University of Cambridge,https://www.cl.cam.ac.uk/~aac10,wqzh1HwAAAAJ,9650.0,46.0,1986.0
