name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Matthias Galster,University of Canterbury,http://www.cosc.canterbury.ac.nz/matthias.galster,,,,
Austen Rainer,University of Canterbury,https://www.cosc.canterbury.ac.nz/austen.rainer,KpFTNeQAAAAJ,4230.0,21.0,1998.0
Dong Seong Kim,University of Canterbury,http://cosc.canterbury.ac.nz/dongseong.kim,Fuu6i50AAAAJ,5720.0,34.0,1992.0
Tadao Takaoka,University of Canterbury,http://www.cosc.canterbury.ac.nz/tad.takaoka,M5viz6kAAAAJ,1558.0,19.0,1969.0
Tim Bell,University of Canterbury,http://www.cosc.canterbury.ac.nz/tim.bell,TpHIeC4AAAAJ,13864.0,46.0,1986.0
R. Mukundan,University of Canterbury,http://www.cosc.canterbury.ac.nz/mukundan,Bk5BJ80AAAAJ,4988.0,26.0,1990.0
Moffat Mathews,University of Canterbury,http://www.cosc.canterbury.ac.nz/moffat.mathews,S_0AsA4AAAAJ,483.0,13.0,2006.0
Neville Churcher,University of Canterbury,http://www.cosc.canterbury.ac.nz/neville.churcher,0B_iGfgAAAAJ,1285.0,21.0,1982.0
Krzysztof Pawlikowski,University of Canterbury,http://www.cosc.canterbury.ac.nz/krys.pawlikowski,_kwcKaYAAAAJ,3072.0,21.0,1980.0
Thomas Young,University of Canterbury,https://www.cosc.canterbury.ac.nz/thomas.young,,,,
Andreas Willig,University of Canterbury,http://www.cosc.canterbury.ac.nz/andreas.willig,,,,
Rob Lindeman,University of Canterbury,http://www.canterbury.ac.nz/spark/Researcher.aspx?researcherid=4447467,50jH5EUAAAAJ,4076.0,34.0,1987.0
Antonija Mitrovic,University of Canterbury,http://www.cosc.canterbury.ac.nz/tanja.mitrovic,qIf7b10AAAAJ,7842.0,44.0,1993.0
Andy Cockburn,University of Canterbury,http://www.cosc.canterbury.ac.nz/andrew.cockburn,HzupDnMAAAAJ,13255.0,64.0,1978.0
Richard D. Green,University of Canterbury,http://www.cosc.canterbury.ac.nz/richard.green,,,,
Walter Guttmann,University of Canterbury,http://www.cosc.canterbury.ac.nz/walter.guttmann,,,,
Kourosh Neshatian,University of Canterbury,http://www.cosc.canterbury.ac.nz/kourosh.neshatian,,,,
