name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
C. Maria Keet,University of Cape Town,http://www.meteck.org,lccln9YAAAAJ,2308.0,26.0,2003.0
Hussein Suleman,University of Cape Town,http://www.husseinsspace.com,7efxJWkAAAAJ,1708.0,19.0,1997.0
Rob Simmonds,University of Cape Town,https://www.researchgate.net/profile/Rob_Simmonds,,,,
Geoff Nitschke,University of Cape Town,https://people.cs.uct.ac.za/~gnitschke,jgX5HxoAAAAJ,1049.0,13.0,2001.0
Melissa Densmore,University of Cape Town,http://www.melissadensmore.com,5Bqgw2gAAAAJ,2072.0,20.0,2003.0
James E. Gain,University of Cape Town,https://people.cs.uct.ac.za/~jgain,ZN802qkAAAAJ,2318.0,22.0,
Deshen Moodley,University of Cape Town,https://people.cs.uct.ac.za/~deshen,GfuDovEAAAAJ,938.0,14.0,1996.0
Thomas Andreas Meyer,University of Cape Town,https://people.cs.uct.ac.za/~tmeyer,Ua2MNSoAAAAJ,2589.0,29.0,1989.0
Sonia Berman,University of Cape Town,https://www.cs.uct.ac.za/research/research-interests-sonia-berman,,,,
Michelle Kuttel,University of Cape Town,https://people.cs.uct.ac.za/~mkuttel,NRu5-Y0AAAAJ,1089.0,16.0,1999.0
Josiah Chavula,University of Cape Town,https://josiahchavula.com,jScKDq8AAAAJ,148.0,6.0,2014.0
Patrick Marais,University of Cape Town,https://people.cs.uct.ac.za/~patrick,cW32uPMAAAAJ,1251.0,15.0,1993.0
