name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Ivan Garibay,University of Central Florida,https://www.cs.ucf.edu/~garibay,rPuLfoMAAAAJ,743.0,13.0,2000.0
Dan C. Marinescu,University of Central Florida,https://www.cs.ucf.edu/~dcm,YoLdEIIAAAAJ,4696.0,32.0,1977.0
James K. Baker,University of Central Florida,https://www.cs.ucf.edu/person/james-baker,WZnF8C0AAAAJ,2708.0,28.0,1993.0
Elaine J. Weyuker,University of Central Florida,https://www.cs.ucf.edu/person/elaine-weyuker,xXjQoLIAAAAJ,15766.0,54.0,1973.0
Dirk Reiners,University of Central Florida,https://www.cs.ucf.edu/person/dirk-reiners,LQaMP7IAAAAJ,1629.0,19.0,1994.0
Qun Zhou,University of Central Florida,https://www.ece.ucf.edu/sidal,10gQjv4AAAAJ,551.0,11.0,2008.0
Chen Chen,University of Central Florida,https://www.crcv.ucf.edu/chenchen,TuEwcZ0AAAAJ,9837.0,50.0,2009.0
Sumanta N. Pattanaik,University of Central Florida,http://www.cs.ucf.edu/~sumant,e2tGEjUAAAAJ,8288.0,33.0,1988.0
Abhijit Mahalanobis,University of Central Florida,https://www.crcv.ucf.edu/person/abhijit-mahalanobis,L9Y5FbwAAAAJ,5120.0,33.0,1980.0
Mubarak Shah,University of Central Florida,https://www.crcv.ucf.edu/person/mubarak-shah,p8gsO3gAAAAJ,73631.0,122.0,
Yogesh Singh Rawat,University of Central Florida,https://www.crcv.ucf.edu/person/rawat,D_JvEcwAAAAJ,697.0,12.0,1993.0
Johnathan Mell,University of Central Florida,https://jtmell.com,VoRlLBMAAAAJ,321.0,9.0,2015.0
Joe LaViola,University of Central Florida,https://www.cs.ucf.edu/~jjl,kXZaMu8AAAAJ,12699.0,46.0,1987.0
Chinwendu Enyioha,University of Central Florida,https://cenyioha.eecs.ucf.edu,n2JP3psAAAAJ,635.0,11.0,2007.0
Pamela J. Wisniewski,University of Central Florida,https://stirlab.org,3JZB10QAAAAJ,3333.0,29.0,2007.0
Jun Wang,University of Central Florida,http://www.cass.eecs.ucf.edu/?page_id=1249,DznztJwAAAAJ,4730.0,20.0,2012.0
Carolina Cruz-Neira,University of Central Florida,https://www.cs.ucf.edu/person/carolina-cruz-neira,7oDeTpkAAAAJ,8692.0,23.0,1991.0
Xiaoman Li,University of Central Florida,https://www.cs.ucf.edu/~xiaoman,OlCzjxAAAAAJ,2190.0,23.0,2003.0
Dexter Hadley,University of Central Florida,https://med.ucf.edu/person/dexter-hadley-md-phd-m-s-e,2o8ORCAAAAAJ,5369.0,28.0,
Yan Solihin,University of Central Florida,https://sites.google.com/view/arpers,tndlIesAAAAJ,7864.0,42.0,
Greg Welch,University of Central Florida,https://sreal.ucf.edu/people/welch,9rHaWCYAAAAJ,24297.0,52.0,1985.0
Jiann-Shiun Yuan,University of Central Florida,https://sites.google.com/site/yuanjs168,b-C_s6gAAAAJ,4178.0,32.0,
Yao Li,University of Central Florida,https://yaoliusa.weebly.com,7njgCKIAAAAJ,200.0,7.0,2015.0
Niels da Vitoria Lobo,University of Central Florida,https://www.crcv.ucf.edu/person/niels-lobo,hjzQhbgAAAAJ,5443.0,30.0,
Yanjie Fu,University of Central Florida,http://yanjiefu.com,OSArex4AAAAJ,3125.0,28.0,2011.0
Issa Batarseh,University of Central Florida,http://www.cecs.ucf.edu/faculty/issa-batarseh,xl0jn_IAAAAJ,14521.0,59.0,1987.0
Ronald F. DeMara,University of Central Florida,http://cal.ucf.edu,jZpJNhoAAAAJ,5457.0,39.0,1986.0
Paul Gazzillo,University of Central Florida,https://paulgazzillo.com,Ywp0CG8AAAAJ,498.0,8.0,2008.0
