name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Anne Rogers,University of Chicago,https://www.cs.uchicago.edu/directory/anne-rogers,bvwR0G8AAAAJ,29603.0,91.0,1984.0
Fred Chong,University of Chicago,http://people.cs.uchicago.edu/~ftchong,U6OVPVMAAAAJ,7241.0,48.0,1990.0
Todd F. Dupont,University of Chicago,http://people.cs.uchicago.edu/~dupont,BCRISEEAAAAJ,19327.0,50.0,1968.0
Aaron J. Elmore,University of Chicago,http://people.cs.uchicago.edu/~aelmore,,,,
Andrew A. Chien,University of Chicago,http://people.cs.uchicago.edu/~aachien,zkqz0_0AAAAJ,15535.0,60.0,1986.0
Victor Veitch,University of Chicago,http://victorveitch.com,xkn_XZgAAAAJ,2087.0,17.0,2012.0
Rebecca M. Willett,University of Chicago,https://voices.uchicago.edu/willett,bGRVPl8AAAAJ,8195.0,42.0,1966.0
Ian T. Foster,University of Chicago,https://www.cs.uchicago.edu/directory/ian-foster,VGoSakQAAAAJ,131578.0,137.0,
Marshini Chetty,University of Chicago,https://marshini.net,eVJ6NTIAAAAJ,3160.0,30.0,2002.0
Diana Franklin,University of Chicago,http://people.cs.uchicago.edu/~dmfranklin,gG5PRvgAAAAJ,2260.0,27.0,2004.0
Chenhao Tan,University of Chicago,https://chenhaot.com,KGMaP18AAAAJ,3416.0,25.0,2009.0
L. Ridgway Scott,University of Chicago,http://people.cs.uchicago.edu/~ridg,gBefoakAAAAJ,21765.0,51.0,
Gordon L. Kindlmann,University of Chicago,http://people.cs.uchicago.edu/~glk,Ky1op0MAAAAJ,8583.0,43.0,1996.0
Yanjing Li,University of Chicago,http://people.cs.uchicago.edu/~yanjingl,,,,
Hank Hoffmann,University of Chicago,http://people.cs.uchicago.edu/~hankhoffmann,COjq9XUAAAAJ,9370.0,45.0,
Bill Fefferman,University of Chicago,http://www.billfefferman.com,EBIByAIAAAAJ,846.0,14.0,2008.0
Blase Ur,University of Chicago,http://www.blaseur.com,3Xql0fwAAAAJ,5957.0,39.0,2007.0
John H. Reppy,University of Chicago,http://people.cs.uchicago.edu/~jhr,hz1S-asAAAAJ,4195.0,36.0,1983.0
Imre Risi Kondor,University of Chicago,http://people.cs.uchicago.edu/~risi,v12-jLUAAAAJ,9610.0,26.0,2002.0
Laci Babai,University of Chicago,http://people.cs.uchicago.edu/~laci,,,,
Rana Hanocka,University of Chicago,http://people.cs.uchicago.edu/~ranahanocka,3Bk5C9EAAAAJ,508.0,8.0,2015.0
Shan Lu,University of Chicago,http://people.cs.uchicago.edu/~shanlu,9Ee76gwAAAAJ,47712.0,46.0,1996.0
Haryadi S. Gunawi,University of Chicago,http://people.cs.uchicago.edu/~haryadi,TBaBNdkAAAAJ,2947.0,27.0,2003.0
Andrew Drucker,University of Chicago,http://people.cs.uchicago.edu/~adrucker1,,,,
Michael J. Franklin,University of Chicago,https://cs.uchicago.edu/directory/michael-franklin,qvH-ATcAAAAJ,10228.0,38.0,1973.0
Stuart A. Kurtz,University of Chicago,http://people.cs.uchicago.edu/~stuart,VvszaMQAAAAJ,1650.0,19.0,1981.0
Rick L. Stevens,University of Chicago,https://cs.uchicago.edu/directory/rick-stevens,2oSSsLYAAAAJ,36402.0,59.0,1948.0
