name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
George B. Purdy,University of Cincinnati,https://etd.ohiolink.edu/!etd.send_file?accession=ucin1140802889&disposition=inline,,,,
Ali A. Minai,University of Cincinnati,http://www.ece.uc.edu/~aminai,Sm-_3WQAAAAJ,4094.0,30.0,1987.0
Chia Yung Han,University of Cincinnati,http://www.ceas3.uc.edu/profiles/han,,,,
John Franco,University of Cincinnati,http://gauss.ececs.uc.edu/franco_files/franco.html,ldgiV80AAAAJ,2400.0,20.0,1982.0
Yizong Cheng,University of Cincinnati,http://www.ceas3.uc.edu/profiles/chengy,,,,
Dharma Agrawal,University of Cincinnati,http://eecs.ceas.uc.edu/~dpa,Cky-RdoAAAAJ,32229.0,78.0,1964.0
Philip Wilsey,University of Cincinnati,http://www.ece.uc.edu/~paw,L3lqaIsAAAAJ,3096.0,26.0,1985.0
Rui Dai,University of Cincinnati,http://www.ceas3.uc.edu/profiles/dairi,5FpqqysAAAAJ,749.0,14.0,2006.0
Gowtham Atluri,University of Cincinnati,http://homepages.uc.edu/~atlurigm,tpfik0wAAAAJ,1673.0,17.0,2008.0
Anca L. Ralescu,University of Cincinnati,http://uc.academia.edu/AncaRalescu,eFiFA9cAAAAJ,3505.0,26.0,1984.0
Karen Davis,University of Cincinnati,https://www.uc.edu/bursar/contacts/staff.html,n3GVmeEAAAAJ,1418.0,13.0,1981.0
Xuefu Zhou,University of Cincinnati,http://homepages.uc.edu/~zhoxu,,,,
Tamara Lorenz,University of Cincinnati,https://www.artsci.uc.edu/departments/psychology/fac_staff.html?eid=lorenztr,,,,
Tingting Yu,University of Cincinnati,https://homepages.uc.edu/~tyu,vcg-v-IAAAAJ,688.0,16.0,2010.0
Fred S. Annexstein,University of Cincinnati,http://www.ece.uc.edu/~annexste/UC_Pages/Dr._Fred_Annexsteins_Computer_Science_Department_Homepage_____.html,pOKCwi4AAAAJ,1296.0,14.0,1988.0
William G. Wee,University of Cincinnati,http://www.ece.uc.edu/%7Ewwee,,,,
Raj Bhatnagar,University of Cincinnati,http://eecs.ceas.uc.edu/~rbhatnag/vitac.html,0AGs4soAAAAJ,902.0,14.0,1984.0
Yiming Hu,University of Cincinnati,http://www.ece.uc.edu/~yhu,,,,
Nan Niu,University of Cincinnati,http://homepages.uc.edu/~niunn,Ag81t_4AAAAJ,3220.0,34.0,2002.0
Kenneth A. Berman,University of Cincinnati,http://www.ece.uc.edu/~berman,tV5iRZAAAAAJ,1661.0,17.0,1970.0
