name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Chun-Hsi Huang,University of Connecticut,http://www.engr.uconn.edu/~huang,,,,
Padraic Edgington,University of Connecticut,http://www.cse.uconn.edu/people/faculty,eivODg0AAAAJ,7.0,1.0,2007.0
Ion I. Mandoiu,University of Connecticut,http://www.engr.uconn.edu/~ion,0FAQfO4AAAAJ,4739.0,34.0,1993.0
Swapna Gokhale,University of Connecticut,http://www.cse.uconn.edu/~ssg,2wOZImMAAAAJ,4486.0,30.0,1996.0
Benjamin Fuller,University of Connecticut,http://benjamin-fuller.uconn.edu,7wXWIdUAAAAJ,727.0,14.0,2008.0
Sheida Nabavi,University of Connecticut,http://www.cse.uconn.edu/people/faculty,dGtRvk8AAAAJ,1268.0,16.0,2004.0
Phillip Bradford,University of Connecticut,http://www.cse.uconn.edu/people/faculty,8M685rMAAAAJ,3075.0,29.0,2007.0
Marten van Dijk,University of Connecticut,https://scl.engr.uconn.edu,byCWPiwAAAAJ,17178.0,53.0,1993.0
Robert McCartney,University of Connecticut,http://www.cse.uconn.edu/people/faculty,UCqaj3gAAAAJ,3629.0,32.0,1987.0
Jun-Hong Cui,University of Connecticut,http://www.cse.uconn.edu/~jcui,QJbvuZEAAAAJ,15162.0,59.0,1985.0
Song Han,University of Connecticut,http://engr.uconn.edu/~song,nO2uJ4YAAAAJ,4739.0,30.0,2004.0
Derek Aguiar,University of Connecticut,http://derekaguiar.com,kXRSW2QAAAAJ,435.0,8.0,2010.0
Bing Wang,University of Connecticut,http://www.engr.uconn.edu/~bing,HvNdFJcAAAAJ,58684.0,127.0,1984.0
Sahar Al Seesi,University of Connecticut,http://dna.engr.uconn.edu/?page_id=199,s6xZ-pwAAAAJ,764.0,11.0,2007.0
Abdelfattah Amamra,University of Connecticut,http://www.cse.uconn.edu/people/faculty,cXl_OFIAAAAJ,136.0,7.0,2012.0
Dong-Guk Shin,University of Connecticut,http://profiles.uconn.edu/display/64589,,,,
Jinbo Bi,University of Connecticut,http://www.engr.uconn.edu/~jinbo,fX-IFZsAAAAJ,6421.0,37.0,2001.0
Fei Miao,University of Connecticut,http://feimiao.org,fH2YF6YAAAAJ,1728.0,12.0,2013.0
Laurent D. Michel,University of Connecticut,http://www.engr.uconn.edu/~ldm,njNdGR0AAAAJ,4684.0,30.0,1993.0
Zhijie Jerry Shi,University of Connecticut,http://www.engr.uconn.edu/~zshi,JXjb1g0AAAAJ,4914.0,34.0,1981.0
Mohammad Khan,University of Connecticut,http://www.engr.uconn.edu/~mok11002/public_html,mzJEvgQAAAAJ,20662.0,68.0,
Thomas Peters,University of Connecticut,http://www.engr.uconn.edu/~tpeters,krcH9ZQAAAAJ,4018.0,36.0,1993.0
Mukul S. Bansal,University of Connecticut,http://www.engr.uconn.edu/~mukul,XCa-z_QAAAAJ,8063.0,24.0,2004.0
Sanguthevar Rajasekaran,University of Connecticut,http://www.engr.uconn.edu/~rajasek,fKoTRs8AAAAJ,7975.0,40.0,1963.0
Steven Demurjian,University of Connecticut,http://www.engr.uconn.edu/~steve,At2Tg2MAAAAJ,1674.0,21.0,1983.0
Yufeng Wu,University of Connecticut,http://www.engr.uconn.edu/~ywu,9PWUX9QAAAAJ,2292.0,27.0,2008.0
Reda A. Ammar,University of Connecticut,http://www.engr.uconn.edu/~reda,,,,
Alexander Schwarzmann,University of Connecticut,http://www.engr.uconn.edu/~aas,gQo0AHYAAAAJ,3692.0,32.0,1989.0
Suining He,University of Connecticut,http://hesuining.weebly.com,3OlOXn4AAAAJ,2045.0,18.0,2011.0
Jeff Meunier,University of Connecticut,http://engr.uconn.edu/~jeffm,,,,
Amir Herzberg,University of Connecticut,https://sites.google.com/site/amirherzberg,p-POZjgAAAAJ,11274.0,49.0,1984.0
Caiwen Ding,University of Connecticut,https://sites.google.com/view/caiwen/home,7hR0r_EAAAAJ,1400.0,19.0,2010.0
Alexander C. Russell,University of Connecticut,http://www.engr.uconn.edu/~acr,EsJmgf4AAAAJ,6615.0,39.0,1951.0
