name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Thomas T. Hildebrandt,University of Copenhagen,http://www.diku.dk/Ansatte/?pure=da/persons/350259,g3QnDU0AAAAJ,2435.0,28.0,1996.0
Mikkel Abrahamsen,University of Copenhagen,http://www.diku.dk/Ansatte/forskere/?pure=da/persons/289414,AYGv9T8AAAAJ,249.0,9.0,2007.0
Yevgeny Seldin,University of Copenhagen,http://www.diku.dk/Ansatte/?pure=da/persons/500475,fpWsD9oAAAAJ,1402.0,21.0,2001.0
Finn Kensing,University of Copenhagen,http://www.diku.dk/Ansatte/?pure=da/persons/43656,,,,
Boris Düdder,University of Copenhagen,https://di.ku.dk/english/staff/vip/?pure=en/persons/575423,0ic62YwAAAAJ,348.0,11.0,2006.0
Anders Søgaard,University of Copenhagen,http://www.diku.dk/Ansatte/?pure=da/persons/221553,x3I4CrYAAAAJ,6998.0,39.0,2004.0
Desmond Elliott,University of Copenhagen,https://elliottd.github.io,OjYpMi4AAAAJ,2582.0,19.0,2008.0
Mads Nielsen,University of Copenhagen,http://www.diku.dk/Ansatte/?pure=da/persons/137906,2QCJXEkAAAAJ,6700.0,39.0,1989.0
Lauge Sørensen,University of Copenhagen,http://image.diku.dk/lauges,ZWZ0yiEAAAAJ,1896.0,20.0,2008.0
Kim Steenstrup Pedersen,University of Copenhagen,http://image.diku.dk/kimstp,RzH2vKQAAAAJ,1446.0,17.0,1999.0
Christian Igel,University of Copenhagen,http://image.diku.dk/igel,d-jF4zIAAAAJ,13126.0,47.0,1997.0
François Bernard Lauze,University of Copenhagen,http://image.diku.dk/francois,nssvQ-UAAAAJ,2290.0,24.0,1994.0
Martin Lillholm,University of Copenhagen,http://www.diku.dk/hjemmesider/studerende/grumse,QLCX-88AAAAJ,2168.0,22.0,1998.0
Katarzyna Wac,University of Copenhagen,http://diku.dk/english/staff/vip/?pure=en/persons/501789,GIejbKQAAAAJ,2913.0,27.0,2004.0
Pernille Bjørn,University of Copenhagen,http://diku.dk/english/staff/vip/?pure=en/persons/417695,,,,
Sune Darkner,University of Copenhagen,http://www.diku.dk/english/staff/?pure=en/persons/383640,Z_bvPmcAAAAJ,2279.0,20.0,1991.0
Jean-Yves Moyen,University of Copenhagen,https://lipn.univ-paris13.fr/~moyen,PpkC9xUAAAAJ,406.0,8.0,2000.0
Oswin Krause,University of Copenhagen,https://di.ku.dk/english/staff/vip/?pure=en/persons/440348,5ER3NYoAAAAJ,249.0,9.0,2013.0
Joanna Bergström,University of Copenhagen,https://di.ku.dk/english/staff/vip/?pure=en/persons/540723,NL1Q89sAAAAJ,463.0,11.0,2009.0
Rasmus Pagh,University of Copenhagen,https://di.ku.dk/english/staff/?pure=en/persons/309342,VO4oS8UAAAAJ,7969.0,38.0,1993.0
Manex Agirrezabal,University of Copenhagen,https://manexagirrezabal.github.io,qTRbmk4AAAAJ,231.0,8.0,2011.0
Andrzej Filinski,University of Copenhagen,http://www.diku.dk/~andrzej,Yh6akOEAAAAJ,2390.0,17.0,1989.0
Wouter Boomsma,University of Copenhagen,https://di.ku.dk/english/staff/?pure=en/persons/275482,EwqU_jsAAAAJ,2504.0,25.0,2002.0
Stephen Alstrup,University of Copenhagen,http://diku.dk/Ansatte/?pure=da/persons/110448,Agh-Q0IAAAAJ,2669.0,27.0,1995.0
Yongluan Zhou,University of Copenhagen,http://diku.dk/english/staff/?pure=en/persons/590429,Tqh1RIkAAAAJ,1516.0,22.0,2001.0
Kasper Hornbæk,University of Copenhagen,http://diku.dk/Ansatte/?pure=da/persons/141851,S6VMDA8AAAAJ,11680.0,50.0,1999.0
Tariq Andersen,University of Copenhagen,http://www.di.ku.dk/english/staff/?pure=en/persons/353044,FMtPAZ0AAAAJ,386.0,11.0,2009.0
Daniel Ashbrook,University of Copenhagen,http://danielashbrook.com,VzkoqhIAAAAJ,4726.0,25.0,1999.0
Hasti Seifi,University of Copenhagen,http://hastiseifi.com,IAD0fQQAAAAJ,397.0,11.0,2010.0
Martin Elsman,University of Copenhagen,http://www.di.ku.dk/english/staff/?pure=en/persons/127388,B_kB3DUAAAAJ,1215.0,20.0,1994.0
Jens Petersen,University of Copenhagen,https://di.ku.dk/english/staff/vip/?pure=en/persons/178402,J3L5JdQAAAAJ,923.0,18.0,2010.0
Omri Ross,University of Copenhagen,https://di.ku.dk/english/staff/vip/?pure=en/persons/295505,aevQE00AAAAJ,473.0,9.0,2007.0
Naja L. Holten Møller,University of Copenhagen,http://diku.dk/Ansatte/?pure=da/persons/340853,52aXVzYAAAAJ,338.0,12.0,2010.0
Daniel Hershcovich,University of Copenhagen,https://danielhers.github.io,479qIucAAAAJ,900.0,12.0,2014.0
Matthias Christandl,University of Copenhagen,https://www.math.ku.dk/english/staff/?pure=en/persons/475476,IcOC-2sAAAAJ,7637.0,40.0,2003.0
Klaus Marius Hansen,University of Copenhagen,http://www.diku.dk/~klausmh,6yJ09KwAAAAJ,2742.0,23.0,1986.0
Michael Kirkedal Thomsen,University of Copenhagen,https://di.ku.dk/english/staff/?pure=en%2Fpersons%2Fmichael-kirkedal-thomsen(28018e5c-9ddb-46b8-80e5-dca51151710c).html,3VsQv0sAAAAJ,470.0,12.0,2008.0
Isabelle Augenstein,University of Copenhagen,http://isabelleaugenstein.github.io,DjJp0dcAAAAJ,3340.0,28.0,2011.0
Robert Glück,University of Copenhagen,http://www.diku.dk/~glueck,cGfKulEAAAAJ,4114.0,38.0,1989.0
Matthew G. Liptrot,University of Copenhagen,http://ku-dk.academia.edu/MatthewLiptrot,n0NYEY0AAAAJ,1551.0,14.0,1998.0
Erik B. Dam,University of Copenhagen,https://di.ku.dk/english/staff/vip/?pure=en/persons/93620,X_SLVUIAAAAJ,4367.0,27.0,1998.0
Danupon Nanongkai,University of Copenhagen,http://www.csc.kth.se/~danupon,ofNbQXAAAAAJ,3283.0,35.0,1993.0
Tijs Slaats,University of Copenhagen,http://diku.dk/english/staff/?pure=en/persons/561613,c9fu-JIAAAAJ,1772.0,23.0,2011.0
Serge J. Belongie,University of Copenhagen,https://di.ku.dk/ai-centre,ORr4XJYAAAAJ,107004.0,100.0,1994.0
Fritz Henglein,University of Copenhagen,http://www.diku.dk/~henglein,FOM81UEAAAAJ,2808.0,25.0,1985.0
Jorgen P. Bansler,University of Copenhagen,http://diku.dk/Ansatte/beskrivelse/?id=160232,YuHIy0IAAAAJ,1954.0,24.0,1983.0
Christina Lioma,University of Copenhagen,http://www.diku.dk/~c.lioma,dXkFCYoAAAAJ,2458.0,26.0,2004.0
Bolette Sanford Pedersen,University of Copenhagen,https://nors.ku.dk/english/staff/?pure=en/persons/134967,,,,
Søren I. Olsen,University of Copenhagen,http://diku.dk/english/staff/?pure=en/persons/5264,,,,
Jacob Holm,University of Copenhagen,https://di.ku.dk/english/staff/?pure=en%2Fpersons%2Fjacob-holm(b9128f70-a478-4df0-9f6b-cc665f65976c)%2Fpublications.html,VzPHumEAAAAJ,1127.0,11.0,1996.0
Nora Hollenstein,University of Copenhagen,https://norahollenstein.github.io,vxvmkskAAAAJ,572.0,13.0,2006.0
Erik Frøkjær,University of Copenhagen,http://www.diku.dk/Ansatte/?pure=da/persons/113767,N-445VIAAAAJ,2408.0,19.0,1981.0
Cosmin E. Oancea,University of Copenhagen,http://www.diku.dk/~zgh600,RpmM52IAAAAJ,879.0,19.0,2003.0
Marcos Antonio Vaz Salles,University of Copenhagen,http://www.diku.dk/~vmarcos,UioSydwAAAAJ,1270.0,19.0,1998.0
Torben Æ. Mogensen,University of Copenhagen,http://www.diku.dk/~torbenm,vjvvUioAAAAJ,4839.0,35.0,1983.0
Patrizia Paggio,University of Copenhagen,https://cst.ku.dk/english/ansatte/?pure=en/persons/7206,gSqyTW8AAAAJ,1379.0,18.0,1991.0
Jon Sporring,University of Copenhagen,http://image.diku.dk/sporring,COP1HUwAAAAJ,2379.0,20.0,
Pawel Winter,University of Copenhagen,http://www.diku.dk/~pawel,akQtjYcAAAAJ,5098.0,22.0,1983.0
