name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Antonis A. Argyros,University of Crete,http://csd.uoc.gr/~argyros,9OieklkAAAAJ,9619.0,43.0,1992.0
George Papagiannakis,University of Crete,http://george.papagiannakis.org,rUfyI3MAAAAJ,2297.0,26.0,2001.0
Anthony Savidis,University of Crete,https://www.ics.forth.gr/hci/index_main.php?l=g&c=517,m0b5D28AAAAJ,2554.0,27.0,1977.0
Yannis Tzitzikas,University of Crete,http://users.ics.forth.gr/~tzitzik,J_QgqGsAAAAJ,2561.0,24.0,1996.0
Panagiotis Tsakalides,University of Crete,http://users.ics.forth.gr/~tsakalid,hSdkUuwAAAAJ,5604.0,33.0,1991.0
Manolis G. H. Katevenis,University of Crete,http://users.ics.forth.gr/~kateveni,E2-GshsAAAAJ,3721.0,31.0,1981.0
Panos E. Trahanias,University of Crete,http://users.ics.forth.gr/~trahania/home.html,MwSYJxsAAAAJ,5396.0,32.0,1986.0
George Tziritas,University of Crete,https://www.csd.uoc.gr/~tziritas,mIh2JWAAAAAJ,7494.0,35.0,1981.0
Angelos Bilas,University of Crete,http://users.ics.forth.gr/~bilas/home/Angelos_Bilas.html,JZDNQaMAAAAJ,2941.0,30.0,1996.0
Apostolos Traganitis,University of Crete,https://www.csd.uoc.gr/index.jsp?custom=apostolos_traganitis,Jm-59nEAAAAJ,1120.0,20.0,1973.0
Ioannis Tsamardinos,University of Crete,http://mensxmachina.org/en,7fendUwAAAAJ,10550.0,41.0,1996.0
Panagiota Fatourou,University of Crete,http://users.ics.forth.gr/~faturu,ZgHRkcUAAAAJ,1160.0,16.0,1996.0
Yannis Stylianou,University of Crete,https://www.csd.uoc.gr/CSD/index.jsp?custom=yannis_stylianou&lang=en,6ZSjpdwAAAAJ,8450.0,44.0,2007.0
George Georgakopoulos,University of Crete,https://www.csd.uoc.gr,AkCowUsAAAAJ,431.0,10.0,1987.0
Constantine Stephanidis,University of Crete,https://www.csd.uoc.gr/index.jsp?custom=constantine_stephanidis,EBXa1RQAAAAJ,8157.0,42.0,1968.0
Kostas Magoutis,University of Crete,https://www.csd.uoc.gr/~magoutis,Hqg_5AsAAAAJ,971.0,18.0,1992.0
Vassilis Christophides,University of Crete,https://www.csd.uoc.gr/index.jsp?custom=vassilis_christophides,MdUjsa8AAAAJ,7131.0,45.0,1993.0
Polyvios Pratikakis,University of Crete,https://www.csd.uoc.gr/~polyvios,ACXEa94AAAAJ,1149.0,14.0,2004.0
Christos Xenofontas A. Dimitropoulos,University of Crete,http://www.inspire.edu.gr/~fontas,pWyNwcMAAAAJ,4630.0,36.0,2003.0
Nikos Komodakis,University of Crete,https://www.csd.uoc.gr/~komod,xCPoT4EAAAAJ,21111.0,51.0,1997.0
Ioannis G. Tollis,University of Crete,https://www.csd.uoc.gr/CSD/index.jsp?custom=ioannis_tollis,KmWfVqoAAAAJ,10167.0,45.0,1983.0
Maria Papadopouli,University of Crete,http://users.ics.forth.gr/~mgp,wZFtgBwAAAAJ,2195.0,25.0,1989.0
Evangelos P. Markatos,University of Crete,https://www.csd.uoc.gr/CSD/index.jsp?custom=evangelos_markatos&lang=en,Wk7e-kIAAAAJ,8763.0,47.0,1989.0
Athanasios Mouchtaris,University of Crete,https://www.csd.uoc.gr/~mouchtar,CMNg4XUAAAAJ,1940.0,23.0,1998.0
Dimitris Plexousakis,University of Crete,https://www.csd.uoc.gr/index.jsp?custom=dimitris_pleksousakis,oY_DnEoAAAAJ,7736.0,42.0,1992.0
