name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Ben Carterette,University of Delaware,http://ir.cis.udel.edu/~carteret,2Y4R04EAAAAJ,4969.0,35.0,
Matthew Louis Mauriello,University of Delaware,https://www.eecis.udel.edu/~mlm,vVuPWSYAAAAJ,768.0,14.0,2012.0
Rui Zhang,University of Delaware,https://www.eecis.udel.edu/~ruizhang,Htf2zbsAAAAJ,2601.0,30.0,2009.0
Sunita Chandrasekaran,University of Delaware,https://www.eecis.udel.edu/~schandra,0WqSN40AAAAJ,777.0,14.0,2007.0
Adarsh S. Sethi,University of Delaware,https://www.eecis.udel.edu/~sethi,,,,
K. Vijay-Shanker,University of Delaware,https://www.eecis.udel.edu/~vijay,O1l6JGkAAAAJ,8705.0,48.0,
Kathleen F. McCoy,University of Delaware,http://udel.edu/~mccoy,ebK5g0IAAAAJ,3564.0,33.0,1975.0
Li Liao,University of Delaware,https://www.eecis.udel.edu/~lliao,o6e8dvUAAAAJ,1329.0,22.0,2006.0
Michela Taufer,University of Delaware,https://gcl.cis.udel.edu/personal/taufer,3DWI0HcAAAAJ,2792.0,28.0,1996.0
Hagit Shatkay,University of Delaware,https://www.eecis.udel.edu/~shatkay,v68ErtIAAAAJ,5624.0,30.0,1995.0
Lori L. Pollock,University of Delaware,https://www.eecis.udel.edu/~pollock,fmt12jMAAAAJ,7588.0,47.0,
Xing Gao,University of Delaware,http://xgao-work.github.io,Wkw_2-wAAAAJ,447.0,11.0,2015.0
Xiugang Wu,University of Delaware,https://www.eecis.udel.edu/~xwu,tRvs8ikAAAAJ,290.0,9.0,2009.0
B. David Saunders,University of Delaware,https://www.eecis.udel.edu/~saunders,U-0PM_cAAAAJ,1473.0,18.0,1975.0
James A. Clause,University of Delaware,https://www.eecis.udel.edu/~clause,CappitoAAAAJ,2341.0,20.0,2005.0
Stephen F. Siegel,University of Delaware,http://vsl.cis.udel.edu/siegel.html,N_X_1oMAAAAJ,4104.0,19.0,1982.0
Daniel Chester,University of Delaware,https://www.eecis.udel.edu/~chester,f1rXXY8AAAAJ,996.0,12.0,1997.0
Christopher Rasmussen,University of Delaware,https://www.eecis.udel.edu/~cer,UMG3OGgAAAAJ,2645.0,23.0,1996.0
Lena Mashayekhy,University of Delaware,https://www.eecis.udel.edu/lena,b9gs2WYAAAAJ,1291.0,20.0,2006.0
Cathy H. Wu,University of Delaware,http://bioinformatics.udel.edu/people/personnel/cathy_wu,eiRdbhsAAAAJ,50776.0,72.0,
James Atlas,University of Delaware,https://www.eecis.udel.edu/~atlas,ayy4s4cAAAAJ,212.0,7.0,2005.0
Sandra Carberry,University of Delaware,https://www.eecis.udel.edu/~carberry,,,,
Chandra Kambhamettu,University of Delaware,https://www.eecis.udel.edu/~chandra,BMVESLIAAAAJ,5629.0,42.0,1992.0
Paul Amer,University of Delaware,https://www.eecis.udel.edu/~amer,,,,
Mohammad Mahdi Khalili,University of Delaware,https://sites.udel.edu/khalili,hSgnKecAAAAJ,486.0,14.0,2015.0
Keith Decker,University of Delaware,https://www.eecis.udel.edu/~decker,8odG5jkAAAAJ,9878.0,45.0,1970.0
Errol L. Lloyd,University of Delaware,https://www.eecis.udel.edu/~elloyd,805n5zYAAAAJ,4096.0,25.0,1970.0
Chien-Chung Shen,University of Delaware,https://www.eecis.udel.edu/~cshen,QyipVRoAAAAJ,12655.0,57.0,1962.0
Xi Peng,University of Delaware,https://sites.google.com/site/xipengcshomepage/home,DWw4v0kAAAAJ,2287.0,22.0,2010.0
Terry Harvey,University of Delaware,https://www.eecis.udel.edu/~harvey,,,,
Ilya Safro,University of Delaware,https://www.eecis.udel.edu/~isafro,QYesEdIAAAAJ,2376.0,25.0,2002.0
