name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Martin J. Lercher,University of Düsseldorf,https://www.cs.hhu.de/lehrstuehle-und-arbeitsgruppen/computational-cell-biology/unser-team/team.html,CQ7LfqMAAAAJ,11347.0,47.0,1993.0
Gunnar W. Klau,University of Düsseldorf,https://www.cs.hhu.de/lehrstuehle-und-arbeitsgruppen/algorithmische-bioinformatik-prof-dr-gunnar-w-klau/unser-team/team/short-cv-klau.html,2hdYjHkAAAAJ,5113.0,37.0,
Milica Gasic,University of Düsseldorf,https://www.cs.hhu.de/lehrstuehle-und-arbeitsgruppen/dialog-systems-and-machine-learning/unser-team/team.html,yDSBDJoAAAAJ,8152.0,40.0,2008.0
Michael Leuschel,University of Düsseldorf,https://www.cs.hhu.de/lehrstuehle-und-arbeitsgruppen/softwaretechnik-und-programmiersprachen-prof-dr-michael-leuschel/unser-team/team/leuschel.html,gNF8SogAAAAJ,6207.0,37.0,1994.0
Frank Gurski,University of Düsseldorf,https://www.cs.hhu.de/lehrstuehle-und-arbeitsgruppen/algorithmen-fuer-schwere-probleme-pd-dr-frank-gurski/unser-team.html,MGeSxLAAAAAJ,921.0,15.0,2000.0
Stefan Dietze,University of Düsseldorf,http://stefandietze.net,WR3U5SkAAAAJ,3280.0,29.0,1983.0
Jörg Rothe,University of Düsseldorf,https://ccc.cs.uni-duesseldorf.de/~rothe,NRdBUrwAAAAJ,5332.0,38.0,1994.0
Michael Frank Werner Schöttner,University of Düsseldorf,https://www.cs.hhu.de/en/research-groups/operating-systems-prof-dr-michael-schoettner/team/team/schoettner.html,9f-nXdcAAAAJ,579.0,14.0,2005.0
Martin Mauve,University of Düsseldorf,https://www.cn.hhu.de/unser-team/team/mauve.html,2eZRx88AAAAJ,12203.0,39.0,1994.0
Dorothea Baumeister,University of Düsseldorf,https://www.cs.hhu.de/en/research-groups/computational-social-choice-jun-prof-dr-dorothea-baumeister/our-team/baumeister.html,9K4KGiUAAAAJ,934.0,18.0,2007.0
Stefan Harmeling,University of Düsseldorf,https://www.cs.hhu.de/en/research-groups/machine-learning-prof-dr-stefan-harmeling/our-team/team/harmeling.html,TA2fG64AAAAJ,10807.0,36.0,1998.0
Stefan Conrad,University of Düsseldorf,https://dbs.cs.uni-duesseldorf.de/mitarbeiter.php?id=conrad,ZJbwV1IAAAAJ,2968.0,27.0,1992.0
Egon Wanke,University of Düsseldorf,https://www.cs.hhu.de/lehrstuehle-und-arbeitsgruppen/algorithmen-und-datenstrukturen-prof-dr-egon-wanke/unser-team.html,w7omrq8AAAAJ,1759.0,22.0,1988.0
