name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Björn Franke,University of Edinburgh,http://homepages.inf.ed.ac.uk/bfranke,Y6aTqRQAAAAJ,2209.0,22.0,2000.0
Boris Grot,University of Edinburgh,http://homepages.inf.ed.ac.uk/bgrot,1DXXeSMAAAAJ,3664.0,30.0,2005.0
Alan Smaill,University of Edinburgh,https://www.inf.ed.ac.uk/people/staff/Alan_Smaill.html,,,,
Dragan Gasevic,University of Edinburgh,http://www.sfu.ca/~dgasevic,Q4Nm22sAAAAJ,21619.0,71.0,2002.0
Bonnie L. Webber,University of Edinburgh,http://homepages.inf.ed.ac.uk/bonnie,r6JFa28AAAAJ,13811.0,57.0,1973.0
Barbara Webb,University of Edinburgh,http://homepages.inf.ed.ac.uk/bwebb,UwCeZUMAAAAJ,5317.0,39.0,1977.0
Douglas B. Armstrong,University of Edinburgh,http://www.ed.ac.uk/integrative-physiology/staff-profiles/associate-members/j-douglas-armstrong,DhhkWwIAAAAJ,809.0,15.0,2012.0
Zhibin Li,University of Edinburgh,http://www.edinburgh-robotics.org/academics/zhibin-li,WUcG7YoAAAAJ,53360.0,98.0,1982.0
Kenneth Heafield,University of Edinburgh,https://kheafield.com,VEJE37AAAAAJ,4704.0,24.0,2004.0
Andrew C. Gordon,University of Edinburgh,https://www.inf.ed.ac.uk/people/staff/Andrew_Gordon.html,h-GK55oAAAAJ,805.0,12.0,2010.0
Malcolm P. Atkinson,University of Edinburgh,https://www.inf.ed.ac.uk/people/staff/Malcolm_Atkinson.html,SgAtRccAAAAJ,10188.0,42.0,1970.0
Benjamin Bach,University of Edinburgh,https://www.inf.ed.ac.uk/people/staff/Benjamin_Bach.html,dXbz4FgAAAAJ,3188.0,29.0,2010.0
Igor Goryanin,University of Edinburgh,https://www.inf.ed.ac.uk/people/staff/Igor_Goryanin.html,E-duT6oAAAAJ,9221.0,31.0,1986.0
Myrto Arapinis,University of Edinburgh,https://www.inf.ed.ac.uk/people/staff/Myrto_Arapinis.html,1GaX8xQAAAAJ,1044.0,17.0,2003.0
Richard Shillcock,University of Edinburgh,http://www.ppls.ed.ac.uk/people/richard-shillcock,oqirbaYAAAAJ,5441.0,37.0,1981.0
Christopher J. Bishop,University of Edinburgh,https://www.inf.ed.ac.uk/people/staff/Christopher_Bishop.html,gsr-K3ADUvAC,124945.0,69.0,1958.0
Colin Stirling,University of Edinburgh,https://www.inf.ed.ac.uk/people/staff/Colin_Stirling.html,sqQU2eYAAAAJ,2406.0,19.0,1995.0
Lee John Eccleston,University of Edinburgh,http://www.ed.ac.uk/clinical-sciences/pain-management,,,,
Elham Kashefi,University of Edinburgh,https://www.inf.ed.ac.uk/people/staff/Elham_Kashefi.html,oXpgxTIAAAAJ,3878.0,30.0,2001.0
Ewan Klein,University of Edinburgh,https://www.inf.ed.ac.uk/people/staff/Ewan_Klein.html,Sh28erYAAAAJ,18017.0,37.0,1975.0
Helen Pain,University of Edinburgh,https://www.inf.ed.ac.uk/people/staff/Helen_Pain.html,Qmsk8IsAAAAJ,4030.0,32.0,1980.0
Vassilis Zikas,University of Edinburgh,https://homepages.inf.ed.ac.uk/vzikas,bsFxGUIAAAAJ,1688.0,21.0,2008.0
K. Kalorkoti,University of Edinburgh,http://www.research.ed.ac.uk/portal/en/persons/k-kalorkoti(03916cbc-3a54-4de4-be54-09c23f44dbb5).html,,,,
Markulf Kohlweiss,University of Edinburgh,https://www.inf.ed.ac.uk/people/staff/Markulf_Kohlweiss.html,pOfF9ygAAAAJ,6510.0,44.0,
Alex Lascarides,University of Edinburgh,http://homepages.inf.ed.ac.uk/alex,fVRKVf4AAAAJ,9362.0,40.0,1987.0
Michel Steuwer,University of Edinburgh,https://www.inf.ed.ac.uk/people/staff/Michel_Steuwer.html,XdXJRZEAAAAJ,1143.0,17.0,1996.0
Amos J. Storkey,University of Edinburgh,http://homepages.inf.ed.ac.uk/amos,3Rlc8EAAAAAJ,11307.0,45.0,
Ajitha Rajan,University of Edinburgh,http://homepages.inf.ed.ac.uk/arajan,Y8ROiBEAAAAJ,772.0,16.0,2006.0
Stuart Anderson,University of Edinburgh,https://www.inf.ed.ac.uk/people/staff/Stuart_Anderson.html,qAaJr0oAAAAJ,5499.0,40.0,1976.0
Jacques D. Fleuriot,University of Edinburgh,https://www.inf.ed.ac.uk/people/staff/Jacques_Fleuriot.html,,,,
Murray Cole,University of Edinburgh,http://homepages.inf.ed.ac.uk/mic,,,,
Rik Sarkar,University of Edinburgh,http://homepages.inf.ed.ac.uk/rsarkar,rmMWizEAAAAJ,2271.0,22.0,1992.0
Richard Mayr,University of Edinburgh,http://homepages.inf.ed.ac.uk/rmayr,o5doXYoAAAAJ,184514.0,168.0,1972.0
Bob Fisher,University of Edinburgh,http://homepages.inf.ed.ac.uk/rbf,LigYduEAAAAJ,17656.0,53.0,1964.0
Liam O'Connor,University of Edinburgh,http://liamoc.net,PDIijq8AAAAJ,264.0,8.0,2013.0
Dave Robertson,University of Edinburgh,http://www.dai.ed.ac.uk/groups/ssp/members/dave.htm,63eai3AAAAAJ,23071.0,70.0,1994.0
Robin L. Hill,University of Edinburgh,http://www.robin.org.uk,T-3sP_4AAAAJ,1989.0,19.0,1996.0
