name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Bjoern Eskofier,University of Erlangen–Nuremberg,https://www.mad.tf.fau.de/person/bjoern-eskofier,7ems5nYAAAAJ,7507.0,40.0,2006.0
Elmar Nöth,University of Erlangen–Nuremberg,https://lme.tf.fau.de/person/noeth,QAo7nTUAAAAJ,10286.0,50.0,1987.0
Wolfgang Schröder,University of Erlangen–Nuremberg,https://www4.cs.fau.de/~wosch,,,,
Christoph Pflaum,University of Erlangen–Nuremberg,https://www.cs10.tf.fau.de/person/christoph-pflaum,,,,
Felix C. Freiling,University of Erlangen–Nuremberg,https://www.cs1.tf.fau.de/person/felix-freiling,tL5yFPUAAAAJ,9169.0,38.0,1997.0
Francesca Saglietti,University of Erlangen–Nuremberg,http://www11.informatik.uni-erlangen.de/index.html,,,,
Andreas K. Maier,University of Erlangen–Nuremberg,https://lme.tf.fau.de/person/maier,MA6SDuEAAAAJ,11828.0,46.0,1994.0
Dominique Schröder,University of Erlangen–Nuremberg,https://www.chaac.tf.fau.de/person/dominique-schroder,JOeLEGcAAAAJ,1911.0,26.0,2009.0
Dirk Riehle,University of Erlangen–Nuremberg,https://oss.cs.fau.de/person/riehle-dirk,LUd2FkUAAAAJ,5251.0,31.0,1994.0
Stefan Milius,University of Erlangen–Nuremberg,https://www8.cs.fau.de/doku.php?id=milius,d2StQHQAAAAJ,1865.0,23.0,1997.0
Lutz Schröder,University of Erlangen–Nuremberg,https://www8.cs.fau.de/schroeder,buulfpEAAAAJ,2940.0,27.0,1999.0
Joachim Hornegger,University of Erlangen–Nuremberg,https://lme.tf.fau.de/person/joachim-hornegger,s7A4ZYgAAAAJ,23357.0,72.0,2013.0
Marco Pruckner,University of Erlangen–Nuremberg,https://www.cs7.tf.fau.de/person/pruckner,,,,
Michael Kohlhase,University of Erlangen–Nuremberg,https://kwarc.info/people/mkohlhase,H0xjVyoAAAAJ,7108.0,42.0,1991.0
Gerhard Wellein,University of Erlangen–Nuremberg,https://hpc.fau.de/person/gerhard-wellein,Fk1KSNMAAAAJ,7450.0,41.0,1995.0
Günther Greiner,University of Erlangen–Nuremberg,https://www.lgdv.tf.fau.de/person/guenther-greiner,,,,
Ulrich Rüde,University of Erlangen–Nuremberg,https://www.cs10.tf.fau.de/person/ulrich-ruede,CizztzwAAAAJ,8055.0,46.0,1984.0
Jürgen Teich,University of Erlangen–Nuremberg,https://www.cs12.tf.fau.de/person/juergen-teich,Hj3eizAAAAAJ,16108.0,60.0,1990.0
Reinhard German,University of Erlangen–Nuremberg,https://www.cs7.tf.fau.de/person/german,tE5i3PQAAAAJ,7846.0,40.0,1991.0
Richard Lenz,University of Erlangen–Nuremberg,https://www.cs6.tf.fau.de/lehrstuhl/personen/richard-lenz,pN7nt2gAAAAJ,2361.0,20.0,1993.0
Marc Stamminger,University of Erlangen–Nuremberg,https://www.lgdv.tf.fau.de/person/marc-stamminger,cx4AaqoAAAAJ,9057.0,40.0,1995.0
Harald Köstler,University of Erlangen–Nuremberg,https://www.cs10.tf.fau.de/person/harald-koestler,FaKJ6WEAAAAJ,2369.0,24.0,2001.0
Marc Berges,University of Erlangen–Nuremberg,https://ddi.cs.fau.de/staff/berges,,,,
Viktor Leis,University of Erlangen–Nuremberg,https://www.cs6.tf.fau.eu/person/viktor-leis,qFOwPNQAAAAJ,2821.0,24.0,2011.0
Oliver Keszöcze,University of Erlangen–Nuremberg,https://www.cs12.tf.fau.de/person/oliver-keszoecze,mGiqyPMAAAAJ,691.0,12.0,2009.0
Dietmar Fey,University of Erlangen–Nuremberg,https://de.www3.cs.fau.de/person/prof-dr-ing-dietmar-fey,,,,
Michael Philippsen,University of Erlangen–Nuremberg,https://www.cs2.tf.fau.de/person/philippsen,hvfbNg0AAAAJ,4453.0,28.0,1966.0
Rolf Wanka,University of Erlangen–Nuremberg,https://www12.informatik.uni-erlangen.de/people/rwanka,GU_nblQAAAAJ,1080.0,18.0,1989.0
Klaus Meyer-Wegener,University of Erlangen–Nuremberg,https://www.cs6.tf.fau.de/lehrstuhl/personen/klaus-meyer-wegener,0Td2SfoAAAAJ,1537.0,20.0,1981.0
Hans-Ulrich Prokosch,University of Erlangen–Nuremberg,https://www.imi.med.fau.de/team/prof-dr-hans-ulrich-prokosch,,,,
