name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Delaram Jarchi,University of Essex,https://www.essex.ac.uk/people/jarch68309/delaram-jarchi,sp7QoSwAAAAJ,880.0,18.0,2007.0
Shoaib Jameel,University of Essex,https://www.essex.ac.uk/people/jamee22406/shoaib-jameel,gyy0YOIAAAAJ,554.0,12.0,2008.0
Riccardo Poli,University of Essex,https://www.essex.ac.uk/people/polir15101/riccardo-poli,fNVNLBcAAAAJ,25137.0,66.0,1988.0
Serafeim Perdikis,University of Essex,https://www.essex.ac.uk/people/perdi05405/serafeim-perdikis,WDVeTH4AAAAJ,1132.0,15.0,2008.0
Liang Hu,University of Essex,https://www.essex.ac.uk/people/hulia47602/liang-hu,hUhUGfYAAAAJ,824.0,14.0,2008.0
Ian Daly,University of Essex,https://www.essex.ac.uk/people/dalyi03400/ian-daly,N8POe8cAAAAJ,2752.0,30.0,2008.0
Javier Andréu Pérez,University of Essex,https://www.essex.ac.uk/people/andre09407/javier-andreu-perez,1m4DHQQAAAAJ,3187.0,16.0,2004.0
Vito De Feo,University of Essex,https://www.essex.ac.uk/people/defeo60201/vito-de-feo,56FwOjUAAAAJ,482.0,10.0,2001.0
John G. O'Hara,University of Essex,https://www.essex.ac.uk/people/ohara61509/john-o-hara,EPQvmhkAAAAJ,629.0,12.0,1996.0
Joseph Walton-Rivers,University of Essex,https://www.essex.ac.uk/people/walto64102/joseph-walton-rivers,wi9Z2rAAAAAJ,80.0,3.0,2015.0
Ali Zulfiqar,University of Essex,https://www.essex.ac.uk/people/alizu48900/zulfiqar-ali,e1-m8fAAAAAJ,1437.0,24.0,2009.0
Mays F. Al-Naday,University of Essex,https://www.essex.ac.uk/people/alned81405/mays-al-naday,aOlKyJ0AAAAJ,183.0,8.0,2012.0
Eirina Bourtsoulatze,University of Essex,https://www.essex.ac.uk/people/bourt28406/eirina-bourtsoulatze,piQAo5YAAAAJ,451.0,9.0,2011.0
Borzoo Rassouli,University of Essex,https://www.essex.ac.uk/people/rasso29502/borzoo-rassouli,Zw05NOsAAAAJ,618.0,12.0,2012.0
Nicos Angelopoulos,University of Essex,https://www.essex.ac.uk/people/angel61804/nicos-angelopoulos,-ZT5NUkAAAAJ,1986.0,18.0,1997.0
Huosheng Hu,University of Essex,https://www.essex.ac.uk/people/huhuo40009/huosheng-hu,9GJ90xMAAAAJ,16475.0,60.0,1989.0
Richard Bartle,University of Essex,https://www.essex.ac.uk/people/bartl01006/richard-bartle,ZKvoljcAAAAJ,7364.0,19.0,1982.0
Vahid Abolghasemi,University of Essex,https://www.essex.ac.uk/people/abolg46201/vahid-abolghasemi,WPumu9wAAAAJ,1573.0,19.0,2007.0
Jianhua He,University of Essex,https://www.essex.ac.uk/people/hejia61606/jianhua-he,4SUAgfAAAAAJ,4173.0,32.0,2001.0
Maria Kyropoulou,University of Essex,https://www.essex.ac.uk/people/kyrop21400/maria-kyropoulou,IX6PZBEAAAAJ,785.0,11.0,2009.0
Vishwanathan Mohan,University of Essex,https://www.essex.ac.uk/people/mohan05903/vishwanathan-mohan,hH1V-0oAAAAJ,649.0,14.0,2002.0
Dariush Mirshekar-Syahkal,University of Essex,https://www.essex.ac.uk/people/mirsh11140/dariush-mirshekar-syahkal,T2SSqfYAAAAJ,3037.0,29.0,1977.0
Klaus D. Maier,University of Essex,https://www.essex.ac.uk/people/mcdon01907/klaus-mcdonald-maier,xYARJTQAAAAJ,4378.0,32.0,1998.0
Ana Matran-Fernandez,University of Essex,https://www.essex.ac.uk/people/matra32701/ana-matran-fernandez,_g01zM4AAAAJ,244.0,10.0,2012.0
Cunjin Luo,University of Essex,https://www.essex.ac.uk/people/luocu65405/cunjin-luo,Bo7KdrMAAAAJ,258.0,8.0,2013.0
Zi Long Liu,University of Essex,https://www.essex.ac.uk/people/liuzi11203/zilong-liu,ODFLmIwAAAAJ,1863.0,25.0,2009.0
Anish Jindal,University of Essex,https://www.essex.ac.uk/people/jinda12007/anish-jindal,jzCj6fcAAAAJ,1838.0,22.0,2015.0
Sefki Kolozali,University of Essex,https://www.essex.ac.uk/people/koloz89402/sefki-kolozali,1xzZr9wAAAAJ,723.0,11.0,2009.0
Panagiotis Kanellopoulos,University of Essex,https://www.essex.ac.uk/people/kanel33803/panagiotis-kanellopoulos,KQdQxm4AAAAJ,1130.0,18.0,2001.0
Aikaterini Bourazeri,University of Essex,https://www.essex.ac.uk/people/boura96709/katerina-bourazeri,IXj773YAAAAJ,324.0,10.0,2012.0
Nigel J. Newton,University of Essex,https://www.essex.ac.uk/people/newto34604/nigel-newton,R5ygjTgAAAAJ,924.0,13.0,1984.0
David Bebbington,University of Essex,https://www.essex.ac.uk/people/bebbi54504/david-bebbington,Bfyv1r0AAAAJ,261.0,6.0,1993.0
Leila Musavian,University of Essex,https://www.essex.ac.uk/people/musav85708/leila-musavian,AcQ6zI0AAAAJ,2999.0,30.0,2004.0
Mohammad Hossein Anisi,University of Essex,https://www.essex.ac.uk/people/anisi58203/hossein-anisi,aIJT1LgAAAAJ,2940.0,31.0,2007.0
John Woods,University of Essex,https://www.essex.ac.uk/people/woods19406/john-woods,BUG90hgAAAAJ,1735.0,19.0,1998.0
Ali Kafash Hoshiar,University of Essex,https://www.essex.ac.uk/people/kafas38100/ali-kafash-hoshiar,wueVtfMAAAAJ,738.0,16.0,2009.0
Stuart D. Walker,University of Essex,https://www.essex.ac.uk/people/walke72201/stuart-walker,etJByJ8AAAAJ,3688.0,26.0,1983.0
Kun Yang,University of Essex,https://www.essex.ac.uk/people/yangk82907/kun-yang,qpe3iUkAAAAJ,11206.0,54.0,
Anirban Chowdhury,University of Essex,https://www.essex.ac.uk/people/chowd32703/anirban-chowdhury,J8-jIGgAAAAJ,344.0,11.0,2012.0
Luca Citi,University of Essex,https://www.essex.ac.uk/people/citil35902/luca-citi,HnQm_pAAAAAJ,4367.0,30.0,2004.0
John Q. Gan,University of Essex,https://www.essex.ac.uk/people/ganjo00207/john-gan,reTQcL8AAAAJ,4539.0,34.0,1991.0
Chris Fox,University of Essex,https://www.essex.ac.uk/people/foxch66501/chris-fox,isrqPvsAAAAJ,10609.0,48.0,1974.0
Nickolay Zakhleniuk,University of Essex,https://www.essex.ac.uk/people/zakhl71400/nick-zakhleniuk,6wzbeUEAAAAJ,15.0,2.0,2002.0
Maria Fasli,University of Essex,https://www.essex.ac.uk/people/fasli57304/maria-fasli,Hg2osmAAAAAJ,1664.0,21.0,1999.0
Xiaojun Zhai,University of Essex,https://www.essex.ac.uk/people/zhaix77307/xiaojun-zhai,sLYyja0AAAAJ,940.0,17.0,2010.0
Martin J. Reed,University of Essex,https://www.essex.ac.uk/people/reedm58703/martin-reed,EWMEfwEAAAAJ,1405.0,20.0,1991.0
Adrian F. Clark,University of Essex,https://www.essex.ac.uk/people/clark65804/adrian-clark,FESbZq0AAAAJ,1079.0,17.0,1981.0
Faiyaz Doctor,University of Essex,https://www.essex.ac.uk/people/docto78602/faiyaz-doctor,_Wr-trcAAAAJ,2277.0,26.0,2004.0
Renato Cordeiro de Amorim,University of Essex,https://www.essex.ac.uk/people/corde69103/renato-amorim,Bft9pPYAAAAJ,1249.0,14.0,2008.0
Alba Garcia Seco de Herrera,University of Essex,https://www.essex.ac.uk/people/garci58409/alba-garcia-seco-de-herrera,80OVgTwAAAAJ,1799.0,22.0,2009.0
Michael Fairbank,University of Essex,https://www.essex.ac.uk/people/fairb54300/michael-fairbank,iRXHONoAAAAJ,668.0,12.0,1995.0
Caterina Cinel,University of Essex,https://www.essex.ac.uk/people/cinel32002/caterina-cinel,m_BBEEAAAAAJ,1457.0,22.0,2000.0
Xinruo Zhang,University of Essex,https://www.essex.ac.uk/people/zhang32812/xinruo-zhang,qJQbGQIAAAAJ,165.0,8.0,2015.0
Alexandros A. Voudouris,University of Essex,https://www.essex.ac.uk/people/voudo18000/alexandros-voudouris,YL5djpEAAAAJ,460.0,13.0,2014.0
David Richerby,University of Essex,https://www.essex.ac.uk/people/riche29705/david-richerby,G1KQAusAAAAJ,646.0,16.0,2003.0
Amit Kumar Singh,University of Essex,https://www.essex.ac.uk/people/singh42308/amit-singh,u7D-NSUAAAAJ,2113.0,22.0,2009.0
