name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Eakta Jain,University of Florida,http://www.cise.ufl.edu/~ejain,5ouAiisAAAAJ,651.0,13.0,1994.0
Douglas D. Dankel II,University of Florida,http://www.cise.ufl.edu/~ddd,,,,
Sara Rampazzi,University of Florida,https://sararampazzi.com,I9d0CrAAAAAJ,467.0,7.0,2013.0
Ye Xia,University of Florida,http://www.cise.ufl.edu/~yx1,z0k6V4gAAAAJ,1632.0,17.0,2002.0
Vincent Bindschaedler,University of Florida,https://vbinds.ch,uJMkuykAAAAJ,1438.0,14.0,2012.0
Kevin R. B. Butler,University of Florida,http://cise.ufl.edu/~butler,gvo0nMsAAAAJ,4354.0,36.0,2004.0
Benjamin Lok,University of Florida,http://www.lokben.com,QclQnxIAAAAJ,4483.0,37.0,2001.0
Tamer Kahveci,University of Florida,http://www.cise.ufl.edu/~tamer,xG9XC2MAAAAJ,4804.0,26.0,2000.0
Jaime Ruiz,University of Florida,https://www.jaimeruiz.com,K1O-ZPIAAAAJ,2017.0,26.0,1982.0
Richard E. Newman,University of Florida,http://www.cise.ufl.edu/~nemo,,,,
Patrick Traynor,University of Florida,https://www.cise.ufl.edu/~traynor,oCFvA2UAAAAJ,6070.0,39.0,1989.0
Markus Schneider,University of Florida,http://www.cise.ufl.edu/~mschneid,lOhijLUAAAAJ,165.0,9.0,1998.0
Jonathan C. L. Liu,University of Florida,https://www.cise.ufl.edu/~jcliu,,,,
Daisy Zhe Wang,University of Florida,http://dsr.cise.ufl.edu/daisyw,gMOBKfUAAAAJ,2755.0,18.0,2006.0
Abdelsalam Helal,University of Florida,http://www.cise.ufl.edu/~helal,,,,
Joseph N. Wilson,University of Florida,http://www.cise.ufl.edu/~jnw/test,BJAXIbQAAAAJ,3690.0,24.0,1987.0
Jörg Peters,University of Florida,http://www.cise.ufl.edu/~jorg,MoMic_4AAAAJ,11823.0,62.0,1989.0
Ahmed Helmy,University of Florida,http://www.cise.ufl.edu/~helmy,QcO9p8AAAAAJ,19171.0,59.0,1991.0
Manuel E. Bermudez,University of Florida,http://www.cise.ufl.edu/~manuel,xjUqBT0AAAAJ,10.0,1.0,2016.0
Zhe Jiang,University of Florida,https://www.jiangteam.org,R7xPuT8AAAAJ,930.0,16.0,2011.0
José A. B. Fortes,University of Florida,https://www.acis.ufl.edu/people/fortes,PfeGL9gAAAAJ,10990.0,50.0,1983.0
Baba C. Vemuri,University of Florida,https://www.cise.ufl.edu/~vemuri,1fEZ_osAAAAJ,17219.0,57.0,1983.0
My T. Thai,University of Florida,http://www.cise.ufl.edu/~mythai,zLLJimcAAAAJ,8948.0,47.0,1999.0
Shigang Chen,University of Florida,http://www.cise.ufl.edu/~sgchen,jDCiMQkAAAAJ,12799.0,52.0,1984.0
Alper Üngör,University of Florida,https://www.cise.ufl.edu/people/faculty/ungor,8JZZclQAAAAJ,290.0,10.0,2013.0
Paul D. Gader,University of Florida,https://faculty.eng.ufl.edu/computing-for-life,GD3jwG8AAAAJ,13459.0,56.0,1985.0
Corey Toler-Franklin,University of Florida,https://www.cise.ufl.edu/people/faculty/ctoler-franklin,,,,
Tuba Yavuz,University of Florida,http://www.tuba.ece.ufl.edu,,,,
Anand Rangarajan,University of Florida,https://www.cise.ufl.edu/~anand,6JEDxqcAAAAJ,14341.0,46.0,1985.0
Stephen M. Thebaut,University of Florida,https://www.cise.ufl.edu/people/faculty/smt,,,,
Lisa Anthony,University of Florida,https://lisa-anthony.com,GUucp2UAAAAJ,2301.0,25.0,2000.0
Christina Boucher,University of Florida,http://christinaboucher.com,,,,
Damon L. Woodard,University of Florida,https://www.ece.ufl.edu/user/1469,hhBx6TMAAAAJ,3165.0,25.0,2004.0
Sartaj K. Sahni,University of Florida,http://www.cise.ufl.edu/~sahni,gMQWxE0AAAAJ,27462.0,70.0,1972.0
Alireza Entezari,University of Florida,https://www.cise.ufl.edu/people/faculty/entezari,,,,
Meera Sitharam,University of Florida,http://www.cise.ufl.edu/~sitharam,,,,
Alin Dobra,University of Florida,http://www.cise.ufl.edu/~adobra,smEOOBsAAAAJ,3836.0,23.0,2001.0
Christina Gardner-McCune,University of Florida,https://www.cise.ufl.edu/people/faculty/gmccune,qe2DVGEAAAAJ,635.0,13.0,2006.0
Jih-Kwon Peir,University of Florida,https://www.cise.ufl.edu/people/faculty/peir,,,,
Beverly A. Sanders,University of Florida,https://www.cise.ufl.edu/people/faculty/sanders,,,,
Prabhat Mishra,University of Florida,http://www.cise.ufl.edu/~prabhat,ZlhpUZoAAAAJ,5626.0,41.0,2000.0
Sanjay Ranka,University of Florida,https://www.cise.ufl.edu/people/faculty/ranka,j7WSgbwAAAAJ,14550.0,60.0,1960.0
Kejun Huang,University of Florida,https://cise.ufl.edu/~kejun,,,,
Kyla A. McMullen,University of Florida,https://www.cise.ufl.edu/people/faculty/kyla,DzvXnyoAAAAJ,121.0,6.0,2009.0
Thomas Shrimpton,University of Florida,https://cise.ufl.edu/~teshrim,2Nz2U0kAAAAJ,4482.0,27.0,1995.0
Juan E. Gilbert,University of Florida,https://www.cise.ufl.edu/people/faculty/jgilbert,FKbHXRUAAAAJ,2540.0,23.0,1984.0
Arunava Banerjee,University of Florida,https://www.cise.ufl.edu/~arunava,f5CUbRIAAAAJ,1405.0,21.0,1955.0
