name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Anelis Kaiser,University of Freiburg,http://gmint.informatik.uni-freiburg.de/kaiser,,,,
Matthias Teschner,University of Freiburg,https://cg.informatik.uni-freiburg.de/people/teschner.htm,8exaZnsAAAAJ,9552.0,45.0,1995.0
Fabian Kuhn,University of Freiburg,http://ac.informatik.uni-freiburg.de/kuhn,XU-ldxMAAAAJ,9354.0,45.0,1999.0
Thomas Brox,University of Freiburg,https://lmb.informatik.uni-freiburg.de/people/brox/index.en.html,0VAe-TQAAAAJ,92079.0,97.0,2001.0
H. Bast,University of Freiburg,https://ad.informatik.uni-freiburg.de/staff/bast,hqSjLE8AAAAJ,5062.0,33.0,1991.0
Georg Lausen,University of Freiburg,http://dbis.informatik.uni-freiburg.de/team/lausen/georg,wzKbqkcAAAAJ,11507.0,40.0,1979.0
Andreas Podelski,University of Freiburg,https://swt.informatik.uni-freiburg.de/podelski,UAF-ud8AAAAJ,8309.0,45.0,1986.0
Christian Schindelhauer,University of Freiburg,http://cone.informatik.uni-freiburg.de/mitarbeiter/schindelhauer/adresse,TxVfH8QAAAAJ,3480.0,31.0,1993.0
Wolfram Burgard,University of Freiburg,http://www2.informatik.uni-freiburg.de/~burgard,zj6FavAAAAAJ,96568.0,122.0,1988.0
Bernhard Nebel,University of Freiburg,http://www2.informatik.uni-freiburg.de/~nebel,4MhUHPcAAAAJ,15926.0,59.0,1982.0
Michael Schröder,University of Freiburg,https://www.bsdlab.uni-freiburg.de/people/michael_tangermann,OVeU_8cAAAAJ,11959.0,40.0,1998.0
Christoph Scholl,University of Freiburg,http://www2.informatik.uni-freiburg.de/~scholl,NBHMsgkAAAAJ,57225.0,111.0,1948.0
Joschka Bödecker,University of Freiburg,https://nr.informatik.uni-freiburg.de/people/joschka-boedecker,2mv2dDkAAAAJ,2581.0,23.0,2002.0
Rolf Backofen,University of Freiburg,http://www.bioinf.uni-freiburg.de/~backofen,ZCTrqQkAAAAJ,17033.0,61.0,1990.0
Frank Hutter,University of Freiburg,https://ml.informatik.uni-freiburg.de/people/hutter/index.html,YUrxwrkAAAAJ,34093.0,70.0,2002.0
Peter Thiemann,University of Freiburg,http://www2.informatik.uni-freiburg.de/~thiemann,yJST1UAAAAAJ,3701.0,32.0,1990.0
Bernd Becker,University of Freiburg,http://www2.informatik.uni-freiburg.de/~becker,blhIc7MAAAAJ,9988.0,48.0,1968.0
