name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Joe Sawada,University of Guelph,https://www.uoguelph.ca/computing/people/joseph-sawada,GEKMSR4AAAAJ,1469.0,20.0,1997.0
Judi McCuaig,University of Guelph,https://www.uoguelph.ca/computing/people/judi-mccuaig,,,,
Mark Wineberg,University of Guelph,https://www.uoguelph.ca/computing/people/mark-wineberg,,,,
Neil D. B. Bruce,University of Guelph,https://www.uoguelph.ca/computing/people/neil-bruce,Gnezf-4AAAAJ,4611.0,23.0,2000.0
Ritu Chaturvedi,University of Guelph,https://www.uoguelph.ca/computing/people/ritu-chaturvedi,,,,
Stacey D. Scott,University of Guelph,https://www.uoguelph.ca/computing/people/stacey-scott,fB_xzi8AAAAJ,4904.0,33.0,1999.0
Hassan Khan,University of Guelph,https://www.uoguelph.ca/computing/people/hassan-khan,OS_P1F8AAAAJ,699.0,15.0,2009.0
Xiaodong Lin,University of Guelph,https://www.uoguelph.ca/computing/people/xiaodong-lin,om3xUIcAAAAJ,25886.0,74.0,1986.0
Minglun Gong,University of Guelph,https://www.uoguelph.ca/computing/people/minglun-gong,q6Caj6sAAAAJ,6561.0,39.0,1995.0
Stefan C. Kremer,University of Guelph,https://www.uoguelph.ca/computing/people/stefan-kremer,ECQMeb0AAAAJ,4464.0,24.0,1991.0
Yang Xiang,University of Guelph,https://www.uoguelph.ca/computing/people/yang-xiang,r71D60UAAAAJ,2754.0,25.0,1985.0
David K.Y. Chiu,University of Guelph,http://www.cis.uoguelph.ca/~dchiu,Zct91iEAAAAJ,3818.0,31.0,1982.0
Fangju Wang,University of Guelph,https://www.uoguelph.ca/computing/people/fangju-wang,,,,
Pascal Matsakis,University of Guelph,http://www.cis.uoguelph.ca/~matsakis,,,,
Michael Wirth,University of Guelph,https://www.uoguelph.ca/computing/people/michael-wirth,,,,
Blair Nonnecke,University of Guelph,https://www.uoguelph.ca/computing/people/blair-nonnecke,73-woeEAAAAJ,6028.0,17.0,1991.0
Deborah Stacey,University of Guelph,https://www.uoguelph.ca/computing/people/deborah-stacey,QdZ3KlAAAAAJ,1221.0,15.0,1986.0
Luiza Antonie,University of Guelph,http://www.uoguelph.ca/~lantonie,,,,
Charlie Obimbo,University of Guelph,https://www.uoguelph.ca/computing/people/charlie-obimbo,,,,
Rozita A. Dara,University of Guelph,http://www.uoguelph.ca/~drozita/members,s4UEQXkAAAAJ,1400.0,19.0,2000.0
Andrew Hamilton-Wright,University of Guelph,https://www.uoguelph.ca/computing/people/andrew-hamilton-wright,nWoiQrQAAAAJ,940.0,14.0,1998.0
David R. Flatla,University of Guelph,https://www.uoguelph.ca/computing/people/david-flatla,pJjyC-AAAAAJ,1030.0,15.0,2009.0
Xining Li,University of Guelph,http://www.cis.uoguelph.ca/~xli/mainpage.html,,,,
Daniel Gillis,University of Guelph,https://www.uoguelph.ca/computing/people/daniel-gillis,mcKPf6gAAAAJ,476.0,12.0,2002.0
Fei Song,University of Guelph,https://www.uoguelph.ca/computing/people/fei-song,,,,
Graham W. Taylor,University of Guelph,https://www.gwtaylor.ca,PUeKU8kAAAAJ,13615.0,44.0,
David A. Calvert,University of Guelph,https://www.uoguelph.ca/computing/people/david-calvert,,,,
Gary Gréwal,University of Guelph,http://www.uoguelph.ca/~ggrewal,,,,
Ali Dehghan Tanha,University of Guelph,https://www.uoguelph.ca/computing/people/ali-dehghantanha,r6Lj9FcAAAAJ,9361.0,52.0,2008.0
Denis Nikitenko,University of Guelph,https://www.uoguelph.ca/computing/people/denis-nikitenko,,,,
