name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Rachel Kolodny,University of Haifa,https://cs.haifa.ac.il/~trachel,WTihfsYAAAAJ,1975.0,18.0,2002.0
Adi Akavia,University of Haifa,https://sites.google.com/view/akavia,ogugwmEAAAAJ,1197.0,15.0,2002.0
Orr Dunkelman,University of Haifa,http://www.cs.haifa.ac.il/~orrd,4U4aLiYAAAAJ,6879.0,44.0,1998.0
Oren Weimann,University of Haifa,http://www.cs.haifa.ac.il/~oren,LA5uaDcAAAAJ,2039.0,25.0,2005.0
Margarita Osadchy,University of Haifa,http://rita.osadchy.net,nZEtlZoAAAAJ,2472.0,19.0,1999.0
Dan Feldman,University of Haifa,http://people.csail.mit.edu/dannyf,67QZN0gAAAAJ,3280.0,27.0,1973.0
Ronen Shaltiel,University of Haifa,https://cs.haifa.ac.il/~ronen,P_q1TRgAAAAJ,2970.0,29.0,1999.0
Moran Feldman,University of Haifa,https://cs.haifa.ac.il/~moranfe,oM8J2m0AAAAJ,3134.0,28.0,2006.0
Daniel Keren,University of Haifa,https://cs.haifa.ac.il/~dkeren,,,,
Roy Poranne,University of Haifa,https://inf.ethz.ch/personal/poranner,xC6XLaYAAAAJ,871.0,16.0,2010.0
Noga Ron-Zewi,University of Haifa,https://sites.google.com/site/nogaronzewi1,,,,
Alek Vainshtein,University of Haifa,http://cs.haifa.ac.il/VAIN/vainshtein.html,,,,
Ilan Newman,University of Haifa,http://cs.haifa.ac.il/~ilan,dxWoV3UAAAAJ,3670.0,31.0,1988.0
Hagit Hel-Or,University of Haifa,http://cs.haifa.ac.il/~hagit,GMM3-EUAAAAJ,4099.0,29.0,1988.0
Or Meir,University of Haifa,http://cs.haifa.ac.il/~ormeir,x0gElB0AAAAJ,488.0,12.0,2007.0
Gad M. Landau,University of Haifa,http://cs.haifa.ac.il/LANDAU/landau.html,,,,
Simon Korman,University of Haifa,https://cs.hevra.haifa.ac.il/index.php/en/people-en/faculty-en,6OZMoP0AAAAJ,679.0,9.0,2004.0
Yosi Ben-Asher,University of Haifa,http://cs.haifa.ac.il/~yosi,4szBC0IAAAAJ,1554.0,19.0,1982.0
Yuri Rabinovich,University of Haifa,https://cs.haifa.ac.il/~yuri,sgH6VuwAAAAJ,2511.0,17.0,1991.0
Shuly Wintner,University of Haifa,http://cs.haifa.ac.il/~shuly/Shuly_Wintner/Home.html,LFEmlnsAAAAJ,2530.0,29.0,1991.0
