name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Sören Auer,University of Hannover,https://vivo.tib.eu/fis/display/n0000-0002-0698-2864,2cpal78AAAAJ,26870.0,63.0,
Wolfgang Nejdl,University of Hannover,http://www.kbs.uni-hannover.de/~nejdl,LC62bdYAAAAJ,23913.0,77.0,1986.0
Heribert Vollmer,University of Hannover,https://www.thi.uni-hannover.de/vollmer.html,hU5ScRwAAAAJ,3508.0,32.0,1989.0
Bodo Rosenhahn,University of Hannover,http://www.tnt.uni-hannover.de/staff/rosenhahn,qq3TxtcAAAAJ,8964.0,46.0,1999.0
Arne Meier,University of Hannover,https://www.thi.uni-hannover.de/meier.html,iHkXyuoAAAAJ,553.0,16.0,2005.0
Maria-Esther Vidal,University of Hannover,https://www.tib.eu/en/research-development/scientific-data-management/staff/maria-esther-vidal,vDyk0JgAAAAJ,3847.0,32.0,1989.0
Irene Ntoutsi,University of Hannover,http://www.kbs.uni-hannover.de/~ntoutsi,RdA9uxYAAAAJ,2718.0,24.0,2000.0
Bernhard Wicht,University of Hannover,https://www.ims.uni-hannover.de/wicht.html?&no_cache=1,xfI3NpoAAAAJ,1480.0,19.0,2000.0
Kurt Schneider,University of Hannover,http://www.se.uni-hannover.de/pages/de:mitarbeiter_kurt_schneider,Jlu_3qcAAAAJ,5145.0,37.0,
Marius Lindauer,University of Hannover,https://www.tnt.uni-hannover.de/staff/lindauer,0Sxx7DUAAAAJ,2604.0,26.0,2011.0
Bernardo Wagner,University of Hannover,https://www.rts.uni-hannover.de/wagner2.html,na17zFkAAAAJ,2816.0,26.0,1989.0
Jörn Ostermann,University of Hannover,http://www.tnt.uni-hannover.de/~osterman,WRTLuxcAAAAJ,11735.0,48.0,1989.0
Johannes Krugel,University of Hannover,https://www.dei.uni-hannover.de/de/krugel,,,,
Jürgen Peissig,University of Hannover,https://www.ikt.uni-hannover.de/321.html?&no_cache=1&tx_tkinstpersonen_pi1%5Balias%5D=pei,asWSO9QAAAAJ,1622.0,18.0,1990.0
Ziawasch Abedjan,University of Hannover,https://www.pi.uni-hannover.de/de/dbs/team/prof-dr-ziawasch-abedjan,QUdlpN0AAAAJ,2026.0,22.0,2010.0
Markus Fidler,University of Hannover,https://www.ikt.uni-hannover.de/321.html?&no_cache=1&tx_tkinstpersonen_pi1%5Balias%5D=mf,hss5oikAAAAJ,2336.0,22.0,2001.0
Matthias Becker,University of Hannover,https://hci.uni-hannover.de/people/matthias,_nMOV-YAAAAJ,448.0,11.0,1998.0
Holger Blume,University of Hannover,https://www.ims.uni-hannover.de/blume.html?&no_cache=1,CnRN40sAAAAJ,2488.0,23.0,1994.0
Gabriele von Voigt,University of Hannover,https://www.chi.uni-hannover.de/vonvoigt.html,,,,
Daniel Lohmann,University of Hannover,https://www.sra.uni-hannover.de/People/lohmann,39geDSwAAAAJ,3573.0,33.0,2002.0
Ralph Ewerth,University of Hannover,https://www2.kbs.uni-hannover.de/ewerth.html,rDiYRfwAAAAJ,1494.0,20.0,2001.0
Michael Rohs,University of Hannover,https://hci.uni-hannover.de/people/michael,VVJhitcAAAAJ,7408.0,46.0,1994.0
Jürgen Brehm,University of Hannover,https://www.sra.uni-hannover.de/People/brehm,,,,
