name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Jason Leigh,University of Hawaii at Manoa,http://www2.hawaii.edu/~leighj,5KgriYAAAAAJ,16404.0,50.0,1983.0
Martha E. Crosby,University of Hawaii at Manoa,https://www.ics.hawaii.edu/people,,,,
Dusko Pavlovic,University of Hawaii at Manoa,http://dusko.org,upXQmicAAAAJ,2776.0,28.0,1991.0
Philip M. Johnson,University of Hawaii at Manoa,http://philipmjohnson.org,D37QzE4AAAAJ,2167.0,23.0,1962.0
Edoardo Biagioni,University of Hawaii at Manoa,http://www2.hawaii.edu/~esb,Ls94lsAAAAAJ,1388.0,11.0,1985.0
Kim Binsted,University of Hawaii at Manoa,http://www2.hawaii.edu/~binsted,bd9-UG8AAAAJ,2081.0,22.0,1993.0
Carleton A. Moore,University of Hawaii at Manoa,http://www.ics.hawaii.edu/people/carleton-moore,,,,
Henri Casanova,University of Hawaii at Manoa,https://henricasanova.github.io,lt3K0RcAAAAJ,13329.0,54.0,1995.0
Mahdi Belcaid,University of Hawaii at Manoa,http://www.ics.hawaii.edu/people/mahdi-belcaid,,,,
Barbara Endicott-Popovsky,University of Hawaii at Manoa,http://www.ics.hawaii.edu/people/barbara-endicott-popovsky,,,,
Lipyeow Lim,University of Hawaii at Manoa,http://www2.hawaii.edu/~lipyeow,_ILTBg0AAAAJ,1875.0,28.0,1980.0
Peter-Michael Seidel,University of Hawaii at Manoa,http://www.asecolab.org/people/pseidel,,,,
Rich Gazan,University of Hawaii at Manoa,http://www2.hawaii.edu/~gazan,b8pOXakAAAAJ,909.0,12.0,2000.0
Rick Kazman,University of Hawaii at Manoa,https://shidler.hawaii.edu/itm/directory/rick-kazman,NUJQv_oAAAAJ,26595.0,59.0,
Scott P. Robertson,University of Hawaii at Manoa,http://www2.hawaii.edu/~scottpr,rdbwZvIAAAAJ,3894.0,29.0,1971.0
Susanne Still,University of Hawaii at Manoa,http://www2.hawaii.edu/~sstill,,,,
Dan Suthers,University of Hawaii at Manoa,http://www2.hawaii.edu/~suthers,8rEj1jIAAAAJ,10746.0,44.0,1988.0
Depeng Li,University of Hawaii at Manoa,http://www2.hawaii.edu/~depengli,zH0qyf0AAAAJ,1004.0,14.0,2004.0
Peter J. Sadowski,University of Hawaii at Manoa,https://www2.hawaii.edu/~psadow,5-s3bS8AAAAJ,4835.0,21.0,2010.0
Guylaine Poisson,University of Hawaii at Manoa,http://www.hawaii.edu/hpc/rotm/poisson.html,NzzEb6gAAAAJ,684.0,10.0,1993.0
Nodari Sitchinava,University of Hawaii at Manoa,http://www2.hawaii.edu/~nodari,JjQ8xbQAAAAJ,990.0,14.0,2002.0
Kyungim Baek,University of Hawaii at Manoa,http://www2.hawaii.edu/~kyungim,,,,
