name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Mikko Koivisto,University of Helsinki,https://www.cs.helsinki.fi/u/mkhkoivi,ENv3yqoAAAAJ,2992.0,25.0,1997.0
Veli Mäkinen,University of Helsinki,https://www.helsinki.fi/en/researchgroups/genome-scale-algorithmics/people/veli-makinen,jGsexkoAAAAJ,5959.0,36.0,2000.0
Matti Järvisalo,University of Helsinki,https://www.cs.helsinki.fi/u/mjarvisa,aSsan-UAAAAJ,3330.0,31.0,1970.0
Simon J. Puglisi,University of Helsinki,https://www.cs.helsinki.fi/u/puglisi,RUw3dEwAAAAJ,4134.0,37.0,2005.0
Petri Myllymäki,University of Helsinki,https://www.cs.helsinki.fi/u/myllymak,iisp1qgAAAAJ,6154.0,36.0,1989.0
Jyrki Kivinen,University of Helsinki,https://www.cs.helsinki.fi/u/jkivinen,ZKq0Us0AAAAJ,4659.0,22.0,1990.0
Tomi Männistö,University of Helsinki,https://www.cs.helsinki.fi/u/tomimann,ZSX8_ToAAAAJ,3646.0,33.0,1993.0
Michael Mathioudakis,University of Helsinki,https://michalis.co,kZti0OcAAAAJ,2652.0,16.0,2006.0
Teemu Roos,University of Helsinki,https://www.cs.helsinki.fi/u/ttonteri,js9H6osAAAAJ,3889.0,26.0,2002.0
Hannu Toivonen,University of Helsinki,https://www.helsinki.fi/en/researchgroups/computational-creativity-and-data-mining/hannu-toivonen,izZX-EEAAAAJ,25392.0,56.0,1973.0
Ville Mustonen,University of Helsinki,https://researchportal.helsinki.fi/en/persons/ville-mustonen,ppkud30AAAAJ,10059.0,33.0,2001.0
Keijo Heljanko,University of Helsinki,https://researchportal.helsinki.fi/en/persons/keijo-tapio-heljanko,TOSfazMAAAAJ,3530.0,33.0,1996.0
Indre Zliobaite,University of Helsinki,https://www.zliobaite.com,yyXBot4AAAAJ,7141.0,34.0,2005.0
Pan Hui,University of Helsinki,https://www.cs.helsinki.fi/u/panhui,dcDrhzMAAAAJ,23103.0,59.0,1994.0
Dorota Glowacka,University of Helsinki,https://researchportal.helsinki.fi/en/persons/dorota-glowacka,sDZkDHQAAAAJ,1054.0,18.0,2000.0
Arto Klami,University of Helsinki,https://www.cs.helsinki.fi/u/aklami,v8PeLGgAAAAJ,1966.0,25.0,2002.0
Laura Ruotsalainen,University of Helsinki,https://researchportal.helsinki.fi/en/persons/laura-ruotsalainen,oKWnTMgAAAAJ,1070.0,17.0,2008.0
Jussi Kangasharju,University of Helsinki,https://researchportal.helsinki.fi/en/persons/jussi-kangasharju,RHUM7P0AAAAJ,4537.0,33.0,1998.0
Jiaheng Lu,University of Helsinki,https://www.cs.helsinki.fi/u/jilu,EVNolAkAAAAJ,4617.0,32.0,1999.0
Aapo Hyvärinen,University of Helsinki,https://www.cs.helsinki.fi/u/ahyvarin,UnrY-40AAAAJ,59435.0,65.0,1969.0
Antti Honkela,University of Helsinki,https://www.cs.helsinki.fi/u/ahonkela,XsyLs6AAAAAJ,2908.0,27.0,2000.0
Sasu Tarkoma,University of Helsinki,https://www.cs.helsinki.fi/u/starkoma,UTRmf5MAAAAJ,8986.0,46.0,1996.0
Jukka K. Nurminen,University of Helsinki,https://researchportal.helsinki.fi/en/persons/jukka-k-nurminen,cmftgn4AAAAJ,5539.0,41.0,1986.0
Nikolaj Tatti,University of Helsinki,https://researchportal.helsinki.fi/en/persons/nikolaj-tatti,yRHnNkMAAAAJ,1893.0,25.0,2002.0
Kai Puolamäki,University of Helsinki,http://kaip.iki.fi,3Z9pgDAAAAAJ,2527.0,27.0,1996.0
Petteri Nurmi,University of Helsinki,https://researchportal.helsinki.fi/en/persons/petteri-nurmi,P5kDLb0AAAAJ,3405.0,29.0,2004.0
Tommi Mikkonen,University of Helsinki,https://researchportal.helsinki.fi/en/persons/tommi-mikkonen,Y2F-AWAAAAAJ,6045.0,37.0,1995.0
Valtteri Niemi,University of Helsinki,https://researchportal.helsinki.fi/en/persons/valtteri-niemi,epkVo2cAAAAJ,4730.0,30.0,1984.0
Giulio Iacucci,University of Helsinki,https://researchportal.helsinki.fi/en/persons/giulio-jacucci,cmpzu9sAAAAJ,7581.0,46.0,1990.0
