name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Hubert Tsz-Hong Chan,University of Hong Kong,https://i.cs.hku.hk/~hubert,F8_JP6sAAAAJ,6140.0,31.0,2005.0
Zhiyi Huang,University of Hong Kong,https://i.cs.hku.hk/~zhiyi,6ztViH8AAAAJ,1695.0,24.0,2009.0
Bruno C. d. S. Oliveira,University of Hong Kong,https://i.cs.hku.hk/~bruno,cB-6X3gAAAAJ,1445.0,23.0,2005.0
Tak Wah Lam,University of Hong Kong,https://i.cs.hku.hk/~twlam,wgvU0B8AAAAJ,19128.0,42.0,1972.0
Man Ho Allen Au,University of Hong Kong,https://i.cs.hku.hk/~allenau,3OC-_bQAAAAJ,7562.0,49.0,1992.0
Yizhou Yu,University of Hong Kong,https://i.cs.hku.hk/~yzyu,e38fTZQAAAAJ,14457.0,59.0,1991.0
Francis Y. L. Chin,University of Hong Kong,https://i.cs.hku.hk/~chin,S3EaJmQAAAAJ,10042.0,45.0,1975.0
Yi-King Choi,University of Hong Kong,https://i.cs.hku.hk/~ykchoi,,,,
Wenping Wang,University of Hong Kong,https://i.cs.hku.hk/~wenping,28shvv0AAAAJ,10015.0,53.0,1987.0
Tat Wing Chim,University of Hong Kong,https://i.cs.hku.hk/~twchim,,,,
Chenshu Wu,University of Hong Kong,https://cswu.me,q9llreMAAAAJ,5765.0,33.0,2011.0
Dirk Schnieders,University of Hong Kong,https://i.cs.hku.hk/~sdirk,QsExWUcAAAAJ,181.0,5.0,2004.0
Kwan-Yee K. Wong,University of Hong Kong,https://i.cs.hku.hk/~kykwong,Dxpvy4EAAAAJ,3192.0,30.0,1999.0
Kwok-Ping Chan,University of Hong Kong,https://i.cs.hku.hk/~kpchan,oas17QIAAAAJ,1777.0,19.0,1985.0
Anthony T. C. Tam,University of Hong Kong,https://i.cs.hku.hk/~atctam,,,,
K. P. Chow,University of Hong Kong,https://i.cs.hku.hk/~chow,,,,
H. F. Ting,University of Hong Kong,https://i.cs.hku.hk/~hfting,,,,
Chao Huang,University of Hong Kong,https://sites.google.com/view/chaoh,Zkv9FqwAAAAJ,1751.0,22.0,2013.0
Reynold C. K. Cheng,University of Hong Kong,https://i.cs.hku.hk/~ckcheng,7R7MSb4AAAAJ,9240.0,45.0,1980.0
Heming Cui,University of Hong Kong,https://i.cs.hku.hk/~heming,lW9bpFIAAAAJ,917.0,12.0,2010.0
Francis C. M. Lau,University of Hong Kong,https://i.cs.hku.hk/~fcmlau,FmneJesAAAAJ,9765.0,47.0,1966.0
David W. Cheung,University of Hong Kong,https://i.cs.hku.hk/~dcheung,wwb5LGsAAAAJ,15479.0,52.0,
Siu-Ming Yiu,University of Hong Kong,https://www.cs.hku.hk/index.php/people/academic-staff/smyiu,QFNVqjEAAAAJ,24621.0,56.0,1992.0
Ben Kao,University of Hong Kong,https://www.cs.hku.hk/index.php/people/academic-staff/kao,TwSParMAAAAJ,8535.0,46.0,1985.0
Chun Kit Chui,University of Hong Kong,https://www.cs.hku.hk/index.php/people/academic-staff/ckchui,,,,
Ka-man Lam,University of Hong Kong,https://www.cs.hku.hk/index.php/people/academic-staff/kmlam,,,,
Cho-Li Wang,University of Hong Kong,https://i.cs.hku.hk/~clwang,pO6yT2cAAAAJ,3810.0,29.0,1992.0
Ruibang Luo,University of Hong Kong,http://www.bio8.cs.hku.hk,CwGy9jsAAAAJ,29270.0,27.0,2010.0
Giulio Chiribella,University of Hong Kong,https://i.cs.hku.hk/~giulio,4ob0VU4AAAAJ,6236.0,38.0,2004.0
Ping Luo,University of Hong Kong,http://luoping.me,aXdjxb4AAAAJ,23313.0,59.0,2003.0
Jia Pan,University of Hong Kong,https://sites.google.com/site/panjia,YYT8-7kAAAAJ,4068.0,31.0,2006.0
Tsz Hon Yuen,University of Hong Kong,https://thyuen.github.io,aVLlo-gAAAAJ,2415.0,26.0,2005.0
Chuan Wu,University of Hong Kong,https://i.cs.hku.hk/~cwu,mY7MWXMAAAAJ,6707.0,47.0,2002.0
