name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Lisimachos Kondi,University of Ioannina,https://cs.uoi.gr/~lkon,VVz5ATwAAAAJ,2119.0,23.0,1997.0
Loukas Georgiadis,University of Ioannina,https://cs.uoi.gr/~loukas,y5vDB7sAAAAJ,1024.0,19.0,2002.0
George Manis,University of Ioannina,https://cs.uoi.gr/~manis,D0CFwn0AAAAJ,1226.0,17.0,1994.0
Nikos Mamoulis,University of Ioannina,https://cs.uoi.gr/~nikos,jOvUDjYAAAAJ,14414.0,59.0,1996.0
Leonidas Palios,University of Ioannina,https://cs.uoi.gr/~palios,fk4I4B8AAAAJ,696.0,13.0,1990.0
Stavros D. Nikolopoulos,University of Ioannina,https://cs.uoi.gr/~stavros,Uk8Tkt0AAAAJ,1676.0,22.0,1984.0
Panos Vassiliadis,University of Ioannina,https://cs.uoi.gr/~pvassil,B_Zd1P8AAAAJ,8464.0,45.0,1998.0
Panayiotis Tsaparas,University of Ioannina,https://cs.uoi.gr/~tsap,Rmds8IcAAAAJ,5660.0,35.0,1997.0
Stergios Anastasiadis,University of Ioannina,https://cs.uoi.gr/~stergios,W2uDZgMAAAAJ,499.0,12.0,1997.0
Vasileios Tenentes,University of Ioannina,https://cs.uoi.gr/~tenentes,KtX53YkAAAAJ,430.0,13.0,2008.0
Aristidis Likas,University of Ioannina,https://cs.uoi.gr/~arly,kb39Kx0AAAAJ,12405.0,50.0,1991.0
Isaac Lagaris,University of Ioannina,https://cs.uoi.gr/~lagaris,I7VicCIAAAAJ,4229.0,26.0,1979.0
Kostas Vlachos,University of Ioannina,https://cs.uoi.gr/~kostaswl,JL-zo2UAAAAJ,299.0,9.0,1963.0
Apostolos V. Zarras,University of Ioannina,https://cs.uoi.gr/~zarras,9nXN6XYAAAAJ,1508.0,21.0,1995.0
Christophoros Nikou,University of Ioannina,https://cs.uoi.gr/~cnikou,LOHLQrMAAAAJ,3896.0,28.0,1997.0
Y. Tsiatouhas,University of Ioannina,https://cs.uoi.gr/~tsiatouhas,gHsE8pYAAAAJ,1082.0,17.0,1995.0
Konstantinos Parsopoulos,University of Ioannina,https://cs.uoi.gr/~kostasp,WoeMY3YAAAAJ,11120.0,38.0,1998.0
Konstantinos Blekas,University of Ioannina,https://cs.uoi.gr/~kblekas,dgH4XJkAAAAJ,1589.0,21.0,1994.0
Xrysovalantis Kavousianos,University of Ioannina,https://cs.uoi.gr/~kabousia,GpEoeCUAAAAJ,1149.0,20.0,1997.0
Ioannis Fudos,University of Ioannina,https://cs.uoi.gr/~fudos,sx3Y4NsAAAAJ,1747.0,18.0,1993.0
Spyros C. Kontogiannis,University of Ioannina,https://cs.uoi.gr/~kontog,oh83g30AAAAJ,1286.0,15.0,1973.0
Christos Nomikos,University of Ioannina,https://cs.uoi.gr/~cnomikos,0_stzLsAAAAJ,397.0,12.0,1996.0
Vassilios V. Dimakopoulos,University of Ioannina,https://cs.uoi.gr/~dimako,JIGQWuAAAAAJ,781.0,17.0,1991.0
Evaggelia Pitoura,University of Ioannina,https://cs.uoi.gr/~pitoura,3r_xVvkAAAAJ,7783.0,45.0,1988.0
Evangelos Papapetrou,University of Ioannina,https://cs.uoi.gr/~epap,R6Ldg5UAAAAJ,779.0,15.0,1998.0
Aristides Efthymiou,University of Ioannina,https://cs.uoi.gr/~efthym,,,,
