name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Douglas W. Jones,University of Iowa,https://www.cs.uiowa.edu/~jones,gX8LBfgAAAAJ,15861.0,60.0,
Bijaya Adhikari,University of Iowa,https://cs.uiowa.edu/people/bijaya-adhikari,lfRiJ8YAAAAJ,420.0,11.0,2014.0
J. Garrett Morris,University of Iowa,https://homepage.cs.uiowa.edu/~jgmorrs,PZIdxNgAAAAJ,522.0,10.0,2004.0
Alberto M. Segre,University of Iowa,https://www.cs.uiowa.edu/people/alberto-maria-segre,,,,
Sukumar Ghosh,University of Iowa,https://www.cs.uiowa.edu/~ghosh,LCVf0lcAAAAJ,3714.0,25.0,
Kyle K. Rector,University of Iowa,https://homepage.cs.uiowa.edu/~krector,oSHTlC4AAAAJ,2164.0,20.0,2007.0
Hantao Zhang,University of Iowa,https://www.cs.uiowa.edu/~hzhang,,,,
Sriram V. Pemmaraju,University of Iowa,https://www.cs.uiowa.edu/~sriram,s_yIH3gAAAAJ,3303.0,30.0,1989.0
Octav Chipara,University of Iowa,https://www.cs.uiowa.edu/people/octav-chipara,uBbYp8gAAAAJ,2388.0,24.0,2003.0
Aaron Stump,University of Iowa,https://www.cs.uiowa.edu/~astump,568MtVQAAAAJ,4426.0,27.0,1999.0
Juan Pablo Hourcade,University of Iowa,https://www.cs.uiowa.edu/~hourcade,HLv0dl0AAAAJ,3969.0,31.0,
Suely Oliveira,University of Iowa,https://www.cs.uiowa.edu/~oliveira,eDMCSJwAAAAJ,3703.0,31.0,1951.0
James Cremer,University of Iowa,https://www.cs.uiowa.edu/~cremer,At2chacAAAAJ,961.0,7.0,2011.0
Omar Chowdhury,University of Iowa,http://homepage.divms.uiowa.edu/~comarhaider,8QhYsz8AAAAJ,726.0,13.0,2010.0
Peng Jiang,University of Iowa,https://homepage.divms.uiowa.edu/~penjiang,CxfXT14AAAAJ,335.0,9.0,2013.0
Guanpeng Li,University of Iowa,http://homepage.cs.uiowa.edu/~guanpli,hIoeKKkAAAAJ,871.0,12.0,2014.0
Kasturi R. Varadarajan,University of Iowa,http://homepage.cs.uiowa.edu/~kvaradar,UNxLPX8AAAAJ,4697.0,37.0,1996.0
Cesare Tinelli,University of Iowa,http://homepage.cs.uiowa.edu/~tinelli,wbZc9nUAAAAJ,11502.0,43.0,1995.0
Tianbao Yang,University of Iowa,http://homepage.cs.uiowa.edu/~tyng,BCxFU0EAAAAJ,6287.0,40.0,2009.0
Supreeth Shastri,University of Iowa,http://homepage.cs.uiowa.edu/~sshastri,NK-M-iMAAAAJ,400.0,10.0,2009.0
Ted Herman,University of Iowa,http://homepage.cs.uiowa.edu/~herman,89vejUwAAAAJ,4718.0,31.0,1975.0
Padmini Srinivasan,University of Iowa,https://cs.uiowa.edu/people/padmini-srinivasan,,,,
Rishab Nithyanand,University of Iowa,https://cs.uiowa.edu/people/rishab-nithyanand,iFjAUN8AAAAJ,1675.0,18.0,2009.0
Joe K. Kearney,University of Iowa,http://homepage.cs.uiowa.edu/~kearney,wKC0dwcAAAAJ,575.0,7.0,1970.0
Steve Goddard,University of Iowa,https://cs.uiowa.edu/people/steve-goddard,9DiavQ0AAAAJ,5103.0,24.0,1981.0
