name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Jamal Alsakran,University of Jordan,http://eacademic.ju.edu.jo/j.Alsakran,lQ9EkngAAAAJ,403.0,10.0,2008.0
Mohammad Alshraideh,University of Jordan,http://computer.ju.edu.jo/Lists/FacultyAcademicStaff/Attachments/16/Mohammed%20Shriedeh.doc,mlPbP5QAAAAJ,564.0,12.0,2002.0
Mohammad A. M. Abushariah,University of Jordan,http://ju-jo.academia.edu/MohammadAbdAlrahmanMahmoudAbushariah/CurriculumVitae,JBS28ZgAAAAJ,1150.0,16.0,2006.0
Ammar Huneiti,University of Jordan,http://eacademic.ju.edu.jo/a.huneiti,--mc83MAAAAJ,276.0,8.0,1994.0
Hazem Hiary,University of Jordan,http://www.gju.edu.jo/content/dr-hazem-kaylani-1100,GEJ_25MAAAAJ,409.0,12.0,2003.0
Saleh Al-Sharaeh,University of Jordan,http://eacademic.ju.edu.jo/ssharaeh,7zZ86FsAAAAJ,233.0,8.0,1991.0
Ahmad Sharieh,University of Jordan,http://eacademic.ju.edu.jo/sharieh,lXeTzzAAAAAJ,930.0,17.0,1991.0
Wesam A. Almobaideen,University of Jordan,http://eacademic.ju.edu.jo/wesmoba,txO1flYAAAAJ,775.0,16.0,2003.0
Amjad Hudaib,University of Jordan,http://eacademic.ju.edu.jo/ahudaib,WezwTlcAAAAJ,891.0,16.0,2002.0
Maen M. Al Assaf,University of Jordan,http://link.springer.com/article/10.1007/s11265-013-0787-6,eK4zRzwAAAAJ,130.0,8.0,2008.0
Abdel Latif Abu Dalhoum,University of Jordan,http://eacademic.ju.edu.jo/a.latif,zXiv9G8AAAAJ,486.0,12.0,2003.0
Basel A. Mahafzah,University of Jordan,http://eacademic.ju.edu.jo/b.mahafzah,cjUfPpUAAAAJ,776.0,19.0,1998.0
Basima Elshqeirat,University of Jordan,http://eacademic.ju.edu.jo/b.shoqurat,jDBrG0oAAAAJ,114.0,6.0,2013.0
Khair Eddin Sabri,University of Jordan,http://eacademic.ju.edu.jo/k.sabri,JBbuUtsAAAAJ,518.0,10.0,2001.0
Azzam Ibrahim,University of Jordan,http://eacademic.ju.edu.jo/azzam.sleit,yZ42G9YAAAAJ,1215.0,21.0,1995.0
Riad Jabri,University of Jordan,http://eacademic.ju.edu.jo/jabri,6OS8WIIAAAAJ,82.0,5.0,2007.0
Saher S. Manaseer,University of Jordan,http://www.just.edu.jo/~masadeh/pages/pup.htm,Hy2l2bcAAAAJ,399.0,11.0,2004.0
Nadim Ali Meri Obeid,University of Jordan,http://eacademic.ju.edu.jo/obein,,,,
Reem Qadan Al Fayez,University of Jordan,http://www2.warwick.ac.uk/fac/sci/dcs/people/research/csrlaq,HUFYK3EAAAAJ,48.0,3.0,2011.0
Loai Alnemer,University of Jordan,http://eacademic.ju.edu.jo/L.nemer,4w18VJgAAAAJ,186.0,7.0,2010.0
Salsabeel F. M. AlFalah,University of Jordan,http://ieeexplore.ieee.org/document/6918271,AIQFoMkAAAAJ,346.0,8.0,2011.0
Sherenaz W. Al Haj Baddar,University of Jordan,http://computer.ju.edu.jo/Lists/FacultyAcademicStaff/Disp_Staff.aspx?ID=18&Dept=Computer%20Science,tdIm-9oAAAAJ,203.0,6.0,2009.0
Fawaz A. Al Zaghoul,University of Jordan,http://computer.ju.edu.jo/Lists/FacultyAcademicStaff/Attachments/26/FAWAZCV-2013-English-Arabic-new-17-2-14.doc,i8KUEesAAAAJ,333.0,10.0,1989.0
Iman AlMomani,University of Jordan,https://www.facebook.com/public/Iman-Almomani/school/University-of-Jordan-103146266391742,dj0SNHAAAAAJ,814.0,14.0,2003.0
Heba Saadeh,University of Jordan,http://eacademic.ju.edu.jo/Heba.saadeh,ctbGyYUAAAAJ,1933.0,15.0,2009.0
Huda Abd El-Raheem Karajeh,University of Jordan,http://eacademic.ju.edu.jo/h.karajeh,cGIHBBIAAAAJ,679.0,10.0,2006.0
Bassam H. Hammo,University of Jordan,http://www.springer.com/cda/content/document/cda_downloaddocument/Special_Issue_ANLP_IJST+mj.docx?SGWID=0-0-45-1487362-p35682019,a5nuQFEAAAAJ,778.0,14.0,1998.0
Imad Salah,University of Jordan,http://ju.edu.jo/Lists/Administrators/Disp_form.aspx?ID=15,n9ETArsAAAAJ,449.0,9.0,1992.0
Esra Alzaghoul,University of Jordan,http://eacademic.ju.edu.jo/e.zaghoul,mmo_E_AAAAAJ,112.0,5.0,2013.0
Majdi Sawalha,University of Jordan,http://djasljsa.academia.edu/MajdiSawalha,6LD7HyIAAAAJ,681.0,16.0,2003.0
Omar Adwan,University of Jordan,https://twitter.com/adwani22,IS_2z0sAAAAJ,327.0,9.0,2011.0
Mohammad Qatawneh,University of Jordan,http://computer.ju.edu.jo/Lists/FacultyAcademicStaff/Attachments/16/Mohammed%20Shriedeh.doc,V6iTZ-4AAAAJ,616.0,14.0,2000.0
Thair M. Hamtini,University of Jordan,http://online-journals.org/index.php/i-jet/search/authors/view?firstName=Thair&middleName=M.&lastName=Hamtini&affiliation=The%20University%20of%20Jordan&country=JO,_lnxDq8AAAAJ,598.0,10.0,2000.0
Moh'd B. Al-Zoubi,University of Jordan,http://old.bau.edu.jo/ar/Colleges/fet/new/Academic%20_Departments/Applied%20Sciences/Academic%20Staff/Professor%20Abu-Hamatteh%20CV%202013.pdf,rzZZHCwAAAAJ,370.0,9.0,1996.0
Hamad Al-Sawalqah,University of Jordan,http://computer.ju.edu.jo/Lists/FacultyAcademicStaff/DispDept_Staff.aspx?ID=69&dept=Computer%20Information%20Systems&deptName=Computer%20Information%20Systems,vOa_QRwAAAAJ,279.0,9.0,2007.0
Mousa Al-Akhras,University of Jordan,https://www.facebook.com/public/Mousa-Al-Akhras,KtHYblAAAAAJ,446.0,11.0,2003.0
Rana Yousef,University of Jordan,https://www.facebook.com/public/Rana-Yousef/school/University-of-Jordan-103146266391742,N0DGOlYAAAAJ,297.0,8.0,2005.0
Sami Serhan,University of Jordan,http://www.psut.edu.jo/users/prof-sami-serhan,xyS6meEAAAAJ,114.0,4.0,1995.0
