name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Dieter Wloka,University of Kassel,http://www.uni-kassel.de/eecs/fachgebiete/techinf/mitarbeiter/person/460-Dieter-Wloka.html,,,,
Peter Zipf,University of Kassel,http://www.uni-kassel.de/eecs/fachgebiete/digitech/team/person/532-Peter-Zipf.html,,,,
Stefan Göller,University of Kassel,https://www.uni-kassel.de/eecs/fachgebiete/tiks/team.html,,,,
Bernhard Sick,University of Kassel,https://www.uni-kassel.de/eecs/de/fachgebiete/ies/personen/bernhard-sick.html,sGAKnroAAAAJ,5038.0,34.0,1995.0
Kurt Geihs,University of Kassel,http://www.uni-kassel.de/eecs/fachgebiete/vs/team/kge-detail-page/person/578-Kurt-Geihs.html,JsrZG2YAAAAJ,7078.0,37.0,1985.0
Josef Börcsök,University of Kassel,https://www.uni-kassel.de/eecs/fachgebiete/icas/fachgebiet/fachgebietsleiter.html,,,,
Claudia Fohry,University of Kassel,http://www.uni-kassel.de/eecs/fachgebiete/plm/team/claudia-fohry.html,,,,
Martin Lange,University of Kassel,https://carrick.fm.cs.uni-kassel.de/~mlange,cQuaayUAAAAJ,1783.0,24.0,1994.0
Albert Zündorf,University of Kassel,http://forschung.uni-kassel.de/converis/portal/Person/951793?auxfun=&lang=de_DE,WUWph3oAAAAJ,4530.0,29.0,1991.0
Gerd Stumme,University of Kassel,https://www.kde.cs.uni-kassel.de/stumme,PqIX0TwAAAAJ,16656.0,58.0,1994.0
Claude Draude,University of Kassel,https://www.uni-kassel.de/eecs/fachgebiete/gedis/team/claude-draude.html,,,,
Klaus David,University of Kassel,https://www.comtec.eecs.uni-kassel.de/david,U7N4f6UAAAAJ,3619.0,30.0,1990.0
