name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Kenneth L. Calvert,University of Kentucky,https://www.cs.uky.edu/~calvert,-6v-CdkAAAAJ,8499.0,31.0,1984.0
Corey Baker,University of Kentucky,https://www.cs.uky.edu/~baker,PqWkFEYAAAAJ,123.0,7.0,2010.0
Brent Seales,University of Kentucky,https://www.cs.uky.edu/people/faculty/bseales,jk09W8sAAAAJ,2710.0,24.0,1989.0
Mirek Truszczynski,University of Kentucky,http://www.cs.uky.edu/~mirek,3N0nXb4AAAAJ,8792.0,44.0,1970.0
Andrew Klapper,University of Kentucky,https://www.cs.uky.edu/people/faculty/aklapper,nn3Fx0cAAAAJ,2579.0,27.0,1987.0
Qiang Cheng,University of Kentucky,https://www.engr.uky.edu/directory/cheng-qiang-shawn,tpRmu_MAAAAJ,3325.0,29.0,2000.0
Jin Chen,University of Kentucky,https://www.engr.uky.edu/directory/chen-jin,DoBBtIkAAAAJ,2730.0,27.0,2003.0
Brent E. Harrison,University of Kentucky,https://www.engr.uky.edu/directory/harrison-brent,JUAIpDcAAAAJ,1413.0,18.0,2010.0
Zongming Fei,University of Kentucky,https://www.cs.uky.edu/~fei,YMjxFrQAAAAJ,2592.0,23.0,1996.0
Hana Khamfroush,University of Kentucky,https://www.engr.uky.edu/directory/khamfroush-hana,qNAcUB8AAAAJ,652.0,14.0,
Cody Bumgardner,University of Kentucky,https://www.engr.uky.edu/directory/bumgardner-cody,-CkpZKIAAAAJ,167.0,5.0,2004.0
Neil Moore,University of Kentucky,https://www.engr.uky.edu/directory/moore-neil,,,,
Ramakanth Kavuluru,University of Kentucky,http://www.cs.uky.edu/people/faculty/rkavuluru,azW9YzYAAAAJ,1902.0,22.0,2006.0
W. Brent Seales,University of Kentucky,https://www.cs.uky.edu/people/faculty/bseales,,,,
Stephen G. Ware,University of Kentucky,http://stephengware.com,mkFBt8oAAAAJ,696.0,13.0,2001.0
Jane Hayes,University of Kentucky,http://selab.netlab.uky.edu/homepage,vDBB56cAAAAJ,5279.0,37.0,1990.0
Raphael A. Finkel,University of Kentucky,https://www.cs.uky.edu/~raphael,VqXOKkgAAAAJ,10801.0,33.0,1974.0
Judy Goldsmith,University of Kentucky,http://www.cs.uky.edu/~goldsmit,3bhoIywAAAAJ,3474.0,29.0,1964.0
Jun Zhang,University of Kentucky,https://www.cs.uky.edu/~jzhang,,,,
Greg W. Wasilkowski,University of Kentucky,https://www.cs.uky.edu/~greg,,,,
Nathan Jacobs,University of Kentucky,http://cs.uky.edu/~jacobs,ZBgGyh8AAAAJ,2531.0,24.0,1999.0
V. Wiktor Marek,University of Kentucky,https://www.cs.uky.edu/~marek,,,,
Simone Silvestri,University of Kentucky,http://www.cs.uky.edu/~silvestri,,,,
James Griffioen,University of Kentucky,http://protocols.netlab.uky.edu/~griff,,,,
Nathan B. Jacobs,University of Kentucky,https://jacobsn.github.io,ZBgGyh8AAAAJ,2531.0,24.0,1999.0
Fuhua (Frank) Cheng,University of Kentucky,http://www.cs.uky.edu/~cheng,,,,
D. Manivannan,University of Kentucky,https://www.cs.uky.edu/~manivann,,,,
Jerzy W. Jaromczyk,University of Kentucky,http://www.cs.uky.edu/~jurek,mOzLn7YAAAAJ,19142.0,39.0,1996.0
A. B. Siddique,University of Kentucky,http://cs.uky.edu/~siddique,pVnchfsAAAAJ,78.0,6.0,2018.0
