name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Klaus Diller,University of Koblenz-Landau,https://www.uni-koblenz-landau.de/de/koblenz/fb4/ifm/agdiller/team/diller/klaus-diller,,,,
Thomas Burkhardt,University of Koblenz-Landau,https://www.uni-koblenz-landau.de/de/koblenz/fb4/ifm/agburkhardt/team/thomas-burkhardt/thomas-burkhardt,,,,
Susan P. Williams,University of Koblenz-Landau,https://www.uni-koblenz-landau.de/de/koblenz/fb4/iwvi/ageim/team/susan-williams/susan-williams,JGIx1CMAAAAJ,2706.0,24.0,1995.0
Patrick Delfmann,University of Koblenz-Landau,https://www.uni-koblenz-landau.de/de/koblenz/fb4/iwvi/p_delfmann/team/patrick-delfmann/patrick-delfmann,ROhACNYAAAAJ,2820.0,25.0,2001.0
Maria A. Wimmer,University of Koblenz-Landau,https://www.uni-koblenz-landau.de/de/koblenz/fb4/iwvi/agvinf/team/maria-wimmer/maria-wimmer,QvZLlC8AAAAJ,4289.0,33.0,1996.0
Petra Schubert,University of Koblenz-Landau,https://www.uni-koblenz-landau.de/de/koblenz/fb4/iwvi/agschubert/team/petra-schubert/petra-schubert,RvlHMVUAAAAJ,4834.0,34.0,1996.0
Mario Schaarschmidt,University of Koblenz-Landau,https://www.uni-koblenz-landau.de/de/koblenz/fb4/ifm/agschaarschmidt/team/schaarschmidt/mario-schaarschmidt,LmkFPYkAAAAJ,1080.0,17.0,2006.0
Matthias Gouthier,University of Koblenz-Landau,https://www.uni-koblenz-landau.de/de/koblenz/fb4/ifm/aggouthier/team/gouthier/matthias-gouthier,,,,
Dietrich Paulus,University of Koblenz-Landau,https://www.uni-koblenz-landau.de/de/koblenz/fb4/icv/agpaulus/agas-team/paulus/paulus,3SeodI4AAAAJ,5101.0,27.0,1987.0
Jan Jürjens,University of Koblenz-Landau,https://www.uni-koblenz-landau.de/de/koblenz/fb4/ist/rgse/staff/jan-juerjens,erI33mgAAAAJ,7737.0,44.0,1993.0
Tobias Kramer,University of Koblenz-Landau,https://www.uni-koblenz-landau.de/de/koblenz/fb4/ifm/mud/team/tobias-kraemer,19ZQCsMAAAAJ,663.0,8.0,2012.0
Hannes Frey,University of Koblenz-Landau,https://www.uni-koblenz-landau.de/de/koblenz/fb4/ifi/AGFrey/personen/hannes-frey,,,,
Viorica Sofronie,University of Koblenz-Landau,https://www.uni-koblenz-landau.de/en/campus-koblenz/fb4/ics/RGVSS/team/viorica-sofronie-stokkermans,aFGMdHQAAAAJ,1343.0,22.0,1995.0
Matthias Thimm,University of Koblenz-Landau,https://west.uni-koblenz.de/de/about-us/team/dr-matthias-thimm,Mh8hERIAAAAJ,2444.0,25.0,2007.0
Harald F. O. von Korflesch,University of Koblenz-Landau,https://www.uni-koblenz-landau.de/en/campus-koblenz/fb4/ifm/rgvonkorflesch/Team/korflesch/harald-von-kortzfleisch,,,,
Ralf Lämmel,University of Koblenz-Landau,http://softlang.wikidot.com/rlaemmel:home,rlhpWRQAAAAJ,7114.0,42.0,1991.0
Karin Harbusch,University of Koblenz-Landau,https://www.uni-koblenz-landau.de/de/koblenz/fb4/icv/agharbusch/mitarbeiter/harbusch,,,,
Stefan Müller,University of Koblenz-Landau,https://www.uni-koblenz-landau.de/de/koblenz/fb4/icv/agmueller/personen/stefanm/stefanm,,,,
Dieter Zöbel,University of Koblenz-Landau,https://www.uni-koblenz-landau.de/de/koblenz/fb4/ist/AGZoebel/Personen/dieter-zoebel,,,,
