name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Marc Hellmuth,University of Leeds,https://eps.leeds.ac.uk/faculty-engineering-physical-sciences/staff/8274/pd-dr-marc-hellmuth,4ja1NHsAAAAJ,948.0,16.0,2008.0
Alejandro F. Frangi,University of Leeds,https://eps.leeds.ac.uk/computing/staff/1535/professor-alejandro-f-frangi,9fGrB0sAAAAJ,29696.0,69.0,1997.0
Peter K. Jimack,University of Leeds,https://eps.leeds.ac.uk/computing/staff/82/professor-peter-jimack,Zc4CtZQAAAAJ,2709.0,29.0,1989.0
David C. Hogg,University of Leeds,https://eps.leeds.ac.uk/computing/staff/84/professor-david-hogg,5VJ4YPQAAAAJ,8336.0,45.0,1977.0
David J. Duke,University of Leeds,https://eps.leeds.ac.uk/computing/staff/334/professor-david-duke,QrV7sSUAAAAJ,3263.0,32.0,1989.0
Matteo Leonetti,University of Leeds,https://eps.leeds.ac.uk/computing/staff/771/dr-matteo-leonetti,23uzLe0AAAAJ,997.0,16.0,2007.0
Jie Xu,University of Leeds,https://eps.leeds.ac.uk/computing/staff/331/professor-jie-xu,_KsRPiAAAAAJ,8514.0,46.0,
Hamish A. Carr,University of Leeds,https://eps.leeds.ac.uk/computing/staff/499/dr-hamish-carr,qC89DgwAAAAJ,3375.0,30.0,1999.0
Eric Atwell,University of Leeds,https://eps.leeds.ac.uk/computing/staff/33/professor-eric-atwell,Iu5WFskAAAAJ,5885.0,38.0,1982.0
Martin E. Dyer,University of Leeds,https://eps.leeds.ac.uk/computing/staff/52/professor-martin-dyer,caPvMq0AAAAJ,10617.0,56.0,1977.0
Thomas Ranner,University of Leeds,https://eps.leeds.ac.uk/computing/staff/643/dr-thomas-ranner,dS8Hj_AAAAAJ,359.0,8.0,2013.0
Haiko Müller,University of Leeds,https://eps.leeds.ac.uk/computing/staff/241/dr-haiko-muller,,,,
Natalia V. Shakhlevich,University of Leeds,https://eps.leeds.ac.uk/computing/staff/285/dr-natasha-shakhlevich,7fBFN4QAAAAJ,1296.0,22.0,1990.0
Marc de Kamps,University of Leeds,https://eps.leeds.ac.uk/computing/staff/390/dr-marc-de-kamps,,,,
John G. Stell,University of Leeds,https://eps.leeds.ac.uk/computing/staff/258/dr-john-stell,h_Fv6o8AAAAJ,1964.0,26.0,1984.0
He Wang,University of Leeds,https://eps.leeds.ac.uk/computing/staff/868/dr-he-wang,BaaPAVYAAAAJ,403.0,11.0,2011.0
Netta Cohen,University of Leeds,https://eps.leeds.ac.uk/computing/staff/301/professor-netta-cohen,UqzPhMEAAAAJ,1754.0,20.0,1995.0
Lydia Lau,University of Leeds,https://eps.leeds.ac.uk/computing/staff/44/dr-lydia-lau,,,,
Roy A. Ruddle,University of Leeds,https://eps.leeds.ac.uk/computing/staff/257/professor-roy-ruddle,QE6gxWYAAAAJ,3945.0,29.0,1996.0
Andy Bulpitt,University of Leeds,https://eps.leeds.ac.uk/computing/staff/115/dr-andy-bulpitt,9S9v3bcAAAAJ,328.0,10.0,2000.0
Evangelos Pournaras,University of Leeds,https://eps.leeds.ac.uk/computing/staff/6446/dr-evangelos-pournaras,EffH1CEAAAAJ,1198.0,20.0,2007.0
Zheng Wang,University of Leeds,https://eps.leeds.ac.uk/computing/staff/6452/dr-zheng-wang,qJ7ZKG8AAAAJ,3890.0,34.0,2004.0
Mehmet Remzi Dogar,University of Leeds,https://eps.leeds.ac.uk/computing/staff/743/dr-mehmet-dogar,jikMhF4AAAAJ,2433.0,19.0,1995.0
Brandon Bennett,University of Leeds,https://eps.leeds.ac.uk/computing/staff/121/dr-brandon-bennett,ZjXF2ckAAAAJ,4966.0,37.0,1958.0
Mark A. Walkley,University of Leeds,https://eps.leeds.ac.uk/computing/staff/189/dr-mark-walkley,WKbfWfkAAAAJ,727.0,15.0,1999.0
Isolde Adler,University of Leeds,https://eps.leeds.ac.uk/computing/staff/810/dr-isolde-adler,,,,
Anthony G. Cohn,University of Leeds,https://eps.leeds.ac.uk/computing/staff/76/professor-anthony-g-cohn-freng-ceng-citp,tal4mMkAAAAJ,15036.0,55.0,1979.0
Kristina Vuskovic,University of Leeds,https://eps.leeds.ac.uk/computing/staff/249/professor-kristina-vuskovic,,,,
Tom Kelly,University of Leeds,https://eps.leeds.ac.uk/computing/staff/1545/dr-tom-kelly,MzDoKg8AAAAJ,355.0,8.0,2011.0
Vania Dimitrova,University of Leeds,https://eps.leeds.ac.uk/computing/staff/184/professor-vania-dimitrova,cDrHc2YAAAAJ,3350.0,29.0,1997.0
Derek R. Magee,University of Leeds,https://eps.leeds.ac.uk/computing/staff/172/derek-magee,n-rFu_MAAAAJ,3298.0,31.0,1998.0
Ali Gooya,University of Leeds,https://eps.leeds.ac.uk/computing/staff/1670/dr-ali-gooya,H7w9icgAAAAJ,1668.0,19.0,2005.0
Karim Djemame,University of Leeds,https://eps.leeds.ac.uk/computing/staff/187/professor-karim-djemame,qUWqg9UAAAAJ,2332.0,23.0,1996.0
Raymond S. K. Kwan,University of Leeds,https://eps.leeds.ac.uk/computing/staff/37/professor-raymond-kwan,kfllGLUAAAAJ,2164.0,22.0,1973.0
Toni Lasilla,University of Leeds,https://eps.leeds.ac.uk/computing/staff/1542/dr-toni-lassila,aPCz3uwAAAAJ,1327.0,16.0,2009.0
