name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Ahmed Desoky,University of Louisville,http://louisville.edu/speed/people/faculty/desokyAhmed,,,,
Adel Elmaghraby,University of Louisville,http://louisville.edu/speed/people/faculty/elmaghrabyAdel,84U09_IAAAAJ,4957.0,32.0,1978.0
Roman V. Yampolskiy,University of Louisville,http://cecs.louisville.edu/ry,0_Rq68cAAAAJ,5592.0,40.0,2003.0
Ibrahim N. Imam,University of Louisville,http://louisville.edu/speed/computer/personnel/faculty,,,,
Nihat Altiparmak,University of Louisville,http://cecs.louisville.edu/nihat,HvPsovYAAAAJ,123.0,8.0,2009.0
Juw Won Park,University of Louisville,http://louisville.edu/research/kbrin/news/juw-won-park,pTOp1TQAAAAJ,3178.0,21.0,2002.0
Antonio Badia,University of Louisville,http://louisville.edu/speed/people/faculty/badiaAntonio,LlBDyJcAAAAJ,853.0,14.0,1995.0
Anup Kumar,University of Louisville,http://louisville.edu/speed/people/faculty/kumarAnup,,,,
Olfa Nasaroui,University of Louisville,http://louisville.edu/speed/people/faculty/nasraouiOlfa,SGscZDgAAAAJ,7184.0,43.0,1992.0
Eric C. Rouchka,University of Louisville,http://louisville.edu/speed/people/faculty/rouchkaEric,0RPDeS8AAAAJ,2942.0,26.0,1996.0
Dar-Jen Chang,University of Louisville,http://louisville.edu/speed/people/faculty/changDarJen,,,,
Hichem Frigui,University of Louisville,http://louisville.edu/speed/people/faculty/friguiHichem,kj8gkFAAAAAJ,5755.0,33.0,1992.0
Mehmed Kantardzic,University of Louisville,http://louisville.edu/speed/people/faculty/kantardzicMehmed,RKnDA7oAAAAJ,5468.0,22.0,1996.0
Adrian P. Lauf,University of Louisville,http://louisville.edu/speed/people/faculty/laufAdrian,fU0XrdEAAAAJ,533.0,11.0,2006.0
