name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Steffen Rothkugel,University of Luxembourg,http://wwwen.uni.lu/research/fstc/communicative_systems_laboratory_com_sys/members/steffen_rothkugel,,,,
Jean-Sébastien Coron,University of Luxembourg,http://wwwen.uni.lu/recherche/fstc/laboratory_of_algorithmics_cryptology_and_security_lacs/members/jean_sebastien_coron,,,,
Christoph Schommer,University of Luxembourg,http://wwwen.uni.lu/recherche/fstc/interdisciplinary_lab_for_intelligent_and_adaptive_systems_ilias/members/christoph_schommer,toyuQnMAAAAJ,819.0,10.0,2003.0
Yves Le Traon,University of Luxembourg,http://wwwen.uni.lu/recherche/fstc/computer_science_and_communications_research_unit/members/yves_le_traon,Wr0JrioAAAAJ,13028.0,59.0,1989.0
Peter Ryan,University of Luxembourg,http://wwwen.uni.lu/snt/research/apsia/prof_peter_ryan,,,,
Nicolas Guelfi,University of Luxembourg,http://wwwen.uni.lu/recherche/fstc/computer_science_and_communications_research_unit/members/nicolas_guelfi,pvrJk-8AAAAJ,1744.0,20.0,1990.0
Volker Müller,University of Luxembourg,http://wwwen.uni.lu/recherche/fstc/computer_science_and_communications_research_unit/members/volker_mueller,,,,
Uli Sorger,University of Luxembourg,http://wwwen.uni.lu/recherche/fstc/computer_science_and_communications_research_unit/members/ulrich_sorger,,,,
Leender van der Torre,University of Luxembourg,http://icr.uni.lu/leonvandertorre,kRoU8dEAAAAJ,15175.0,57.0,1993.0
Raymond Bisdorff,University of Luxembourg,http://wwwen.uni.lu/studies/doctoral_education/contact/raymond_bisdorff,Vz4YXfcAAAAJ,786.0,16.0,1981.0
Sjouke Mauw,University of Luxembourg,http://satoss.uni.lu/members/sjouke,NDXZhwcAAAAJ,5556.0,39.0,1987.0
Denis Zampuniéris,University of Luxembourg,http://wwwen.uni.lu/fstc/organigramme/membres2/denis_zampunieris,,,,
Pierre Kelsen,University of Luxembourg,http://wwwen.uni.lu/snt/people/pierre_kelsen,WpY_eHMAAAAJ,701.0,16.0,1986.0
Nicolas Navet,University of Luxembourg,http://nicolas.navet.eu,dhYgyRUAAAAJ,3924.0,30.0,1996.0
Thomas Engel,University of Luxembourg,http://wwwen.uni.lu/snt/people/thomas_engel,KeoQQEcAAAAJ,7810.0,39.0,1995.0
Pascal Bouvry,University of Luxembourg,http://wwwen.uni.lu/snt/people/pascal_bouvry,pFbWf-MAAAAJ,10426.0,47.0,
Juergen Sachau,University of Luxembourg,http://wwwen.uni.lu/snt/people/juergen_sachau,,,,
Alex Biryukov,University of Luxembourg,http://wwwen.uni.lu/snt/people/alex_biryukov,tP5rH0wAAAAJ,11935.0,53.0,1994.0
Björn E. Ottersten,University of Luxembourg,http://wwwen.uni.lu/snt/people/bjoern_ottersten,OAWYhh0AAAAJ,35660.0,93.0,1985.0
Paulo Jorge Esteves Veríssimo,University of Luxembourg,http://wwwen.uni.lu/snt/people/paulo_esteves_verissimo,aMHx8aUAAAAJ,14783.0,55.0,1988.0
Bernard Steenis,University of Luxembourg,https://wwwen.uni.lu/recherche/fstm/dcs/members/bernard_steenis,,,,
Franck Leprévost,University of Luxembourg,http://wwwen.uni.lu/snt/people/franck_leprevost,,,,
