name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Heinz Handels,University of Lübeck,https://www.imi.uni-luebeck.de/~handels,39hYEG8AAAAJ,7561.0,36.0,1988.0
Andreas Schrader,University of Lübeck,https://www.itm.uni-luebeck.de/mitarbeitende/andreas-schrader.html,yMDaoqQAAAAJ,614.0,13.0,1996.0
Thomas Eisenbarth,University of Lübeck,https://www.its.uni-luebeck.de/mitarbeiterinnen/thomas-eisenbarth.html,N8DdWJwAAAAJ,5884.0,40.0,2005.0
Nicole Jochems,University of Lübeck,https://www.imis.uni-luebeck.de/de/institut/team/nicole-jochems,ZMwD_rUAAAAJ,541.0,12.0,1996.0
Michael Herczeg,University of Lübeck,https://www.imis.uni-luebeck.de/de/institut/team/michael-herczeg,5FCGBlAAAAAJ,2248.0,20.0,1983.0
Thomas Franke,University of Lübeck,https://www.imis.uni-luebeck.de/de/institut/team/thomas-franke,zQZf-msAAAAJ,3963.0,31.0,2008.0
Marcin Grzegorzek,University of Lübeck,http://www.imi.uni-luebeck.de/de/~grzegorzek,afSJW1IAAAAJ,1997.0,20.0,2003.0
Erhardt Barth,University of Lübeck,https://www.inb.uni-luebeck.de/mitarbeiter/mitarbeiter/professoren/erhardt-barth.html,YX3ympsAAAAJ,6185.0,38.0,1989.0
Josef Ingenerf,University of Lübeck,http://www.imi.uni-luebeck.de/de/~ingenerf,rXUpYSsAAAAJ,975.0,14.0,1987.0
K. Rüdiger Reischuk,University of Lübeck,http://www.tcs.uni-luebeck.de/mitarbeiter/reischuk,,,,
Heiko Hamann,University of Lübeck,https://www.iti.uni-luebeck.de/mitarbeiter/hamann.html,HUoutmwAAAAJ,2504.0,25.0,2003.0
Thorsten M. Buzug,University of Lübeck,https://www.imt.uni-luebeck.de/institute/staff/thorsten-m-buzug.html,BmU3oeYAAAAJ,10339.0,44.0,1989.0
Elmar A. Rückert,University of Lübeck,https://www.rob.uni-luebeck.de/index.php?id=448,EKUvWkkAAAAJ,605.0,13.0,2008.0
Mattias P. Heinrich,University of Lübeck,http://www.imi.uni-luebeck.de/de/~heinrich,_403fNcAAAAJ,7060.0,32.0,2007.0
Alfred Mertins,University of Lübeck,https://www.isip.uni-luebeck.de/people/alfred-mertins.html,,,,
Ralf Möller,University of Lübeck,https://www.ifis.uni-luebeck.de/index.php?id=moeller,IF53lyMAAAAJ,7690.0,39.0,1988.0
Achim Schweikard,University of Lübeck,https://www.rob.uni-luebeck.de/index.php?id=321,,,,
Esfandiar Mohammadi,University of Lübeck,https://www.its.uni-luebeck.de/mitarbeiterinnen/esfandiar-mohammadi.html,O9Z2mN8AAAAJ,538.0,12.0,2010.0
Mladen Berekovic,University of Lübeck,https://www.iti.uni-luebeck.de/mitarbeiter/berekovic.html,70NvAoYAAAAJ,1725.0,20.0,1995.0
Thomas Martinetz,University of Lübeck,https://www.inb.uni-luebeck.de/mitarbeiter/mitarbeiter/professoren/107.html,0-tDtUIAAAAJ,12929.0,39.0,1988.0
Sven Groppe,University of Lübeck,https://www.ifis.uni-luebeck.de/index.php?id=groppe,drGVVY0AAAAJ,1071.0,19.0,2003.0
Martin Leucker,University of Lübeck,https://www.isp.uni-luebeck.de/staff/martin,K5TogrcAAAAJ,6660.0,37.0,1998.0
Floris Ernst,University of Lübeck,https://www.rob.uni-luebeck.de/index.php?id=320,,,,
Till Tantau,University of Lübeck,http://www.tcs.uni-luebeck.de/de/mitarbeiter/tantau,,,,
Maciej Liskiewicz,University of Lübeck,http://www.tcs.uni-luebeck.de/de/mitarbeiter/liskiewi/index.html,jsxwOYcAAAAJ,1583.0,17.0,1987.0
Jan Lellmann,University of Lübeck,https://www.mic.uni-luebeck.de/people/jan-lellmann.html,AyjlTxMAAAAJ,1535.0,17.0,2006.0
Jan Modersitzki,University of Lübeck,https://www.mic.uni-luebeck.de/people/jan-modersitzki.html,kjJlVk8AAAAJ,6658.0,31.0,1993.0
