name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Gunter Saake,University of Magdeburg,http://www.dbse.ovgu.de,Tggnh5oAAAAJ,14331.0,56.0,1985.0
Mesut Günes,University of Magdeburg,http://comsys.ovgu.de,N09CwMcAAAAJ,3636.0,22.0,1997.0
Jana Dittmann,University of Magdeburg,https://omen.cs.uni-magdeburg.de/itiamsl/deutsch/home/index.html,,,,
Klaus Turowski,University of Magdeburg,http://www.mrcc.ovgu.de/agwi/home,,,,
Graham Horton,University of Magdeburg,http://www.sim.ovgu.de,m_vBaEkAAAAJ,2162.0,21.0,1989.0
Andreas Nürnberger,University of Magdeburg,http://www.findke.ovgu.de,LuMoBX0AAAAJ,6034.0,33.0,1996.0
Myra Spiliopoulou,University of Magdeburg,http://www.kmd.ovgu.de,3r6LmdAAAAAJ,9450.0,43.0,1990.0
Sebastian Stober,University of Magdeburg,http://ai.ovgu.de,OPyztE0AAAAJ,1369.0,19.0,2005.0
Chris Hansen,University of Magdeburg,http://isgwww.cs.uni-magdeburg.de/cas,qV62eOQAAAAJ,1787.0,22.0,2003.0
Holger Theisel,University of Magdeburg,http://vc.cs.ovgu.de,oREmACAAAAAJ,5577.0,43.0,1994.0
Klaus D. Tönnies,University of Magdeburg,http://isgwww.cs.uni-magdeburg.de/bv,cXR4lJkAAAAJ,3015.0,24.0,1983.0
Stefan Schirra,University of Magdeburg,http://wwwisg.cs.uni-magdeburg.de/~stschirr/index.html,dZBLyUQAAAAJ,2709.0,27.0,1990.0
Ernesto William De Luca,University of Magdeburg,http://dtdh.ovgu.de,,,,
Christian Lessig,University of Magdeburg,http://graphics.cs.uni-magdeburg.de,7PJiN-gAAAAJ,690.0,11.0,2004.0
Sanaz Mostaghim,University of Magdeburg,http://ci.ovgu.de,bvgkhBAAAAAJ,4591.0,30.0,2002.0
Hans-Knud Arndt,University of Magdeburg,http://bauhaus.cs.uni-magdeburg.de/cms/index,,,,
David Hausheer,University of Magdeburg,http://www.netsys.ovgu.de,MiUDaFEAAAAJ,2476.0,25.0,2000.0
Frank Ortmeier,University of Magdeburg,https://cse.cs.ovgu.de/cse,ef7RYPwAAAAJ,1800.0,25.0,2002.0
Fabian Neuhaus,University of Magdeburg,http://theo.cs.ovgu.de/Staff/Fabian+Neuhaus.html,7AcIA78AAAAJ,2251.0,17.0,2001.0
Till Mossakowski,University of Magdeburg,http://theo.cs.ovgu.de,0dpSgpQAAAAJ,4635.0,36.0,1991.0
Bernhard Preim,University of Magdeburg,http://isgwww.cs.uni-magdeburg.de/visualisierung/wiki,iz7UUN4AAAAJ,9551.0,48.0,1992.0
