name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Erma Rahayu Mohd Faizal Abdullah,University of Malaya,https://umexpert.um.edu.my/erma,SzdAufgAAAAJ,22.0,3.0,2009.0
Ram Gopal Raj,University of Malaya,https://umexpert.um.edu.my/ramdr,,,,
Rosli Bin Salleh,University of Malaya,https://umexpert.um.edu.my/rosli_salleh,6SFSABkAAAAJ,2924.0,27.0,1978.0
Sameem Abdul Kareem,University of Malaya,https://umexpert.um.edu.my/sameem,Rl2ebS4AAAAJ,1702.0,20.0,1998.0
Chaw-Seng Woo,University of Malaya,https://umexpert.um.edu.my/cswoo,R8Poty8AAAAJ,291.0,9.0,2005.0
Vimala Balakrishnan,University of Malaya,https://umexpert.um.edu.my/vimala-balakrishnan,L7rg5ooAAAAJ,2943.0,26.0,1976.0
Sim Ying Ong,University of Malaya,https://umexpert.um.edu.my/simying-ong.html,CG_Hb_wAAAAJ,220.0,8.0,2011.0
Teh Ying Wah,University of Malaya,https://umexpert.um.edu.my/tehyw,2igo-mwAAAAJ,6179.0,30.0,2000.0
Unaizah Hanum Binti Obaidellah,University of Malaya,https://umexpert.um.edu.my/unaizah,jImp1_kAAAAJ,268.0,8.0,2006.0
Nor Badrul Anuar,University of Malaya,https://umexpert.um.edu.my/badrul,GLlE4Y8AAAAJ,9896.0,42.0,2003.0
Sri Devi Ravana,University of Malaya,https://umexpert.um.edu.my/sdevi,mZVfEWgAAAAJ,1009.0,14.0,2006.0
Norisma Binti Idris,University of Malaya,https://umexpert.um.edu.my/norisma,IgUMlGcAAAAJ,1736.0,21.0,2001.0
Kok Soon Tey,University of Malaya,https://umexpert.um.edu.my/koksoon,Icwg0B8AAAAJ,3243.0,21.0,2013.0
Mohd Yamani Idna Idris,University of Malaya,https://umexpert.um.edu.my/yamani,JzyjGGUAAAAJ,3491.0,33.0,1986.0
Miss Laiha Mat Kiah,University of Malaya,https://umexpert.um.edu.my/misslaiha,6dQhTn4AAAAJ,5826.0,43.0,2004.0
Wai Lam Hoo,University of Malaya,https://umexpert.um.edu.my/wlhoo.html,hlPC_FgAAAAJ,119.0,6.0,2013.0
Liyana Shuib,University of Malaya,https://umexpert.um.edu.my/liyanashuib,-qXTI0QAAAAJ,3245.0,33.0,2007.0
Aznul Qalid Md Sabri,University of Malaya,https://umexpert.um.edu.my/aznulqalid,oX5-84kAAAAJ,290.0,9.0,2009.0
Chee Seng Chan,University of Malaya,http://web.fsktm.um.edu.my/~cschan,hKfga9oAAAAJ,4486.0,31.0,2006.0
Chu Kiong Loo,University of Malaya,https://umexpert.um.edu.my/ckloo-um,_nIBJ2kAAAAJ,3312.0,26.0,1995.0
Nor Aniza Abdullah,University of Malaya,https://umexpert.um.edu.my/noraniza,zWZTnBwAAAAJ,1833.0,20.0,1992.0
