name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Christian Colombo,University of Malta,http://staff.um.edu.mt/christian.colombo,eFR8lkgAAAAJ,1056.0,16.0,2007.0
Keith Bugeja,University of Malta,https://www.um.edu.mt/profile/keithbugeja,zr5TEAYAAAAJ,71.0,5.0,2008.0
Kevin Vella,University of Malta,https://www.um.edu.mt/profile/kevinvella,MUYHQY4AAAAJ,183.0,8.0,1992.0
Joshua Ellul,University of Malta,http://staff.um.edu.mt/joshua.ellul,U757tgQAAAAJ,517.0,14.0,2005.0
Mark Micallef,University of Malta,https://www.um.edu.mt/profile/markmicallef,NvaH6uYAAAAJ,134.0,5.0,1996.0
Adrian Francalanza,University of Malta,http://staff.um.edu.mt/afra1,2KyiwjEAAAAJ,1708.0,26.0,1999.0
Gordon J. Pace,University of Malta,http://www.cs.um.edu.mt/gordon.pace,XtYG-jsAAAAJ,2001.0,26.0,1994.0
Albert Gatt,University of Malta,http://staff.um.edu.mt/albert.gatt,uF5HKZQAAAAJ,4315.0,31.0,1992.0
Mark Vella,University of Malta,http://staff.um.edu.mt/mvel3,KjZUnkMAAAAJ,66.0,5.0,2001.0
Sandro Spina,University of Malta,https://www.um.edu.mt/profile/sandrospina,xZnYeM8AAAAJ,81.0,4.0,1999.0
Neville Grech,University of Malta,https://www.nevillegrech.com,QP3gdYAAAAAJ,697.0,11.0,2007.0
