name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Mike Domaratzki,University of Manitoba,http://www.cs.umanitoba.ca/~mdomarat,W5GcMzEAAAAJ,909.0,17.0,2001.0
Pourang Irani,University of Manitoba,http://www.cs.umanitoba.ca/~irani,lPYUHkIAAAAJ,6398.0,48.0,2000.0
Helen Cameron,University of Manitoba,http://www.cs.umanitoba.ca/~hacamero,,,,
Cuneyt Gurcan Akcora,University of Manitoba,https://cakcora.github.io,QZLZSb8AAAAJ,1144.0,15.0,2010.0
Carson K. Leung,University of Manitoba,http://www.cs.umanitoba.ca/~kleung,,,,
Franklin Bristow,University of Manitoba,http://www.cs.umanitoba.ca/~fbristow,,,,
Stephane Durocher,University of Manitoba,http://www.cs.umanitoba.ca/~durocher,rixCVNoAAAAJ,1357.0,20.0,1999.0
William Kocay,University of Manitoba,http://www.combinatorialmath.ca/billkocay.html,,,,
Shahin Kamali,University of Manitoba,http://www.cs.umanitoba.ca/~kamalis,hQXlVLsAAAAJ,801.0,15.0,2005.0
Avery Miller,University of Manitoba,http://www.cs.umanitoba.ca/~amiller,BvvdwvIAAAAJ,208.0,9.0,2004.0
A. Neil Arnason,University of Manitoba,http://www.cs.umanitoba.ca/~arnason,,,,
Yiming Qian,University of Manitoba,https://yi-ming-qian.github.io,2xMfNpMAAAAJ&hl,371.0,11.0,2014.0
Ben Li,University of Manitoba,http://www.cs.umanitoba.ca/~lipakc,BW8YKc0AAAAJ,1358.0,13.0,1998.0
Shaowei Wang,University of Manitoba,https://sites.google.com/view/mambalab,PIBtljkAAAAJ&hl,2215.0,24.0,2011.0
John Van Rees,University of Manitoba,http://www.cs.umanitoba.ca/~vanrees,,,,
John Anderson,University of Manitoba,http://www.cs.umanitoba.ca/~andersj,PGcc-RIAAAAJ,144277.0,140.0,
Andrea Bunt,University of Manitoba,https://www.cs.umanitoba.ca/~bunt,NoBlw7EAAAAJ,1704.0,23.0,1999.0
Peter C. J. Graham,University of Manitoba,http://www.cs.umanitoba.ca/~pgraham,,,,
Yang Wang,University of Manitoba,http://www.cs.umanitoba.ca/~ywang,,,,
Hadi Hemmati,University of Manitoba,http://sealab.cs.umanitoba.ca/?page_id=149,TznXpSIAAAAJ,2387.0,21.0,2005.0
Rasit Eskicioglu,University of Manitoba,http://www.cs.umanitoba.ca/~rasit,,,,
Parimala Thulasiraman,University of Manitoba,http://www.cs.umanitoba.ca/~thulasir,h7as9D4AAAAJ,2015.0,22.0,1991.0
Peter King,University of Manitoba,http://www.cs.umanitoba.ca/~prking,jENQurUAAAAJ,80349.0,138.0,1978.0
Michael Zapp,University of Manitoba,http://cs.umanitoba.ca/people,pN2BYuIAAAAJ,469.0,12.0,2010.0
Jacky Baltes,University of Manitoba,http://www.cs.umanitoba.ca/~jacky,557QR3kAAAAJ,1549.0,21.0,1992.0
Ruppa (Tulsi) Thulasiram,University of Manitoba,http://www.cs.umanitoba.ca/~tulsi,TGbbksEAAAAJ,2667.0,25.0,1998.0
Christina Penner,University of Manitoba,http://umanitoba.ca/faculties/science/people/755.html,,,,
Noman Mohammed,University of Manitoba,http://www.cs.umanitoba.ca/~noman,,,,
James E. Young,University of Manitoba,http://home.cs.umanitoba.ca/~young,fTpGmI8AAAAJ,1851.0,22.0,2006.0
Olivier Tremblay-Savard,University of Manitoba,http://www.cs.umanitoba.ca/~tremblao,UAzcju4AAAAJ,100.0,6.0,2010.0
David Scuse,University of Manitoba,http://www.cs.umanitoba.ca/~scuse,jeiSmwYAAAAJ,26550.0,82.0,1975.0
