name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Byung-Guk Kim,University of Massachusetts Lowell,https://www.uml.edu/Sciences/computer-science/faculty/kim-byung-guk.aspx,,,,
Sashank Narain,University of Massachusetts Lowell,https://www.linkedin.com/in/sashanknarain,Wq9DQuoAAAAJ,351.0,7.0,2013.0
Fred G. Martin,University of Massachusetts Lowell,http://www.cs.uml.edu/~fredm,rqpdaP0AAAAJ,5861.0,33.0,1958.0
Cindy X. Chen,University of Massachusetts Lowell,http://www.cs.uml.edu/~cchen,,,,
Benyuan Liu,University of Massachusetts Lowell,http://www.cs.uml.edu/~bliu,s2n1-HMAAAAJ,8188.0,39.0,1996.0
Anna Rumshisky,University of Massachusetts Lowell,http://www.cs.uml.edu/~arum,_Q1uzVYAAAAJ,3932.0,29.0,2001.0
Matteo Cimini,University of Massachusetts Lowell,http://cimini.info,nq6IfV4AAAAJ,630.0,11.0,2010.0
Anitha Gollamudi,University of Massachusetts Lowell,https://scholar.harvard.edu/anithag,6cLC6vYAAAAJ,635.0,4.0,2012.0
Maria Eugenia Cabrera,University of Massachusetts Lowell,https://marucabrera.wixsite.com/homepage,uVgMw8YAAAAJ,479.0,12.0,2010.0
Arif Alam,University of Massachusetts Lowell,http://faculty.uml.edu/~alam,vsnEGjIAAAAJ,429.0,11.0,2010.0
Hadi Amiri,University of Massachusetts Lowell,https://scholar.harvard.edu/hadi,fyUpZ5EAAAAJ,808.0,14.0,2006.0
Seyed Reza Ahmadzadeh,University of Massachusetts Lowell,http://www.ahmadzadeh.info,8sqAOOoAAAAJ,433.0,12.0,2003.0
Wenjin Zhou,University of Massachusetts Lowell,https://www.uml.edu/FAHSS/Philosophy/faculty/default.aspx,M09EoNMAAAAJ,417.0,9.0,1992.0
Sirong Lin,University of Massachusetts Lowell,https://www.uml.edu/Sciences/computer-science/faculty/Lin-Sirong.aspx,,,,
Ruizhe Ma,University of Massachusetts Lowell,https://www.uml.edu/Sciences/computer-science/faculty/Ma-Ruizhe.aspx,LOsL_7gAAAAJ,201.0,9.0,2013.0
Stuart Smith,University of Massachusetts Lowell,https://www.uml.edu/Sciences/computer-science/faculty/emeritus-faculty/smith-stuart.aspx,PLH8f6MAAAAJ,4018.0,32.0,1994.0
Byung Guk Kim,University of Massachusetts Lowell,https://www.uml.edu/Sciences/computer-science/faculty/kim-byung-guk.aspx,FkDwvF0AAAAJ,21479.0,71.0,1979.0
Farhad Pourkamali-Anaraki,University of Massachusetts Lowell,http://www.cs.uml.edu/~farhad,NB2B59cAAAAJ,511.0,13.0,2013.0
Haim Levkowitz,University of Massachusetts Lowell,http://www.cs.uml.edu/~haim,FY4afxkAAAAJ,2983.0,19.0,1984.0
Yu Cao,University of Massachusetts Lowell,https://www.uml.edu/Sciences/computer-science/faculty/Cao-Yu.aspx,mbnBXEwAAAAJ,15171.0,58.0,2000.0
James Canning,University of Massachusetts Lowell,https://www.uml.edu/Honors/People/canning-james.aspx,1V__UcAAAAAJ,106.0,3.0,2017.0
James T. Canning,University of Massachusetts Lowell,https://www.uml.edu/About/leadership/Deans/Canning-James.aspx,1V__UcAAAAAJ,106.0,3.0,2017.0
Jesse M. Heines,University of Massachusetts Lowell,https://www.uml.edu/Research/IVPR/faculty/Heines_Jesse%20M.aspx,K9wOrRIAAAAJ,1127.0,15.0,1973.0
Yimin Chen,University of Massachusetts Lowell,https://ianchen88.github.io,T6qIjCYAAAAJ,603.0,13.0,2011.0
Tingjian Ge,University of Massachusetts Lowell,http://www.cs.uml.edu/~ge,,,,
Raymond D. Gumb,University of Massachusetts Lowell,http://www.cs.uml.edu/~gumb,,,,
David B. Adams,University of Massachusetts Lowell,https://www.uml.edu/Sciences/computer-science/faculty/Adams-David.aspx,tiGxY4sAAAAJ,34166.0,105.0,
Holly A. Yanco,University of Massachusetts Lowell,http://www.cs.uml.edu/~holly,3WEijrIAAAAJ,7272.0,44.0,1992.0
Jay A. McCarthy,University of Massachusetts Lowell,https://jeapostrophe.github.io/home,imyMtsYAAAAJ,602.0,11.0,1997.0
Giampiero Pecelli,University of Massachusetts Lowell,https://www.uml.edu/Sciences/computer-science/faculty/pecelli-giampiero.aspx,,,,
Patrick D. Krolak,University of Massachusetts Lowell,http://www.alumni.uml.edu/s/1355/lowell/nophoto.aspx?sid=1355&gid=4&pgid=1157,,,,
Xinwen Fu,University of Massachusetts Lowell,http://www.cs.uml.edu/~xinwenfu,0KYdpIQAAAAJ,5526.0,42.0,2000.0
Jie Wang,University of Massachusetts Lowell,http://www.cs.uml.edu/~wang,5tvHmuMAAAAJ,20246.0,29.0,2006.0
B. G. Kim,University of Massachusetts Lowell,http://www.cs.uml.edu/~kim,ujXxdMIAAAAJ,2581.0,16.0,2012.0
Karen Daniels,University of Massachusetts Lowell,http://www.cs.uml.edu/~kdaniels,,,,
Hong Yu,University of Massachusetts Lowell,http://bio-nlp.org,TyXe64wAAAAJ,9320.0,43.0,1983.0
William Moloney,University of Massachusetts Lowell,https://www.uml.edu/Sciences/computer-science/faculty/moloney-william.aspx,gHYMJZ0AAAAJ,17442.0,54.0,1958.0
Paul Downen,University of Massachusetts Lowell,http://ix.cs.uoregon.edu/~pdownen,mJ_eET8AAAAJ,237.0,9.0,2012.0
