name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Jennifer Waycott,University of Melbourne,http://findanexpert.unimelb.edu.au/display/person52243,kc5Fr-0AAAAJ,6828.0,36.0,1997.0
Kathleen Gray,University of Melbourne,http://www.msi.unimelb.edu.au/people/kathleen-gray,HicyoB0AAAAJ,7295.0,32.0,1979.0
Rachelle Bosua,University of Melbourne,http://www.msi.unimelb.edu.au/people/rachelle-bosua,4RZU_pIAAAAJ,3986.0,16.0,1994.0
Graeme G. Shanks,University of Melbourne,http://people.eng.unimelb.edu.au/gshanks,,,,
Egemen Tanin,University of Melbourne,http://www.msi.unimelb.edu.au/people/egemen-tanin,LVKaMIgAAAAJ,2531.0,29.0,1995.0
Wally Smith,University of Melbourne,http://www.msi.unimelb.edu.au/people/wally-smith,,,,
Peter J. Stuckey,University of Melbourne,http://people.eng.unimelb.edu.au/pstuckey,tvFekxwAAAAJ,17430.0,62.0,1985.0
Tim Miller,University of Melbourne,http://people.eng.unimelb.edu.au/tmiller,D3m499MAAAAJ,3721.0,28.0,1990.0
Nir Lipovetzky,University of Melbourne,http://people.eng.unimelb.edu.au/nlipovetzky,us3IGxsAAAAJ,1103.0,20.0,2008.0
Michael Kirley,University of Melbourne,http://people.eng.unimelb.edu.au/mkirley,te9wVHwAAAAJ,3112.0,28.0,1998.0
Richard O. Sinnott,University of Melbourne,http://www.findanexpert.unimelb.edu.au/display/person342078,irye6KMAAAAJ,4695.0,34.0,1994.0
Alex Lopez-Lorca,University of Melbourne,http://people.eng.unimelb.edu.au/tmiller,H89SXqUAAAAJ,415.0,11.0,2009.0
Alistair Moffat,University of Melbourne,http://people.eng.unimelb.edu.au/ammoffat,r3xSME0AAAAJ,20243.0,59.0,1980.0
Atif Ahmad,University of Melbourne,http://people.eng.unimelb.edu.au/atif/home.html,PZsKvFUAAAAJ,2903.0,28.0,1996.0
Frank Vetere,University of Melbourne,http://people.eng.unimelb.edu.au/fv,_30-AxUAAAAJ,7590.0,48.0,1997.0
Chris Leckie,University of Melbourne,http://findanexpert.unimelb.edu.au/display/person6335,wUsI0cAAAAAJ,13233.0,53.0,1988.0
Jan Schröder,University of Melbourne,https://www.findanexpert.unimelb.edu.au/display/person304961,EoQ2NZsAAAAJ,1844.0,17.0,2006.0
Shanton Chang,University of Melbourne,http://people.eng.unimelb.edu.au/slwc,saxbu9cAAAAJ,4294.0,33.0,2002.0
Antonette Mendoza,University of Melbourne,https://www.findanexpert.unimelb.edu.au/display/person6868,Mi79FfQAAAAJ,683.0,13.0,2005.0
Sean B. Maynard,University of Melbourne,http://people.eng.unimelb.edu.au/seanbm/home.html,OkNuF20AAAAJ,2433.0,24.0,1991.0
Eduardo Velloso,University of Melbourne,http://www.eduardovelloso.com,yHHlOiQAAAAJ,2355.0,24.0,2010.0
Trevor Anthony Cohn,University of Melbourne,http://people.eng.unimelb.edu.au/tcohn,FCom398AAAAJ,8507.0,51.0,2003.0
Cornelia Maria Verspoor,University of Melbourne,http://findanexpert.unimelb.edu.au/display/person458973,dUxHnbcAAAAJ,8571.0,41.0,1971.0
Parampalli Udaya,University of Melbourne,http://people.eng.unimelb.edu.au/udaya,dT9UeiAAAAAJ,2384.0,24.0,1991.0
Gil A. Tidhar,University of Melbourne,http://findanexpert.unimelb.edu.au/display/person62807,,,,
Shanika A. Karunasekera,University of Melbourne,http://findanexpert.unimelb.edu.au/display/person18115,_1C8OeUAAAAJ,4638.0,32.0,1993.0
Martin R. Gibbs,University of Melbourne,http://people.eng.unimelb.edu.au/martinrg/recent_pubs.html,3ouO-WsAAAAJ,6352.0,44.0,1992.0
Jianzhong Qi,University of Melbourne,http://people.eng.unimelb.edu.au/jianzhongq,mxS6eHYAAAAJ,1966.0,22.0,2008.0
Adrian R. Pearce,University of Melbourne,http://people.eng.unimelb.edu.au/adrianrp,GIBSIRAAAAAJ,1541.0,19.0,1993.0
Aaron Harwood,University of Melbourne,http://people.eng.unimelb.edu.au/aharwood,3jf-G0YAAAAJ,1949.0,23.0,1997.0
Olga Ohrimenko,University of Melbourne,https://people.eng.unimelb.edu.au/oohrimenko,lzfVm_8AAAAJ,2674.0,19.0,2007.0
Kotagiri Ramamohanarao,University of Melbourne,http://findanexpert.unimelb.edu.au/display/person16028,UrYhkwQAAAAJ,18753.0,65.0,1982.0
Vanessa J. Teague,University of Melbourne,https://people.eng.unimelb.edu.au/vjteague,3CVS_xYAAAAJ,2359.0,25.0,2001.0
Liz Sonenberg,University of Melbourne,http://people.eng.unimelb.edu.au/lizs,w8EFH0IAAAAJ,5067.0,35.0,1982.0
Uwe Aickelin,University of Melbourne,https://www.findanexpert.unimelb.edu.au/display/person815636,aQTBV2wAAAAJ,12691.0,58.0,1996.0
James C. Bezdek,University of Melbourne,https://findanexpert.unimelb.edu.au/profile/22301-jim-bezdek,kXy4LAMAAAAJ,74305.0,94.0,1973.0
Rajkumar Buyya,University of Melbourne,http://www.buyya.com,7xN6JqYAAAAJ,125876.0,155.0,1995.0
Philip W. Dart,University of Melbourne,https://findanexpert.unimelb.edu.au/display/person56684,6DTOhAEAAAAJ,1162.0,16.0,1988.0
Simon D'Alfonso,University of Melbourne,https://findanexpert.unimelb.edu.au/profile/180658-simon-d%27alfonso,hXEZnsUAAAAJ,712.0,14.0,2008.0
