name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Volkan Isler,University of Minnesota,http://www-users.cs.umn.edu/~isler,Q5KT-hEAAAAJ,5825.0,36.0,2001.0
Paul R. Schrater,University of Minnesota,http://gandalf.psych.umn.edu/users/schrater/PaulSchrater.htm,_IIpR0EAAAAJ,5257.0,37.0,1993.0
Abhishek Chandra,University of Minnesota,http://www-users.cs.umn.edu/~chandra,hSklLfsAAAAJ,4550.0,34.0,2000.0
Jaideep Srivastava,University of Minnesota,https://www.cs.umn.edu/people/faculty,Y4J5SOwAAAAJ,28938.0,61.0,1945.0
Feng Qian,University of Minnesota,https://www-users.cs.umn.edu/~fengqian,,,,
Nicholas Hopper,University of Minnesota,https://www-users.cs.umn.edu/~hopper,4e2pnKYAAAAJ,7588.0,41.0,1998.0
Hyun Soo Park,University of Minnesota,https://www-users.cs.umn.edu/~hspark,xiSdzEkAAAAJ,1998.0,25.0,2008.0
George Karypis,University of Minnesota,http://glaros.dtc.umn.edu,ElqwScwAAAAJ,90640.0,104.0,
Victoria Interrante,University of Minnesota,http://www-users.cs.umn.edu/~interran,vQQOZVgAAAAJ,5376.0,37.0,1986.0
Daniel Boley,University of Minnesota,http://www-users.cs.umn.edu/~boley,QeRUVr0AAAAJ,5993.0,35.0,1978.0
Maria L. Gini,University of Minnesota,http://umn.edu/home/gini,2ewb-10AAAAJ,7498.0,45.0,1973.0
Arindam Banerjee,University of Minnesota,http://umn.edu/home/baner029,RY7cuPAAAAAJ,27485.0,54.0,1947.0
Ravi Janardan,University of Minnesota,http://umn.edu/home/janardan,,,,
Gary W. Meyer,University of Minnesota,http://umn.edu/home/meyer172,7P_WgjYAAAAJ,11289.0,53.0,1974.0
Shashi Shekhar,University of Minnesota,http://umn.edu/home/shekhar,p26NfLgAAAAJ,21467.0,68.0,1987.0
Eric Van Wyk,University of Minnesota,http://www-users.cs.umn.edu/~evw,fMI1OlIAAAAJ,16038.0,55.0,1981.0
Evan A. Suma,University of Minnesota,https://illusioneering.cs.umn.edu,yK8fnhkAAAAJ,4125.0,34.0,2005.0
John V. Carlis,University of Minnesota,http://www-users.cs.umn.edu/~carlis,AcTDG6IAAAAJ,18445.0,52.0,1984.0
Gopalan Nadathur,University of Minnesota,http://www-users.cs.umn.edu/~gopalan,jpXyNF8AAAAJ,4236.0,28.0,1983.0
Junaed Sattar,University of Minnesota,http://www-users.cs.umn.edu/~junaed,cgaU4UkAAAAJ,1939.0,23.0,2005.0
Mattia Fazzini,University of Minnesota,https://www-users.cs.umn.edu/~mfazzini,AgbgDvQAAAAJ,408.0,8.0,2012.0
Jon B. Weissman,University of Minnesota,http://www-users.cs.umn.edu/~jon,ouY9ypcAAAAJ,3351.0,35.0,1989.0
Stephen McCamant,University of Minnesota,http://www-users.cs.umn.edu/~mccamant,,,,
Dan Knights,University of Minnesota,http://www.knightslab.org,zTkLS_gAAAAJ,87446.0,61.0,1995.0
Pen-Chung Yew,University of Minnesota,http://www-users.cs.umn.edu/~yew,,,,
Joe Konstan,University of Minnesota,http://konstan.umn.edu,PH4mytYAAAAJ,69872.0,79.0,1990.0
Haiyi Zhu,University of Minnesota,http://haiyizhu.com,9NkngDMAAAAJ,1722.0,21.0,2011.0
Dongyeop Kang,University of Minnesota,https://dykang.github.io,fMKZOjwAAAAJ,508.0,12.0,2008.0
Claudia Neuhauser,University of Minnesota,http://cbs.umn.edu/contacts/claudia-neuhauser,_3qZty0AAAAJ,4156.0,29.0,1990.0
Kangjie Lu,University of Minnesota,https://www.cs.umn.edu/people/kangjie-lu,1F9N6icAAAAJ,1448.0,19.0,2011.0
Zhi-Li Zhang,University of Minnesota,http://www-users.cs.umn.edu/~zhzhang,2X6fAZgAAAAJ,17513.0,73.0,1990.0
Antonia Zhai,University of Minnesota,http://www-users.cs.umn.edu/~zhai,,,,
Steven Wu,University of Minnesota,https://www-users.cs.umn.edu/~zsw,MbF6rTEAAAAJ,2754.0,30.0,2014.0
Anand R. Tripathi,University of Minnesota,http://www-users.cs.umn.edu/~tripathi,vnR_Q4IAAAAJ,692.0,11.0,1977.0
Tian He,University of Minnesota,http://www-users.cs.umn.edu/~tianhe,hc1m_BQAAAAJ,29715.0,77.0,2001.0
Loren G. Terveen,University of Minnesota,http://www-users.cs.umn.edu/~terveen,r6cAovIAAAAJ,22559.0,65.0,1987.0
Mohamed F. Mokbel,University of Minnesota,http://www-users.cs.umn.edu/~mokbel,GHz1ZVIAAAAJ,15004.0,56.0,1998.0
Rui Kuang,University of Minnesota,http://www-users.cs.umn.edu/~kuang,,,,
Vipin Kumar,University of Minnesota,http://www-users.cs.umn.edu/~kumar,BnxU9TEAAAAJ,115964.0,125.0,
Youcef Saad,University of Minnesota,http://www-users.cs.umn.edu/~saad,,,,
Nikolaos P. Papanikolopoulos,University of Minnesota,http://www-users.cs.umn.edu/~npapas,wQdo-bMAAAAJ,16401.0,62.0,1988.0
Mats Per Erik Heimdahl,University of Minnesota,http://www.umsec.umn.edu/directory/mats-heimdahl,a1VRT-wAAAAJ,6020.0,37.0,1990.0
David H. C. Du,University of Minnesota,http://www-users.cs.umn.edu/~du,WLj7-YcAAAAJ,11249.0,55.0,1979.0
Stephen J. Guy,University of Minnesota,http://www-users.cs.umn.edu/~sjguy,aVg7BRwAAAAJ,5696.0,31.0,2007.0
Stergios I. Roumeliotis,University of Minnesota,http://www-users.cs.umn.edu/~stergios,c5HeXxsAAAAJ,16633.0,67.0,1997.0
Lana Yarosh,University of Minnesota,http://lanayarosh.com,n6bjh24AAAAJ,2194.0,26.0,2008.0
Daniel F. Keefe,University of Minnesota,http://www-users.cs.umn.edu/~keefe,lGsfTIsAAAAJ,2952.0,28.0,2000.0
