name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Deendayal Dinakarpandian,University of Missouri - Kansas City,https://info.umkc.edu/scenews/tag/deendayal-dinakarpandian,1UpkUvQAAAAJ,3917.0,14.0,1996.0
D. Medhi,University of Missouri - Kansas City,http://sce2.umkc.edu/csee/dmedhi,17e2M2AAAAAJ,6990.0,36.0,1987.0
Lein Harn,University of Missouri - Kansas City,https://sce.umkc.edu/about/directory/name/lein-harn-ph-d,2kNUXJcAAAAJ,6760.0,43.0,1987.0
Xiaojun Shen,University of Missouri - Kansas City,http://sce2.umkc.edu/csee/shenx,,,,
Ken Mitchell,University of Missouri - Kansas City,https://sce.umkc.edu/about/directory/name/ken-mitchell-ph-d,Lv9FEdUAAAAJ,760.0,15.0,1994.0
Yijie Han,University of Missouri - Kansas City,http://h.web.umkc.edu/hanyij/html/index.htm,,,,
Yugyung Lee,University of Missouri - Kansas City,http://sce2.umkc.edu/csee/leeyu,BwE_CWcAAAAJ,4979.0,25.0,1993.0
Jerome Knopp,University of Missouri - Kansas City,https://sce.umkc.edu/about/directory/name/jerome-knopp-ph-d,,,,
Yongjie Zheng,University of Missouri - Kansas City,https://sce.umkc.edu/about/directory/name/yongjie-zheng-ph-d,ckWCzGQAAAAJ,145.0,6.0,2004.0
Baek-Young Choi,University of Missouri - Kansas City,http://umkc.academia.edu/baekyoungchoi,Ce0nO6wAAAAJ,1919.0,23.0,1997.0
Reza Derakhshani,University of Missouri - Kansas City,https://info.umkc.edu/scenews/tag/reza-derakhshani,3F4J3X0AAAAJ,2762.0,28.0,1999.0
Vijay Kumar,University of Missouri - Kansas City,http://k.web.umkc.edu/kumarv/index.html,7GYT1LMAAAAJ,7959.0,36.0,1962.0
Sejun Song,University of Missouri - Kansas City,https://info.umkc.edu/scenews/tag/sejun-song,kHE12KEAAAAJ,2111.0,24.0,1987.0
Zhu Li,University of Missouri - Kansas City,http://l.web.umkc.edu/lizhu,OMxvD0wAAAAJ,4098.0,29.0,1992.0
Jerry Place,University of Missouri - Kansas City,http://medicine.kumc.edu,,,,
Cory Beard,University of Missouri - Kansas City,http://sce2.umkc.edu/csee/beardc/Beard_CV.pdf,-0KiLnsAAAAJ,1042.0,19.0,1999.0
Appie van de Liefvoort,University of Missouri - Kansas City,http://umkc.academia.edu/appieLiefvoort,d7EAYGgAAAAJ,760.0,16.0,1982.0
