name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Prasad Calyam,University of Missouri,https://engineering.missouri.edu/faculty/prasad-calyam,Plnnv18AAAAJ,2446.0,29.0,2003.0
Yunxin Zhao,University of Missouri,https://engineering.missouri.edu/faculty/yunxin-zhao,,,,
Chi-Ren Shyu,University of Missouri,https://engineering.missouri.edu/faculty/chi-ren-shyu,SVfTWwMAAAAJ,4386.0,32.0,1998.0
Dong Xu,University of Missouri,https://engineering.missouri.edu/faculty/dong-xu,xJeTtCoAAAAJ,21274.0,74.0,1992.0
Jeffrey K. Uhlmann,University of Missouri,https://engineering.missouri.edu/faculty/jeffrey-uhlmann,,,,
Michael Jurczyk,University of Missouri,https://engineering.missouri.edu/faculty/michael-jurczyk,,,,
Youssef Saab,University of Missouri,https://engineering.missouri.edu/faculty/youssef-saab,,,,
Rohit Chadha,University of Missouri,https://engineering.missouri.edu/faculty/rohit-chadha,NC5SnUcAAAAJ,1173.0,17.0,2001.0
Jianlin Cheng,University of Missouri,https://engineering.missouri.edu/faculty/jianlin-cheng,t9MY6lwAAAAJ,15997.0,56.0,2005.0
Yi Shang,University of Missouri,https://engineering.missouri.edu/faculty/yi-shang,o-xM3oMAAAAJ,9278.0,40.0,1982.0
Kannappan Palaniappan,University of Missouri,https://engineering.missouri.edu/faculty/kannappan-palaniappan,k9IKW4UAAAAJ,14316.0,49.0,1984.0
Zhihai He,University of Missouri,https://engineering.missouri.edu/faculty/zhihai-henry-he,wtr6OgkAAAAJ,7169.0,40.0,2000.0
Toni Kazic,University of Missouri,https://engineering.missouri.edu/faculty/toni-kazic,cGB4-3QAAAAJ,487.0,12.0,1984.0
Ye Duan,University of Missouri,http://engineers.missouri.edu/duanye,lJvwEx8AAAAJ,3445.0,24.0,1997.0
William Harrison,University of Missouri,https://engineering.missouri.edu/faculty/william-harrison,5WGzcwMAAAAJ,2945.0,21.0,1972.0
Xinhua Zhuang,University of Missouri,https://engineering.missouri.edu/tag/xinhua-zhuang,,,,
