name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Evangelos A. Yfantis,University of Nevada Las Vegas,https://www.unlv.edu/people/dr-evangelos-yfantis,,,,
Laxmi P. Gewali,University of Nevada Las Vegas,http://www.egr.unlv.edu/~laxmi,rD5CNzoAAAAJ,863.0,14.0,1970.0
Yoohwan Kim,University of Nevada Las Vegas,http://www.egr.unlv.edu/~yoohwan,AnCg3JwAAAAJ,2630.0,25.0,1996.0
Ajoy K. Datta,University of Nevada Las Vegas,http://www.egr.unlv.edu/~datta,hmPxInwAAAAJ,2918.0,32.0,1966.0
John T. Minor,University of Nevada Las Vegas,https://www.unlv.edu/people/dr-john-minor,cR_wyHkAAAAJ,18.0,2.0,2004.0
Kazem Taghva,University of Nevada Las Vegas,https://www.unlv.edu/people/kazem-taghva,HyKT_cgAAAAJ,2214.0,22.0,1986.0
"Jan ""Matt"" Pedersen",University of Nevada Las Vegas,http://www.egr.unlv.edu/~matt,Oh3z3nEAAAAJ,2037.0,17.0,1990.0
Zuopeng (Justin) Zhang,University of Nevada Las Vegas,http://www.ilabsite.org,,,,
Andreas Stefik,University of Nevada Las Vegas,http://web.cs.unlv.edu/stefika,o_SzoF0AAAAJ,1315.0,18.0,2005.0
Jisoo Yang,University of Nevada Las Vegas,http://web.cs.unlv.edu/jisooy,PdBc3aEAAAAJ,555.0,5.0,2008.0
Hal Berghel,University of Nevada Las Vegas,http://www.berghel.net/home.php,,,,
Wolfgang Bein,University of Nevada Las Vegas,http://web.cs.unlv.edu/bein,oUwEYt4AAAAJ,965.0,15.0,1985.0
Ju-yeon Jo,University of Nevada Las Vegas,http://joj5.faculty.unlv.edu,,,,
Lawrence L. Larmore,University of Nevada Las Vegas,http://web.cs.unlv.edu/larmore,_mRgp6cAAAAJ,3107.0,29.0,1965.0
