name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
George Bebis,University of Nevada,https://www.cse.unr.edu/~bebis,,,,
Christos Papachristos,University of Nevada,https://www.unr.edu/cse/people/christos-papachristos,jmMI3eUAAAAJ,1826.0,28.0,2011.0
Monica N. Nicolescu,University of Nevada,https://www.cse.unr.edu/~monica,CjRSS8MAAAAJ,2477.0,24.0,2000.0
Eelke Folmer,University of Nevada,https://www.unr.edu/cse/people/folmer,xZcSoqcAAAAJ,4127.0,33.0,2001.0
Hao-Ting Shen,University of Nevada,https://www.unr.edu/cse/people/haoting-shen,Zah7r3MAAAAJ,736.0,16.0,2006.0
Mircea Nicolescu,University of Nevada,https://www.cse.unr.edu/~mircea,RENxVvAAAAAJ,3211.0,26.0,2000.0
Feng Yan,University of Nevada,https://wolfweb.unr.edu/~fyan,iLE0_VAAAAAJ,1864.0,18.0,2010.0
Alireza Tavakkoli,University of Nevada,https://www.cse.unr.edu/~alit,BEVcZZYAAAAJ,1158.0,19.0,2002.0
Emily Hand,University of Nevada,http://www.cse.unr.edu/~ehand,5oWxowoAAAAJ,778.0,9.0,2012.0
Hung M. La,University of Nevada,https://www.unr.edu/cse/people/la,uG-wAt0AAAAJ,4277.0,37.0,2006.0
Engin Arslan,University of Nevada,https://www.cse.unr.edu/~arslan,F2TyKRgAAAAJ,747.0,15.0,2011.0
Tin Chi Nguyen,University of Nevada,https://www.cse.unr.edu/~tinn,WRyPP80AAAAJ,7705.0,34.0,
Yantao Shen,University of Nevada,https://www.unr.edu/ebme/people/yantao-shen,,,,
Frederick C. Harris Jr.,University of Nevada,https://www.cse.unr.edu/~fredh,yhbUkg0AAAAJ,3481.0,21.0,1969.0
Hui Lin,University of Nevada,https://www.cse.unr.edu/~hui,kPh6yWIAAAAJ,658.0,9.0,2006.0
Dongfang Zhao,University of Nevada,https://www.unr.edu/nevada-engineering/2016/faculty-2016/zhao,ZFsLVTwAAAAJ,1658.0,23.0,2006.0
Sergiu Dascalu,University of Nevada,https://www.cse.unr.edu/~dascalus,RLoNJA4AAAAJ,1570.0,19.0,1969.0
Sushil J. Louis,University of Nevada,https://www.cse.unr.edu/~sushil,aHOOYsAAAAAJ,4457.0,35.0,1985.0
Shahriar Badsha,University of Nevada,https://www.unr.edu/cse/people/shahriar-badsha,Zvr9kOwAAAAJ,834.0,15.0,2012.0
Shamik Sengupta,University of Nevada,https://www.cse.unr.edu/~shamik,PqZY2oEAAAAJ,3204.0,29.0,1961.0
Dave Feil-Seifer,University of Nevada,http://nevada-reno.academia.edu/DavidFeilSeifer,m1VxcKcAAAAJ,4626.0,28.0,2002.0
Lei Yang,University of Nevada,http://www.unr.edu/cse/people/faculty/yang,uztxAqsAAAAJ,1680.0,21.0,2008.0
