name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Marek Petrik,University of New Hampshire,http://www.cs.unh.edu/~mpetrik,yT-xSLoAAAAJ,1296.0,19.0,1966.0
Colin Ware,University of New Hampshire,http://ccom.unh.edu/vislab/colin_ware.html,e6C_dHAAAAAJ,20675.0,57.0,1973.0
Laura Dietz,University of New Hampshire,http://www.cs.unh.edu/~dietz,IIXpJ8oAAAAJ,1439.0,16.0,2003.0
Radim Bartos,University of New Hampshire,http://www.cs.unh.edu/~rbartos,VgGq9i0AAAAJ,1082.0,15.0,1995.0
Momotaz Begum,University of New Hampshire,http://www.cs.unh.edu/~mbegum,YP9KtBQAAAAJ,1012.0,15.0,2002.0
James L. Weiner,University of New Hampshire,http://www.cs.unh.edu/Faculty/jlw.html,,,,
Wheeler Ruml,University of New Hampshire,http://www.cs.unh.edu/~ruml,3idW4TkAAAAJ,6494.0,33.0,1993.0
Elizabeth Varki,University of New Hampshire,https://ceps.unh.edu/faculty/varki,A3EXWRkAAAAJ,620.0,10.0,1996.0
Dongpeng Xu,University of New Hampshire,https://www.cs.unh.edu/~dxu,ANWRPxcAAAAJ,395.0,7.0,2012.0
Michel Charpentier,University of New Hampshire,http://www.cs.unh.edu/~charpov,,,,
Philip J. Hatcher,University of New Hampshire,http://www.cs.unh.edu/~pjh,Dd2SKGAAAAAJ,2885.0,21.0,1984.0
