name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Atriya Sen,University of New Orleans,https://www.uno.edu/profile/faculty/atriya_sen,i431XYsAAAAJ,575.0,4.0,2013.0
Minhaz F. Zibran,University of New Orleans,http://cs.uno.edu/~zibran,clmylLAAAAAJ,1438.0,20.0,2002.0
Christopher M. Summa,University of New Orleans,http://www.cs.uno.edu/~csumma/csumma.html,NcuTbf0AAAAJ,1901.0,15.0,1999.0
Ben Samuel,University of New Orleans,https://www.uno.edu/profile/faculty/ben_samuel,hFboSPEAAAAJ,769.0,15.0,2010.0
Shengru Tu,University of New Orleans,http://new.uno.edu/profile/faculty/shengru_tu,,,,
Md. Tamjidul Hoque,University of New Orleans,http://new.uno.edu/profile/faculty/tamjidul_hoque,8tQmDZQAAAAJ,1208.0,20.0,2002.0
Mahdi Abdelguerfi,University of New Orleans,http://new.uno.edu/profile/faculty/mahdi_abdelguerfi,,,,
Hyunguk Yoo,University of New Orleans,https://www.uno.edu/profile/faculty/hyunguk_yoo,M2nERckAAAAJ,421.0,11.0,2012.0
Vassil Roussev,University of New Orleans,http://new.uno.edu/news/2018-10-18/computer-science-prof-vassil-roussev-wins-nsf-grant-develop-universal-data-language,dOcAjLEAAAAJ,3286.0,31.0,1996.0
Phani Vadrevu,University of New Orleans,http://www.phanivadrevu.com,tjlBAEIAAAAJ,157.0,6.0,2013.0
