name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Chris Wilson,University of Oregon,http://ix.cs.uoregon.edu/~cwilson,,,,
Yingjiu Li,University of Oregon,https://cs.uoregon.edu/profile/yingjiul,Z4ReDEMAAAAJ,5540.0,42.0,2000.0
Boyana Norris,University of Oregon,https://ix.cs.uoregon.edu/~norris,prJFPwUAAAAJ,2608.0,26.0,1986.0
Thanh Hong Nguyen,University of Oregon,https://ix.cs.uoregon.edu/~thanhhng,6fpZnQIAAAAJ,1139.0,16.0,2012.0
Joe Sventek,University of Oregon,https://www.cs.uoregon.edu/People/Faculty/Joe_Sventek.php,U_VRZucAAAAJ,2428.0,28.0,1974.0
Zena M. Ariola,University of Oregon,https://www.cs.uoregon.edu/People/Faculty/Zena_Ariola.php,LmLKjyYAAAAJ,1929.0,24.0,1989.0
Dejing Dou,University of Oregon,http://ix.cs.uoregon.edu/~dou,qBHsQ04AAAAJ,5288.0,31.0,2000.0
Hank Childs,University of Oregon,https://www.cs.uoregon.edu/People/Faculty/Hank_Childs.php,1SJPBDAAAAAJ,4556.0,31.0,2001.0
Honghui Shi,University of Oregon,https://www.humphreyshi.com,WBvt5A8AAAAJ,5618.0,29.0,2016.0
Brittany A. Erickson,University of Oregon,https://ix.cs.uoregon.edu/~bae,,,,
Anthony J. Hornof,University of Oregon,http://ix.cs.uoregon.edu/~hornof,qmc-hR0AAAAJ,2385.0,24.0,1995.0
Jun Li,University of Oregon,http://ix.cs.uoregon.edu/~lijun,J8NUZDMAAAAJ,51688.0,110.0,1989.0
Michal Young,University of Oregon,http://ix.cs.uoregon.edu/~michal,rhogjK0AAAAJ,2262.0,20.0,1985.0
Ramakrishnan Durairajan,University of Oregon,http://ix.cs.uoregon.edu/~ram,6jzveA4AAAAJ,658.0,16.0,2012.0
Reza Rejaie,University of Oregon,http://ix.cs.uoregon.edu/~reza,dgRIYXIAAAAJ,9314.0,43.0,1991.0
Thien Huu Nguyen,University of Oregon,http://ix.cs.uoregon.edu/~thien,Da2FhegAAAAJ,3128.0,24.0,2010.0
Jee W. Choi,University of Oregon,https://cs.uoregon.edu/profile/jeec,yCA985IAAAAJ,1412.0,15.0,2004.0
Stephen Fickas,University of Oregon,http://ix.cs.uoregon.edu/~fickas,9qA78uUAAAAJ,7197.0,32.0,1980.0
Allen D. Malony,University of Oregon,https://www.cs.uoregon.edu/People/Faculty/Allen_Malony.php,SYBxenEAAAAJ,8869.0,44.0,1982.0
Daniel Lowd,University of Oregon,https://ix.cs.uoregon.edu/~lowd,IrcFO1AAAAAJ,5143.0,25.0,2004.0
