name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Sigrid Knust,University of Osnabrück,http://www2.inf.uos.de/knust,,,,
Mario Porrmann,University of Osnabrück,https://www.informatik-cms.uni-osnabrueck.de/arbeitsgruppen/technische_informatik/team/mario_porrmann.html,8xaTavMAAAAJ,3632.0,31.0,1996.0
Ribana Roscher,University of Osnabrück,https://www.informatik.uni-osnabrueck.de/institut/personen.html,37m2U7QAAAAJ,1293.0,20.0,2009.0
Olaf Spinczyk,University of Osnabrück,https://translate.google.de/translate?hl=de&sl=en&u=https://ess.cs.uni-osnabrueck.de/~os/&prev=search,rOM7s9AAAAAJ,3595.0,29.0,1998.0
Elke Pulvermüller,University of Osnabrück,https://www.informatik.uni-osnabrueck.de/arbeitsgruppen/software_engineering/people/pulvermueller_elke.html,,,,
Michael Brinkmeier,University of Osnabrück,https://www.informatik.uni-osnabrueck.de/arbeitsgruppen/didaktik/personen/dr_michael_brinkmeier.html,0NHhu9QAAAAJ,388.0,10.0,1996.0
Norbert De Lange,University of Osnabrück,https://www.informatik.uni-osnabrueck.de/institut/personen.html,,,,
Markus Chimani,University of Osnabrück,http://tcs.informatik.uos.de/index/staff/chimani,5Hmo9DMAAAAJ,1574.0,22.0,2004.0
Marcel Campen,University of Osnabrück,http://graphics.cs.uos.de,KMgjzh4AAAAJ,1663.0,21.0,2009.0
Björn Waske,University of Osnabrück,https://www.uni-osnabrueck.de/universitaet/personensuche/personendetails.html?module=TemplatePersondetails&target=15852&source=14776&config_id=182d4abe417c9851aacad4acd6e0df1b&range_id=studip&username=bwaske,dWjh5LEAAAAJ,5439.0,32.0,2004.0
Joachim Hertzberg,University of Osnabrück,http://www2.inf.uni-osnabrueck.de/hertzberg,4978xwoAAAAJ,8052.0,43.0,1983.0
Nils Aschenbruck,University of Osnabrück,http://sys.cs.uos.de/aschenbruck/index_en.shtml,QH3VOP4AAAAJ,2245.0,19.0,2004.0
