name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Voicu Groza,University of Ottawa,http://www.eecs.uottawa.ca/~groza,OwLP6fkAAAAJ,3758.0,28.0,1997.0
Eric Dubois,University of Ottawa,http://www.site.uottawa.ca/~edubois,1KEbwBkAAAAJ,5219.0,33.0,1974.0
Paola Flocchini,University of Ottawa,http://www.site.uottawa.ca/~flocchin,LVdJjiUAAAAJ,8336.0,50.0,1991.0
Nejib Zaguia,University of Ottawa,http://www.site.uottawa.ca/~zaguia,EBZsBBQAAAAJ,584.0,13.0,1983.0
Herna L. Viktor,University of Ottawa,http://www.site.uottawa.ca/~hlviktor,liglceAAAAAJ,2084.0,19.0,1991.0
Marcel Turcotte,University of Ottawa,http://www.site.uottawa.ca/~turcotte,CWnhaywAAAAJ,1250.0,13.0,1990.0
Amiya Nayak,University of Ottawa,http://www.site.uottawa.ca/~anayak,ttUIYysAAAAJ,9438.0,52.0,1970.0
Daniel Amyot,University of Ottawa,http://www.site.uottawa.ca/~damyot,xGiVN_4AAAAJ,7380.0,44.0,1993.0
Guy-Vincent Jourdan,University of Ottawa,http://www.site.uottawa.ca/~gvj,r3ZtMxcAAAAJ,1204.0,19.0,1993.0
Dimitrios Makrakis,University of Ottawa,http://www.site.uottawa.ca/~dimitris,wsKoAKcAAAAJ,4138.0,32.0,1985.0
Jean-Lou De Carufel,University of Ottawa,https://engineering.uottawa.ca/eecs/people/carufel-jean-lou,wwoudWYAAAAJ,514.0,13.0,1998.0
Tet Hin Yeap,University of Ottawa,https://engineering.uottawa.ca/eecs/people/yeap-tet,7C5FJOwAAAAJ,3434.0,33.0,1985.0
Hilmi R. Dajani,University of Ottawa,https://engineering.uottawa.ca/eecs/people/dajani-hilmi,-jdRijsAAAAJ,2234.0,27.0,1992.0
Wail Gueaieb,University of Ottawa,http://www.site.uottawa.ca/~wgueaieb,qN4Y3NEAAAAJ,2743.0,28.0,1998.0
Pascal Fallavollita,University of Ottawa,https://health.uottawa.ca/people/fallavollita-pascal,KMXRVlEAAAAJ,1801.0,22.0,2004.0
Amy P. Felty,University of Ottawa,http://www.site.uottawa.ca/~afelty,e-U4JcIAAAAJ,2379.0,23.0,1986.0
Diana Inkpen,University of Ottawa,http://www.site.uottawa.ca/~diana,66pwIBcAAAAJ,7854.0,40.0,1998.0
Gregor V. Bochmann,University of Ottawa,http://www.site.uottawa.ca/~bochmann,nTTn0TIAAAAJ,10524.0,49.0,1970.0
Martin Bouchard,University of Ottawa,http://www.site.uottawa.ca/~bouchard,ufMGQ3MAAAAJ,4093.0,37.0,2003.0
Azzedine Boukerche,University of Ottawa,http://www.site.uottawa.ca/~boukerch,RMo9P4oAAAAJ,26722.0,80.0,
Oliver W. W. Yang,University of Ottawa,http://www.site.uottawa.ca/~yang,,,,
Carlisle Adams,University of Ottawa,http://www.site.uottawa.ca/~cadams,w1VhqyoAAAAJ,8242.0,38.0,1980.0
Vasiliki Kantere,University of Ottawa,https://engineering.uottawa.ca/eecs/people/kantere-verena,av8jooQAAAAJ,1514.0,17.0,2003.0
Robert Laganière,University of Ottawa,http://www.site.uottawa.ca/~laganier,59ohye8AAAAJ,7376.0,33.0,1987.0
Iluju Kiringa,University of Ottawa,http://www.site.uottawa.ca/~kiringa,Ol4VIjMAAAAJ,829.0,13.0,2001.0
Vida Dujmovic,University of Ottawa,http://cglab.ca/~vida,,,,
Lucia Moura,University of Ottawa,http://www.site.uottawa.ca/~lucia,oL0v45UAAAAJ,3846.0,36.0,1980.0
Miodrag Bolic,University of Ottawa,http://www.site.uottawa.ca/~mbolic,1HJ-KYMAAAAJ,5432.0,34.0,1999.0
H. T. Mouftah,University of Ottawa,http://www.site.uottawa.ca/~mouftah,33FmwbwAAAAJ,19433.0,65.0,1977.0
Sylvia C. Boyd,University of Ottawa,http://www.site.uottawa.ca/~sylvia,P7mb9zgAAAAJ,727.0,16.0,1986.0
Pierre Payeur,University of Ottawa,http://www.site.uottawa.ca/~ppayeur,,,,
Stan Szpakowicz,University of Ottawa,http://www.site.uottawa.ca/~szpak,mFbRWwMAAAAJ,7593.0,38.0,1980.0
Hasan Ural,University of Ottawa,http://www.site.uottawa.ca/~ural,,,,
Emil M. Petriu,University of Ottawa,http://www.site.uottawa.ca/~petriu,9Weluf0AAAAJ,10301.0,52.0,1982.0
Stéphane S. Somé,University of Ottawa,http://www.site.uottawa.ca/~ssome,gZvSWooAAAAJ,746.0,16.0,1993.0
Liam Peyton,University of Ottawa,http://www.site.uottawa.ca/~lpeyton,jKBUKKgAAAAJ,2345.0,23.0,1996.0
Yongyi Mao,University of Ottawa,http://www.site.uottawa.ca/~yymao,jM5l70wAAAAJ,2776.0,23.0,2000.0
Wonsook Lee,University of Ottawa,http://www.site.uottawa.ca/~wslee,ohzzc8AAAAAJ,2445.0,24.0,1997.0
Shervin Shirmohammadi,University of Ottawa,http://www.site.uottawa.ca/~shervin,qJuYI44AAAAJ,6903.0,42.0,1997.0
Jiying Zhao,University of Ottawa,http://www.site.uottawa.ca/~jyzhao,zHFUSYMAAAAJ,3232.0,26.0,1996.0
Kanstantsin Pashkovich,University of Ottawa,https://kanstantsinpashkovich.bitbucket.io,_cIeQgYAAAAJ,568.0,11.0,2009.0
Ahmed Karmouch,University of Ottawa,http://www.site.uottawa.ca/~karmouch,kQpPzdgAAAAJ,5195.0,31.0,1983.0
Thomas Tran,University of Ottawa,http://www.site.uottawa.ca/~ttran,PlpKfYgAAAAJ,1697.0,21.0,1994.0
Jochen Lang,University of Ottawa,http://www.site.uottawa.ca/~jlang,5sN8OuAAAAAJ,4780.0,33.0,1983.0
Dan Ionescu,University of Ottawa,http://www.site.uottawa.ca/~ionescu,FfHzD4QAAAAJ,293.0,7.0,2003.0
Timothy C. Lethbridge,University of Ottawa,http://www.site.uottawa.ca/~tcl,PQ9tLbUAAAAJ,49915.0,107.0,1962.0
