name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Rakesh V. Vohra,University of Pennsylvania,https://economics.sas.upenn.edu/faculty/rakesh-vohra,JnWSU4oAAAAJ,8827.0,41.0,1984.0
Weijie J. Su,University of Pennsylvania,http://www-stat.wharton.upenn.edu/~suw,Uhf4nBkAAAAJ,2363.0,18.0,2011.0
Alexander Rakhlin,University of Pennsylvania,http://www-stat.wharton.upenn.edu/~rakhlin,fds2VpgAAAAJ,6731.0,46.0,2002.0
Sebastian Angel,University of Pennsylvania,https://cis.upenn.edu/~sga001,pNaNj8EAAAAJ,1125.0,11.0,2012.0
Val Breazu-Tannen,University of Pennsylvania,http://www.cis.upenn.edu/~val,,,,
Danaë Metaxa,University of Pennsylvania,https://metaxa.net,6pA2wn4AAAAJ,292.0,9.0,2015.0
André DeHon,University of Pennsylvania,https://www.seas.upenn.edu/~andre,nintPk8AAAAJ,15221.0,56.0,1990.0
Anindya De,University of Pennsylvania,https://www.seas.upenn.edu/directory/profile.php?ID=273,lPM8k54AAAAJ,1076.0,19.0,2005.0
Mark Yim,University of Pennsylvania,https://www.seas.upenn.edu/directory/profile.php?ID=107,6zm5XD8AAAAJ,11948.0,53.0,1990.0
Dinesh Jayaraman,University of Pennsylvania,https://www.seas.upenn.edu/~dineshj,QxLpghAAAAAJ,2474.0,22.0,2011.0
Hamed Hassani,University of Pennsylvania,https://www.seas.upenn.edu/~hassani,,,,
Jing Li,University of Pennsylvania,https://www.seas.upenn.edu/~janeli/index.html,QGYL3tAAAAAJ,2124.0,28.0,2006.0
Jacob R. Gardner,University of Pennsylvania,https://www.seas.upenn.edu/directory/profile.php?ID=339,0gkajvEAAAAJ,2107.0,18.0,2014.0
James H. Moore,University of Pennsylvania,http://epistasis.org/jason-h-moore-phd,mE1Te78AAAAJ,42722.0,96.0,2020.0
Cynthia R. Sung,University of Pennsylvania,https://www.seas.upenn.edu/~crsung,FqKcLDQAAAAJ,975.0,13.0,2011.0
Michael Posa,University of Pennsylvania,https://dair.seas.upenn.edu/michael-posa,DCSFMuAAAAAJ,1288.0,11.0,2013.0
Vincent Liu,University of Pennsylvania,http://vincen.tl,z84dqmcAAAAJ,2179.0,24.0,1987.0
Li-San Wang,University of Pennsylvania,http://tesla.pcbi.upenn.edu/~lswang,ncxi_G4AAAAJ,23271.0,59.0,2000.0
Konstantinos Daniilidis,University of Pennsylvania,http://www.cis.upenn.edu/~kostas,dGs2BcIAAAAJ,19749.0,77.0,1990.0
Andrew Head,University of Pennsylvania,https://andrewhead.info,lccNQ3AAAAAJ,660.0,14.0,2014.0
James C. Gee,University of Pennsylvania,https://www.med.upenn.edu/apps/faculty/index.php/g5455356/p10656,MIjWr_8AAAAJ,41250.0,77.0,1964.0
