name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
George A. Vouros,University of Piraeus,https://www.ds.unipi.gr/en/faculty/georgev-en,PBX9aQUAAAAJ,3897.0,28.0,1989.0
Yannis Theodoridis,University of Piraeus,http://www.unipi.gr/faculty/ytheod,1f5twhoAAAAJ,13235.0,51.0,1994.0
George Vassilacopoulos,University of Piraeus,https://www.ds.unipi.gr/en/faculty/gvass-en,q8_VODcAAAAJ,1209.0,18.0,1984.0
Ioannis E. Venetis,University of Piraeus,https://www.unipi.gr/unipi/en,jKvimFYAAAAJ,397.0,11.0,1999.0
Dimitris K. Despotis,University of Piraeus,https://www.unipi.gr/unipi/en/despotis.html,yJiY_-QAAAAJ,2760.0,22.0,1987.0
Michael E. Filippakis,University of Piraeus,https://www.ds.unipi.gr/en/faculty/mfilip-en,,,,
George P. Efthymoglou,University of Piraeus,https://www.ds.unipi.gr/en/faculty/gefthymo-en,HgBG3mgAAAAJ,1307.0,22.0,1995.0
Ioannis Tasoulas,University of Piraeus,https://www.unipi.gr/unipi/en/jtas.html,4ST8aRUAAAAJ,209.0,9.0,2006.0
Christos Douligeris,University of Piraeus,https://www.unipi.gr/unipi/en/cdoulig.html,f7-JRJUAAAAJ,7421.0,41.0,1987.0
Flora Malamateniou,University of Piraeus,https://www.ds.unipi.gr/en/faculty/flora-en,aP6KN48AAAAJ,1048.0,14.0,1998.0
Constantinos Patsakis,University of Piraeus,https://www.cs.unipi.gr/kpatsak,wkHmlysAAAAJ,4213.0,27.0,2007.0
Dimosthenis Kyriazis,University of Piraeus,https://www.ds.unipi.gr/en/faculty/dimos-en,bYjcoDQAAAAJ,2690.0,25.0,2006.0
Constantinos Lambrinoudakis,University of Piraeus,https://www.ds.unipi.gr/en/faculty/clam-en,D-mfQXsAAAAJ,2857.0,26.0,2000.0
Christos Doulkeridis,University of Piraeus,https://www.ds.unipi.gr/en/faculty/cdoulk-en,Q1QyNXsAAAAJ,3393.0,27.0,2002.0
Angelos N. Rouskas,University of Piraeus,https://www.ds.unipi.gr/en/faculty/arouskas-en,nmpzcwUAAAAJ,1080.0,16.0,1995.0
Andriana Prentza,University of Piraeus,https://www.ds.unipi.gr/en/faculty/aprentza-en,,,,
Angeliki Alexiou,University of Piraeus,https://www.ds.unipi.gr/en/faculty/alexiou-en,LhIfQYwAAAAJ,4299.0,30.0,1997.0
Foteini Paraskeva,University of Piraeus,https://www.ds.unipi.gr/en/faculty/fparaske-en,IeaP7wIAAAAJ,1694.0,14.0,2004.0
Despina Polemi,University of Piraeus,https://www.unipi.gr/unipi/en/dpolemi.html,WrDuv4kAAAAJ,810.0,12.0,1991.0
Apostolos Meliones,University of Piraeus,https://www.ds.unipi.gr/en/faculty/meliones-en,OF1iih8AAAAJ,436.0,11.0,1997.0
Dionisios N. Sotiropoulos,University of Piraeus,https://www.unipi.gr/unipi/en/dsotirop.html,cIdrKT0AAAAJ,556.0,10.0,2004.0
Dimitrios Apostolou,University of Piraeus,https://www.unipi.gr/unipi/en/dapost.html,8aHcmTsAAAAJ,3438.0,30.0,
Maria Halkidi,University of Piraeus,https://www.ds.unipi.gr/en/faculty/mhalk-en,FknZ1Q8AAAAJ,7191.0,21.0,2000.0
George A. Tsihrintzis,University of Piraeus,https://www.unipi.gr/unipi/en/geoatsi.html,QUC1ebEAAAAJ,2865.0,25.0,1990.0
Efthimios Alepis,University of Piraeus,https://www.unipi.gr/unipi/en/talepis.html,3WyL7tUAAAAJ,2062.0,21.0,2003.0
Athanasios G. Kanatas,University of Piraeus,https://www.ds.unipi.gr/en/faculty/kanatas-en,9SbmI0YAAAAJ,2960.0,28.0,1994.0
Ioannis A. Maniatis,University of Piraeus,https://www.ds.unipi.gr/en/faculty/maniatis-en,,,,
Christos K. Xenakis,University of Piraeus,https://www.ds.unipi.gr/en/faculty/xenakis-en,TXyjpUUAAAAJ,1306.0,20.0,1997.0
Dimitrios D. Vergados,University of Piraeus,https://www.unipi.gr/unipi/en/vergados.html,bP0fRIEAAAAJ,5588.0,30.0,1999.0
Nikitas M. Sgouros,University of Piraeus,https://www.ds.unipi.gr/en/faculty/sgouros-en,ZK4fmiUAAAAJ,793.0,12.0,1990.0
Demetrios G. Sampson,University of Piraeus,https://www.ds.unipi.gr/en/faculty/sampson-en,v_IaAIcAAAAJ,7626.0,41.0,1992.0
Simeon Retalis,University of Piraeus,https://www.ds.unipi.gr/en/faculty/retal-en,JUX2KJcAAAAJ,3313.0,29.0,1997.0
Orestis Telelis,University of Piraeus,https://www.ds.unipi.gr/en/faculty/telelis-en,,,,
Ilias G. Maglogiannis,University of Piraeus,https://www.ds.unipi.gr/en/faculty/imaglo-en,RXF4kxsAAAAJ,7507.0,41.0,2000.0
Aggelos Pikrakis,University of Piraeus,https://www.unipi.gr/unipi/en/pikrakis.html,hPZSYsgAAAAJ,2044.0,20.0,1996.0
Stefanos Gritzalis,University of Piraeus,https://www.ds.unipi.gr/en/faculty/sgritz-en,VCU5CYYAAAAJ,8712.0,51.0,
Panayiotis Kotzanikolaou,University of Piraeus,https://www.unipi.gr/unipi/en/pkotzani.html,BOpUZOgAAAAJ,2503.0,26.0,1999.0
Maria K. Virvou,University of Piraeus,https://www.unipi.gr/unipi/en/mvirvou.html,Ce6s_FoAAAAJ,6066.0,34.0,1991.0
Charalampos Konstantopoulos,University of Piraeus,https://www.unipi.gr/unipi/en/konstant.html,Q0GeDawAAAAJ,3513.0,26.0,1998.0
Konstantinos Metaxiotis,University of Piraeus,https://www.unipi.gr/unipi/en/kmetax.html,,,,
Themis Panayiotopoulos,University of Piraeus,https://www.unipi.gr/unipi/en/themisp.html,,,,
Marinos Themistocleous,University of Piraeus,https://www.ds.unipi.gr/en/faculty/mthemist-en,sQwEp4IAAAAJ,5461.0,34.0,1996.0
Aristidis Sapounakis,University of Piraeus,https://www.cs.unipi.gr/sapounakis,K3mR6t4AAAAJ,324.0,10.0,1980.0
Mihalis Psarakis,University of Piraeus,https://www.cs.unipi.gr/psarakis,zX2KSXEAAAAJ,2020.0,23.0,1997.0
Panagiotis Demestichas,University of Piraeus,https://www.ds.unipi.gr/en/faculty/pdemest-en,0TYLd78AAAAJ,5591.0,30.0,
Evangelos Sakkopoulos,University of Piraeus,https://www.unipi.gr/unipi/en/sakkopul.html,gLzYZ9wAAAAJ,1401.0,20.0,2000.0
