name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Alessia Saggese,University of Salerno,https://docenti.unisa.it/024950/home,OwHN05YAAAAJ,2018.0,23.0,2011.0
Clelia De Felice,University of Salerno,http://old.di.unisa.it/professori/defelice,mfe4sfsAAAAJ,804.0,17.0,1982.0
Matteo Gaeta,University of Salerno,http://www.unisa.it/docenti/matteogaeta/en/index,HOS-Rf4AAAAJ,3033.0,29.0,1995.0
Giancarlo Nota,University of Salerno,http://www.unisa.it/docenti/giancarlonota/en/index,,,,
Gianluca De Marco,University of Salerno,http://www.unisa.it/docenti/gianlucademarco/index,Eg0ZuKUAAAAJ,703.0,14.0,1998.0
Maurizio Tucci,University of Salerno,http://www.unisa.it/docenti/mauriziotucci/index,,,,
Massimo De Santo,University of Salerno,http://www.unisa.it/docenti/massimodesanto/index,h9tkpyYAAAAJ,2455.0,26.0,1986.0
Vincenzo Auletta,University of Salerno,http://www.unisa.it/docenti/vincenzoauletta/en/index,,,,
Adele A. Rescigno,University of Salerno,http://old.di.unisa.it/professori/rescigno/MMI/lo.htm,PtEkQRAAAAAJ,969.0,16.0,1992.0
Giuliana Vitiello,University of Salerno,http://www.unisa.it/docenti/giulianavitiello/english/index,ZQITnvAAAAAJ,1936.0,25.0,1991.0
Alberto Postiglione,University of Salerno,http://www.unisa.it/docenti/postiglionea/index,EW1w6DkAAAAJ,156.0,5.0,1990.0
Riccardo Distasi,University of Salerno,http://www.unisa.it/docenti/riccardodistasi/index,,,,
Roberto Tagliaferri,University of Salerno,http://www.unisa.it/docenti/robertotagliaferri/en/index,,,,
Genny Tortora,University of Salerno,http://www.unisa.it/docenti/genoveffatortora/index,7PX-djYAAAAJ,7333.0,39.0,1981.0
Vincenzo Loia,University of Salerno,http://www.unisa.it/docenti/vincenzoloia/en/index,izBsqU4AAAAJ,8968.0,49.0,1988.0
Marco Romano,University of Salerno,https://www.marcoromano.eu,EEVgWLMAAAAJ,415.0,11.0,2009.0
Giuseppe Fenza,University of Salerno,https://docenti.unisa.it/021699/home,0C3IjEIAAAAJ,1508.0,20.0,2006.0
Pasquale Foggia,University of Salerno,http://mivia.unisa.it/people/foggia,P9eeLD8AAAAJ,9141.0,39.0,1996.0
Gennaro Costagliola,University of Salerno,http://www.unisa.it/docenti/gennarocostagliola/en/index,j2roIOUAAAAJ,2597.0,28.0,
Gennaro Percannella,University of Salerno,http://mivia.unisa.it/people/percannella,Uhn4uusAAAAJ,2684.0,28.0,1999.0
Mario Vento,University of Salerno,http://mivia.unisa.it/people/vento,3PwXGpgAAAAJ,12785.0,48.0,1988.0
Diodato Ferraioli,University of Salerno,http://www.di-srv.unisa.it/~ferraioli,kShuH_AAAAAJ,656.0,15.0,2009.0
Arcangelo Castiglione,University of Salerno,https://docenti.unisa.it/026260/home,Uh1YyVYAAAAJ,1132.0,21.0,2005.0
Vincenzo Iovino,University of Salerno,https://sites.google.com/site/vincenzoiovinoit,ALo6sX8AAAAJ,1375.0,14.0,1990.0
Monica Sebillo,University of Salerno,http://www.unisa.it/docenti/monicamariasebillo/index,xzUw4jQAAAAJ,1124.0,18.0,1993.0
Francesco A. N. Palmieri,University of Salerno,http://www.unisa.it/docenti/francescopalmieri/en/index,Ly2epXgAAAAJ,2796.0,23.0,1985.0
