name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Tony J. Prescott,University of Sheffield,https://www.sheffield.ac.uk/dcs/people/academic/tony-prescott,u2T4wjgAAAAJ,10823.0,46.0,1993.0
Robert J. Gaizauskas,University of Sheffield,https://www.sheffield.ac.uk/dcs/people/academic/rob-gaizauskas,HY8ATOgAAAAJ,12796.0,54.0,1990.0
Chenghua Lin,University of Sheffield,https://www.sheffield.ac.uk/dcs/people/academic/chenghua-lin,Tp1RdIQAAAAJ,2842.0,20.0,2008.0
Richard H. Clayton,University of Sheffield,https://www.sheffield.ac.uk/dcs/people/academic/richard-clayton,XzTziRcAAAAJ,4769.0,33.0,1987.0
Pietro S. Oliveto,University of Sheffield,https://www.sheffield.ac.uk/dcs/people/academic/pietro-oliveto,dGRqOi0AAAAJ,2232.0,26.0,2006.0
Anton Ragni,University of Sheffield,https://www.sheffield.ac.uk/dcs/people/academic/anton-ragni,bK8wK0EAAAAJ,1143.0,21.0,2007.0
Prosanta Hope,University of Sheffield,https://www.sheffield.ac.uk/dcs/people/academic/prosanta-gope,Yy3YF0AAAAAJ,3116.0,30.0,2009.0
Po Yang,University of Sheffield,https://www.sheffield.ac.uk/dcs/people/academic/po-yang,RdK3cwgAAAAJ,3497.0,33.0,2003.0
Yoshihiko Gotoh,University of Sheffield,https://www.sheffield.ac.uk/dcs/people/academic/yoshi-gotoh,I13A1g0AAAAJ,1237.0,17.0,1994.0
Haiping Lu,University of Sheffield,https://www.sheffield.ac.uk/dcs/people/academic/haiping-lu,CArrsDMAAAAJ,3683.0,26.0,2002.0
Anthony J. H. Simons,University of Sheffield,https://www.sheffield.ac.uk/dcs/people/academic/anthony-simons,25x8D34AAAAJ,1892.0,19.0,1986.0
Roger K. Moore,University of Sheffield,https://www.sheffield.ac.uk/dcs/people/academic/roger-moore,Ib1I-uAAAAAJ,6955.0,36.0,1951.0
Guy J. Brown,University of Sheffield,https://www.sheffield.ac.uk/dcs/people/academic/guy-brown,5KOpQLQAAAAJ,7727.0,39.0,1948.0
Siobhán North,University of Sheffield,https://www.sheffield.ac.uk/dcs/people/academic/siobhan-north,XwzJjrcAAAAJ,183.0,7.0,1981.0
Thomas Hain,University of Sheffield,https://www.sheffield.ac.uk/dcs/people/academic/thomas-hain,x03kgyEAAAAJ,12348.0,36.0,1994.0
John A. Clark,University of Sheffield,https://www.sheffield.ac.uk/dcs/people/academic/john-clark,xu3n6owAAAAJ,9072.0,44.0,
John Derrick,University of Sheffield,https://www.sheffield.ac.uk/dcs/people/academic/john-derrick,UjKdePoAAAAJ,4532.0,35.0,1991.0
Georg Struth,University of Sheffield,https://www.sheffield.ac.uk/dcs/people/academic/georg-struth,lgsk1IoAAAAJ,2161.0,24.0,1996.0
Steve C. Maddock,University of Sheffield,https://www.sheffield.ac.uk/dcs/people/academic/steve-maddock,NbHpc-UAAAAJ,1377.0,20.0,1993.0
Elif Bilge Kavun,University of Sheffield,https://www.sheffield.ac.uk/dcs/people/academic/elif-kavun,spLEkSYAAAAJ,1488.0,12.0,2010.0
Phil McMinn,University of Sheffield,https://www.sheffield.ac.uk/dcs/people/academic/phil-mcminn,ll6Fc7gAAAAJ,8154.0,40.0,2002.0
Robert M. Hierons,University of Sheffield,https://www.sheffield.ac.uk/dcs/people/academic/rob-hierons,Bd0QYCEAAAAJ,8794.0,46.0,1991.0
Aditya Gilra,University of Sheffield,https://www.sheffield.ac.uk/dcs/people/academic/aditya-gilra,VpxnuTgAAAAJ,252.0,5.0,2007.0
Joab R. Winkler,University of Sheffield,https://www.sheffield.ac.uk/dcs/people/academic/joab-winkler,6cEV3NAAAAAJ,593.0,15.0,1984.0
