name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Enrico Gerding,University of Southampton,https://www.ecs.soton.ac.uk/people/eg,TIuriUgAAAAJ,3573.0,33.0,1999.0
Erisa Karafili,University of Southampton,https://www.ecs.soton.ac.uk/people/ek1c19,cmVbXGQAAAAJ,303.0,10.0,2010.0
Denis A. Nicole,University of Southampton,https://www.ecs.soton.ac.uk/people/dan1,,,,
Adriane Chapman,University of Southampton,https://www.ecs.soton.ac.uk/people/ac1n16,sHXqNl4AAAAJ,2801.0,18.0,2002.0
Corina Cîrstea,University of Southampton,https://www.ecs.soton.ac.uk/people/corina,ErZfebYAAAAJ,774.0,16.0,1976.0
Sheng Chen,University of Southampton,https://www.ecs.soton.ac.uk/people/sqc,ZikGt_kAAAAJ,34705.0,80.0,1985.0
Christine Evers,University of Southampton,https://www.ecs.soton.ac.uk/people/ce1r20,GBjOgg4AAAAJ,695.0,12.0,2005.0
Xiaohao Cai,University of Southampton,https://www.ecs.soton.ac.uk/people/xc1f20,MOjShggAAAAJ,670.0,14.0,2011.0
David E. Millard,University of Southampton,https://www.ecs.soton.ac.uk/people/dem,mzlPYbAAAAAJ,4984.0,36.0,1982.0
Thanassis Tiropanis,University of Southampton,https://www.ecs.soton.ac.uk/people/at1o07,T0MK3pUAAAAJ,2059.0,23.0,1995.0
Yvonne Margaret Howard,University of Southampton,https://www.ecs.soton.ac.uk/people/ymhoward,,,,
Basel Halak,University of Southampton,https://www.ecs.soton.ac.uk/people/bh1m10,2PifIaUAAAAJ,710.0,13.0,2006.0
Bing Chu,University of Southampton,https://www.ecs.soton.ac.uk/people/bc1d11,,,,
Alex S. Weddell,University of Southampton,https://www.ecs.soton.ac.uk/people/asw1v08,epnvd-AAAAAJ,2068.0,23.0,2006.0
Andrew Sogokon,University of Southampton,https://www.ecs.soton.ac.uk/people/as1g19#research,-WBF91wAAAAJ,194.0,8.0,2014.0
Abhinav Kumar Singh,University of Southampton,https://www.ecs.soton.ac.uk/people/aks1a19,tkp3t2gAAAAJ,1535.0,15.0,2009.0
Adam Prügel-Bennett,University of Southampton,https://www.ecs.soton.ac.uk/people/apb1,oQgxYjkAAAAJ,4827.0,37.0,1987.0
Baharak Rastegari,University of Southampton,https://www.ecs.soton.ac.uk/people/br1e18,C2wWMqsAAAAJ,814.0,12.0,2003.0
Enrico Marchioni,University of Southampton,https://www.ecs.soton.ac.uk/people/em1g17,6cPUHikAAAAJ,584.0,15.0,2004.0
George Konstantinidis,University of Southampton,https://www.ecs.soton.ac.uk/people/gk1e17,dg3_PMoAAAAJ,527.0,12.0,2007.0
Danesh Tarapore,University of Southampton,https://www.ecs.soton.ac.uk/people/dst1m17,R-Gyat8AAAAJ,1412.0,14.0,2004.0
Stephen P. Beeby,University of Southampton,https://www.ecs.soton.ac.uk/people/spb,n3Gc7sMAAAAJ,19427.0,58.0,1990.0
Paolo Rapisarda,University of Southampton,https://www.ecs.soton.ac.uk/people/pr3,RZLStBQAAAAJ,2217.0,23.0,1992.0
Mark Zwolinski,University of Southampton,https://www.ecs.soton.ac.uk/people/mz1,gQOrpm4AAAAJ,2780.0,23.0,1984.0
