name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Aiichiro Nakano,University of Southern California,http://physics.usc.edu/Faculty/Nakano,,,,
Francisco J. Valero Cuevas,University of Southern California,http://bbdl.usc.edu/Francisco.php,nq85o3QAAAAJ,6068.0,38.0,1993.0
Shri Narayanan,University of Southern California,http://sail.usc.edu/people/shri.php,8EDHmYkAAAAJ,42153.0,98.0,1980.0
Nenad Medvidovic,University of Southern California,http://sunset.usc.edu/~neno,kqW_-2gAAAAJ,19845.0,63.0,1995.0
Mahdi Soltanolkotabi,University of Southern California,https://viterbi-web.usc.edu/~soltanol,narJyMAAAAAJ,6197.0,30.0,2008.0
Jiapeng Zhang,University of Southern California,https://sites.google.com/site/jiapeng0708,9eQOP14AAAAJ,327.0,9.0,2011.0
Jyotirmoy Deshmukh,University of Southern California,https://viterbi.usc.edu/directory/faculty/Deshmukh/Jyotirmoy,CwFX74MAAAAJ,2501.0,25.0,2006.0
Xiang Ren,University of Southern California,https://shanzhenren.github.io,_moJlrIAAAAJ,7830.0,41.0,2006.0
Mukund Raghothaman,University of Southern California,https://r-mukund.github.io,56YYqRcAAAAJ,1554.0,16.0,2012.0
Barath Raghavan,University of Southern California,https://raghavan.usc.edu,Ikz6_Y0AAAAJ,5857.0,29.0,2003.0
Bistra Dilkina,University of Southern California,https://viterbi.usc.edu/directory/faculty/Dilkina/Bistra,1jjyaBYAAAAJ,3574.0,29.0,2004.0
Xuehai Qian,University of Southern California,http://www-bcf.usc.edu/~xuehaiqi,5QL8V68AAAAJ,3123.0,27.0,2007.0
Melvin A. Breuer,University of Southern California,http://ee.usc.edu/faculty_staff/faculty_directory/breuer.htm,,,,
Murali Annavaram,University of Southern California,http://scip-lab.usc.edu,NAntFXIAAAAJ,7216.0,43.0,1996.0
Remo Rohs,University of Southern California,https://rohslab.usc.edu,lNFZCgwAAAAJ,8283.0,45.0,1999.0
Robin Jia,University of Southern California,https://robinjia.github.io,ajZ-_O0AAAAJ,4198.0,15.0,2011.0
Ulrich Neumann,University of Southern California,http://graphics.usc.edu/cgit/un.html,,,,
Leana Golubchik,University of Southern California,http://bourbon.usc.edu/leana,2gpXz3IAAAAJ,5063.0,37.0,1989.0
Jeffrey A. Miller,University of Southern California,https://pressroom.usc.edu/jeffrey-miller,VYYLUPoAAAAJ,21501.0,37.0,1998.0
Ellis Horowitz,University of Southern California,http://www.ellishorowitz.com,,,,
Barry W. Boehm,University of Southern California,http://csse.usc.edu/new/barry-w-boehm,EyAD66UAAAAJ,70657.0,88.0,
Michael S. Waterman,University of Southern California,https://dornsife.usc.edu/labs/msw,,,,
Shahram Ghandeharizadeh,University of Southern California,http://perspolis.usc.edu/Users/shahram,FI5-sZEAAAAJ,5338.0,35.0,1988.0
Jesse Thomason,University of Southern California,https://jessethomason.com,8BeTDr0AAAAJ,1632.0,18.0,2012.0
Ramesh Govindan,University of Southern California,https://sruti.usc.edu,ZTkRs84AAAAJ,59160.0,99.0,
Paul S. Rosenbloom,University of Southern California,http://cs.usc.edu/~rosenblo,SeW3bhwAAAAJ,18895.0,49.0,
Dennis McLeod,University of Southern California,https://viterbi.usc.edu/directory/faculty/McLeod/Dennis,,,,
G. Stefano Sukhatme,University of Southern California,http://www-robotics.usc.edu/~gaurav,lRUi-A8AAAAJ,35091.0,97.0,1993.0
Maja J. Mataric,University of Southern California,http://robotics.usc.edu/~maja,o5YQMkMAAAAJ,41064.0,100.0,1990.0
Muhammad Naveed,University of Southern California,https://www.cs.usc.edu/people/faculty/tenured-tenure-track-faculty/naveed-muhammad,nBUl6TEAAAAJ,3102.0,32.0,2010.0
Rajiv K. Kalia,University of Southern California,http://physics.usc.edu/Faculty/Kalia,,,,
Laurent Itti,University of Southern California,http://ilab.usc.edu/itti,xhUvqK8AAAAJ,50873.0,73.0,1994.0
Chao Wang,University of Southern California,http://www-bcf.usc.edu/~wang626,q2L3v6kAAAAJ,21400.0,64.0,1964.0
Stephen C. Y. Lu,University of Southern California,http://ise.usc.edu/directory/stephen_lu.htm,N4TZNVoAAAAJ,290.0,11.0,2012.0
Ben Reichardt,University of Southern California,http://www-bcf.usc.edu/~breichar,BEGRf_EAAAAJ,2769.0,26.0,1999.0
David Kempe,University of Southern California,http://www-bcf.usc.edu/~dkempe,jUNqQpgAAAAJ,5366.0,39.0,1980.0
Fei Sha,University of Southern California,http://www-bcf.usc.edu/~feisha,HDHOS0QAAAAJ,16570.0,50.0,2002.0
Yan Liu,University of Southern California,http://www-bcf.usc.edu/~liu32,UUKLPMYAAAAJ,14694.0,55.0,2002.0
William G. J. Halfond,University of Southern California,http://www-bcf.usc.edu/~halfond,98W28JoAAAAJ,6124.0,36.0,2005.0
Jernej Barbic,University of Southern California,http://www-bcf.usc.edu/~jbarbic,aP4IPIEAAAAJ,3389.0,26.0,2004.0
Ming-Deh A. Huang,University of Southern California,http://www-bcf.usc.edu/~mdhuang,,,,
Aleksandra Korolova,University of Southern California,http://informatics.usc.edu/people/aleksandra-korolova.htm,oK_XUmsAAAAJ,5177.0,20.0,2005.0
Shaddin Dughmi,University of Southern California,http://www-bcf.usc.edu/~shaddin,jn-B_MoAAAAJ,1816.0,25.0,2009.0
Haipeng Luo,University of Southern California,http://www-bcf.usc.edu/~haipengl,ct2hw4UAAAAJ,2258.0,25.0,2012.0
Cyrus Shahabi,University of Southern California,http://infolab.usc.edu/Shahabi,jEdhxGMAAAAJ,22694.0,73.0,1993.0
Vatsal Sharan,University of Southern California,http://web.stanford.edu/~vsharan,Ize17HEAAAAJ,267.0,10.0,2013.0
Ram Nevatia,University of Southern California,http://iris.usc.edu/people/nevatia,EUMYhUvzt6IC,32775.0,90.0,1973.0
C.-C. Jay Kuo,University of Southern California,http://mcl.usc.edu,81d60okAAAAJ,41187.0,90.0,1959.0
Kai Hwang,University of Southern California,http://gridsec.usc.edu/Hwang.html,igFuAncAAAAJ,23071.0,64.0,1972.0
Todd A. Brun,University of Southern California,http://www-bcf.usc.edu/~tbrun,0WBCi1AAAAAJ,6663.0,43.0,1987.0
Nora Ayanian,University of Southern California,http://www-bcf.usc.edu/~ayanian,ke2MEF0AAAAJ,1906.0,24.0,2008.0
Morteza Dehghani,University of Southern California,http://morteza-dehghani.net,my6AUyAAAAAJ,2622.0,29.0,2006.0
Amir Salman Avestimehr,University of Southern California,https://www.avestimehr.com,Qhe5ua0AAAAJ,9517.0,49.0,
Len Adleman,University of Southern California,https://www.usc.edu/dept/molecular-science/fm-adleman.htm,,,,
Shang-Hua Teng,University of Southern California,http://www-bcf.usc.edu/~shanghua,,,,
Bhaskar Krishnamachari,University of Southern California,http://ceng.usc.edu/~bkrishna,JHJozAYAAAAJ,31477.0,80.0,1998.0
V. K. Prasanna Kumar,University of Southern California,http://ceng.usc.edu/~prasanna,4FQXSP8AAAAJ,24337.0,74.0,1983.0
Cauligi S. Raghavendra,University of Southern California,http://ceng.usc.edu/~raghu,GM-hJhQAAAAJ,30900.0,58.0,1981.0
Xianghong Jasmine Zhou,University of Southern California,http://zhoulab.usc.edu,,,,
Sven Koenig,University of Southern California,http://idm-lab.org,tpoh43QAAAAJ,17998.0,68.0,1970.0
