name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Dia Ali,University of Southern Mississippi,https://www.usm.edu/computing/faculty/dia-ali,,,,
Bikramjit Banerjee,University of Southern Mississippi,https://www.usm.edu/computing/faculty/bikramjit-banerjee,,,,
Chaoyang Zhang,University of Southern Mississippi,http://orca.st.usm.edu/~zhang,,,,
Nan Wang,University of Southern Mississippi,http://orca.st.usm.edu/~nwang,,,,
Wonryull Koh,University of Southern Mississippi,https://www.usm.edu/computing/faculty/wonryull-koh,,,,
Kuo Chen,University of Southern Mississippi,https://www.usm.edu/computing/faculty/kuo-chen,,,,
Beddhu Murali,University of Southern Mississippi,https://www.usm.edu/computing/faculty/beddhu-murali,,,,
Amer Dawoud,University of Southern Mississippi,https://www.usm.edu/computing/faculty/amer-dawoud,,,,
Connie White,University of Southern Mississippi,https://www.usm.edu/computing,,,,
Zheng Wang,University of Southern Mississippi,http://www.cs.miami.edu/home/zwang,,,,
Zhaoxian Zhou,University of Southern Mississippi,http://orca.st.usm.edu/~zzhou,,,,
Jonathan Sun,University of Southern Mississippi,http://www.cs.usm.edu/~jsun,,,,
Andrew H. Sung,University of Southern Mississippi,https://www.usm.edu/computing/faculty/andrew-h-sung,UMf3YBMAAAAJ,8500.0,44.0,1988.0
