name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Frank Leymann,University of Stuttgart,http://www.iaas.uni-stuttgart.de/institut/mitarbeiter/leymann/indexE.php,qRnegTsAAAAJ,40966.0,88.0,1989.0
Dirk Pflüger,University of Stuttgart,https://www.ipvs.uni-stuttgart.de/abteilungen/sgs/abteilung/mitarbeiter/Dirk.Pflueger,bKhHWxMAAAAJ,1689.0,22.0,2004.0
Erhard Plödereder,University of Stuttgart,http://www.iste.uni-stuttgart.de/ps/team/ploedereder.html,,,,
Frank Allgöwer,University of Stuttgart,https://www.ist.uni-stuttgart.de/de/institut/team/Allgoewer-00002,WQYw3oIAAAAJ,28488.0,76.0,1989.0
Steffen Becker,University of Stuttgart,http://www.iste.uni-stuttgart.de/rss.html,fncdDA4AAAAJ,4999.0,36.0,
Martin Radetzki,University of Stuttgart,https://www.iti.uni-stuttgart.de/en/chairs/embedded-systems/people/martin-radetzki.html,,,,
Michael Pradel,University of Stuttgart,http://software-lab.org/people/Michael_Pradel.html,V-850TAAAAAJ,3445.0,37.0,2007.0
Bin Yang,University of Stuttgart,https://www.iss.uni-stuttgart.de/institut/team/Yang-00004,sm9O9OYAAAAJ,7403.0,39.0,1987.0
Melanie Herschel,University of Stuttgart,https://www.ipvs.uni-stuttgart.de/abteilungen/de/abteilung/mitarbeiter/Melanie.Herschel,K5VPw-IAAAAJ,2483.0,26.0,2004.0
Marco Aiello,University of Stuttgart,https://www.iaas.uni-stuttgart.de/institut/team/Aiello-00001,XvRUyU4AAAAJ,6683.0,41.0,1998.0
Ilia Polian,University of Stuttgart,http://www.iti.uni-stuttgart.de/en/institute-of-computer-architecture-and-computer-engineering.html,LKDRgp0AAAAJ,3674.0,31.0,1999.0
Volker Diekert,University of Stuttgart,http://www.fmi.uni-stuttgart.de/ti/personen/Diekert,,,,
Thomas Ertl,University of Stuttgart,http://www.vis.uni-stuttgart.de/~ertl,qFQ9jHkAAAAJ,20333.0,70.0,1985.0
Miriam Mehl,University of Stuttgart,http://www.ipvs.uni-stuttgart.de/abteilungen/sgs/abteilung/mitarbeiter/Miriam.Mehl,DGIIXCEAAAAJ,2862.0,21.0,1997.0
Sven Simon,University of Stuttgart,https://www.ipvs.uni-stuttgart.de/abteilungen/pas/abteilung/mitarbeiter/sven.simon?__locale=en,,,,
Ralf Küsters,University of Stuttgart,https://sec.informatik.uni-stuttgart.de/people/kuesters,,,,
Hans-Joachim Wunderlich,University of Stuttgart,http://www.iti.uni-stuttgart.de/en/chairs/computer-architecture/people/hans-joachim-wunderlich.html,SVXONrAAAAAJ,8268.0,46.0,1981.0
Jonas Kuhn,University of Stuttgart,http://www.ims.uni-stuttgart.de/institut/mitarbeiter/jonas,t5vqVEkAAAAJ,2367.0,25.0,1969.0
Dieter Roller,University of Stuttgart,http://www.iris.uni-stuttgart.de/institut/mitarbeiter/roller.html,,,,
Daniel Weiskopf,University of Stuttgart,http://www.visus.uni-stuttgart.de/~weiskopf,sclEgM4AAAAJ,14322.0,60.0,1980.0
Michael Sedlmair,University of Stuttgart,https://www.vis.uni-stuttgart.de/institut/team/Sedlmair-00002,objnJXoAAAAJ,4380.0,33.0,2006.0
Roman Klinger,University of Stuttgart,https://www.ims.uni-stuttgart.de/institut/team/Klinger,1flvefwAAAAJ,2647.0,27.0,2005.0
Bernhard Mitschang,University of Stuttgart,https://www.ipvs.uni-stuttgart.de/abteilungen/as/abteilung/mitarbeiter/bernhard.mitschang,zRbR5b8AAAAJ,4588.0,35.0,1984.0
Sabine Schulte im Walde,University of Stuttgart,https://www.ims.uni-stuttgart.de/institut/mitarbeiter/schulte,kObRYIAAAAAJ,3624.0,30.0,1997.0
Mathias Niepert,University of Stuttgart,http://www.matlog.net,p5vLzq0AAAAJ,4584.0,29.0,2007.0
Andreas Bulling,University of Stuttgart,https://www.vis.uni-stuttgart.de/institut/team/Bulling,QURZIzUAAAAJ,12782.0,58.0,
Uwe Reyle,University of Stuttgart,http://www.ims.uni-stuttgart.de/institut/mitarbeiter/uwe,,,,
Andrés Bruhn,University of Stuttgart,https://worldbeat.visus.uni-stuttgart.de/cvis/index.shtml,PtIe6OkAAAAJ,10360.0,39.0,2001.0
Kurt Rothermel,University of Stuttgart,https://www.ipvs.uni-stuttgart.de/abteilungen/vs/abteilung/mitarbeiter/kurt.rothermel,LWI2KAMAAAAJ,13367.0,62.0,1959.0
Ingo Steinwart,University of Stuttgart,https://www.isa.uni-stuttgart.de/institut/team/Steinwart-00002,zFuwHeAAAAAJ,9055.0,34.0,2000.0
Stefan Funke,University of Stuttgart,http://www.fmi.uni-stuttgart.de/alg,YgSxvV4AAAAJ,3372.0,31.0,1997.0
Ngoc Thang Vu,University of Stuttgart,http://www.ims.uni-stuttgart.de/institut/mitarbeiter/thangvu/index.en.html,Nxbi5YgAAAAJ,3121.0,30.0,2009.0
Sebastian Padó,University of Stuttgart,http://www.ims.uni-stuttgart.de/~pado,vKqag_AAAAAJ,6958.0,37.0,2002.0
Steffen Staab,University of Stuttgart,https://www.ipvs.uni-stuttgart.de/institute/team/Staab-00001,QvpcUn8AAAAJ,38858.0,95.0,1994.0
Stefan Wagner,University of Stuttgart,http://www.iste.uni-stuttgart.de,tXL31ZEAAAAJ,6469.0,39.0,2002.0
