name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Brijesh Dongol,University of Surrey,https://brijeshdongol.github.io,fjA_2-cAAAAJ,759.0,15.0,2005.0
Liqun Chen,University of Surrey,https://www.surrey.ac.uk/people/liqun-chen,3IH9iokAAAAJ,11500.0,51.0,1995.0
Yongxin Yang,University of Surrey,https://yang.ac,F7PtrL8AAAAJ,7607.0,33.0,2014.0
Lee Gillam,University of Surrey,https://www.surrey.ac.uk/people/lee-gillam,8GJC9fAAAAAJ,2136.0,20.0,1996.0
Yi-Zhe Song,University of Surrey,http://www.eecs.qmul.ac.uk/~yzs,irZFP_AAAAAJ,5630.0,36.0,2005.0
Manal Helal,University of Surrey,https://www.surrey.ac.uk/people/manal-helal,fgACIMUAAAAJ,87.0,6.0,2001.0
Josef Kittler,University of Surrey,https://www.surrey.ac.uk/people/josef-kittler,pk-yb_kAAAAJ,65323.0,98.0,1972.0
Tao A. Xiang,University of Surrey,http://www.eecs.qmul.ac.uk/~txiang,MeS5d4gAAAAJ,29005.0,84.0,2001.0
Mark Manulis,University of Surrey,http://manulis.eu,MdmQAVkAAAAJ,1988.0,27.0,2004.0
Paul Krause,University of Surrey,https://www.surrey.ac.uk/people/paul-krause,6d3d0vwAAAAJ,5084.0,34.0,1985.0
Richard Bowden,University of Surrey,http://personal.ee.surrey.ac.uk/Personal/R.Bowden,mvvgDvcAAAAJ,13945.0,53.0,
Manos Panaousis,University of Surrey,https://www.manospanaousis.com,FRwRt24AAAAJ,1522.0,19.0,2008.0
Miroslaw Bober,University of Surrey,https://www.surrey.ac.uk/people/miroslaw-bober,rmATQ28AAAAJ,6866.0,31.0,1987.0
Jean-Yves Guillemaut,University of Surrey,http://personal.ee.surrey.ac.uk/Personal/J.Guillemaut,xd8Ej6YAAAAJ,1289.0,20.0,2002.0
Yaochu Jin,University of Surrey,http://www.soft-computing.de/jin.html,B5WAkz4AAAAJ,32244.0,88.0,1985.0
Sotiris K. Moschoyiannis,University of Surrey,https://www.surrey.ac.uk/people/sotiris-moschoyiannis,lXpUuUoAAAAJ,1146.0,18.0,2001.0
Chris Russell,University of Surrey,https://www.surrey.ac.uk/cvssp/people/russell_christopher,RM2sHhYAAAAJ,7619.0,30.0,2007.0
Adrian Hilton,University of Surrey,https://www.surrey.ac.uk/people/adrian-hilton,vTIYTNQAAAAJ,11563.0,46.0,1991.0
Helen Treharne,University of Surrey,https://www.surrey.ac.uk/people/helen-treharne,Fx_tCYMAAAAJ,1658.0,24.0,1995.0
John P. Collomosse,University of Surrey,http://personal.ee.surrey.ac.uk/Personal/J.Collomosse,yVnCUg0AAAAJ,3770.0,33.0,1991.0
Steve A. Schneider,University of Surrey,https://www.surrey.ac.uk/people/steve-schneider,RpVDhIoAAAAJ,8949.0,39.0,1988.0
Yunpeng Li,University of Surrey,https://www.surrey.ac.uk/people/yunpeng-li,JzyKdRUAAAAJ,736.0,12.0,2011.0
Santanu Kumar Dash,University of Surrey,https://www.surrey.ac.uk/people/santanu-dash,aNI6aTkAAAAJ,774.0,8.0,2008.0
Ioana Boureanu,University of Surrey,http://people.itcarlson.com/ioana,yQu36nIAAAAJ,662.0,14.0,2005.0
Simon Hadfield,University of Surrey,http://personal.ee.surrey.ac.uk/Personal/S.Hadfield/biography.html,KuQs_N0AAAAJ,4263.0,20.0,2010.0
Oscar Mendez Maldonado,University of Surrey,http://oscarmendez.co.uk,BK3u-3EAAAAJ,87.0,5.0,2016.0
Alireza Tamaddoni Nezhad,University of Surrey,https://www.surrey.ac.uk/people/alireza-tamaddoni-nezhad,a8_fGh4AAAAJ,2666.0,23.0,1992.0
