name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Martin Berger,University of Sussex,http://www.sussex.ac.uk/informatics/people/peoplelists/person/141093,GCz-DJ0AAAAJ,1045.0,17.0,2001.0
Anil K. Seth,University of Sussex,http://www.sussex.ac.uk/informatics/people/peoplelists/person/22981,3eJCZCkAAAAJ,22905.0,70.0,1973.0
Chris Thornton,University of Sussex,http://www.sussex.ac.uk/informatics/people/peoplelists/person/2684,,,,
Paul F. Newbury,University of Sussex,http://www.sussex.ac.uk/informatics/people/peoplelists/person/126552,,,,
Bill Keller,University of Sussex,http://www.sussex.ac.uk/informatics/people/peoplelists/person/1463,go6vIr0AAAAJ,1222.0,16.0,1984.0
David J. Weir,University of Sussex,http://www.sussex.ac.uk/informatics/people/peoplelists/person/2860,DxGZlC4AAAAJ,3125.0,22.0,2009.0
Judith Good,University of Sussex,http://www.sussex.ac.uk/informatics/people/peoplelists/person/174826,jp3e_gMAAAAJ,3763.0,33.0,1993.0
Luc Berthouze,University of Sussex,http://www.sussex.ac.uk/informatics/people/peoplelists/person/201607,WvYeh5IAAAAJ,1636.0,24.0,1996.0
Thomas Nowotny,University of Sussex,http://www.sussex.ac.uk/informatics/people/peoplelists/person/206151,W3T-i5AAAAAJ,2635.0,28.0,1993.0
Gianluca Memoli,University of Sussex,http://www.sussex.ac.uk/informatics/people/peoplelists/person/390809,ticqPMYAAAAJ,1181.0,17.0,1998.0
Martin White,University of Sussex,http://www.sussex.ac.uk/informatics/people/peoplelists/person/2898,pwyfSagAAAAJ,3552.0,26.0,1991.0
Kate Howland,University of Sussex,http://www.sussex.ac.uk/informatics/people/peoplelists/person/172510,XUfk6ekAAAAJ,791.0,14.0,2006.0
Ian Mackie,University of Sussex,http://www.sussex.ac.uk/informatics/people/peoplelists/person/212026,6B5sAdsAAAAJ,1528.0,20.0,1993.0
Ian Wakeman,University of Sussex,http://www.sussex.ac.uk/informatics/people/peoplelists/person/10651,NXsakW8AAAAJ,2444.0,21.0,1991.0
Natalia Beloff,University of Sussex,http://www.sussex.ac.uk/informatics/people/peoplelists/person/109401,,,,
Sharon Wood,University of Sussex,http://www.sussex.ac.uk/informatics/people/peoplelists/person/2974,,,,
George Parisis,University of Sussex,http://www.sussex.ac.uk/informatics/people/peoplelists/person/334868,Jsmd7a0AAAAJ,932.0,12.0,2007.0
Novi Quadrianto,University of Sussex,http://www.sussex.ac.uk/informatics/people/peoplelists/person/335583,I-rLzGcAAAAJ,1810.0,18.0,2007.0
Peter Schrammel,University of Sussex,http://www.sussex.ac.uk/informatics/people/peoplelists/person/384323,JCU-scYAAAAJ,725.0,17.0,2006.0
Peter C.-H. Cheng,University of Sussex,http://www.sussex.ac.uk/informatics/people/peoplelists/person/100650,KsqCJVQAAAAJ,3438.0,24.0,1990.0
Ron Chrisley,University of Sussex,http://www.sussex.ac.uk/informatics/people/peoplelists/person/476,9Cy00wEAAAAJ,2278.0,20.0,1987.0
Julie Weeds,University of Sussex,http://www.sussex.ac.uk/informatics/people/peoplelists/person/116624,goWjVPQAAAAJ,2100.0,15.0,2001.0
Andrew Philippides,University of Sussex,http://www.sussex.ac.uk/informatics/people/peoplelists/person/23611,ZKeV-aQAAAAJ,2915.0,27.0,1996.0
Bernhard Reus,University of Sussex,http://www.sussex.ac.uk/informatics/people/peoplelists/person/115097,,,,
John A. Carroll,University of Sussex,http://www.sussex.ac.uk/informatics/people/peoplelists/person/25069,p_gHNi4AAAAJ,9592.0,52.0,1982.0
